gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
AHR,196,True,True,True,2,9,2,0,mixed,True,True,True,True,False,True,False,23,True,True,shared,0.00406537840153172,1296,0.040627899652654925,439,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AHRR,57491,False,False,True,1,2,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,3,False,True,hypertension-specific,,,0.006169930351819605,2551,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AHSG,197,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.00813075680306344,924,0.014472017004319696,1344,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AKT1,207,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,3,True,True,shared,0.03436466472035266,460,0.06231939979574281,261,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALB,213,False,False,True,3,5,3,0,mixed,True,True,True,True,True,True,False,5,True,True,shared,0.01402859123572008,701,0.0996854128072856,127,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALDH1A1,216,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,6,True,True,shared,0.0022174791281082107,1671,0.007463459843216062,2250,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALDH2,217,False,False,True,1,3,2,0,mixed,True,False,False,False,True,False,False,6,False,True,hypertension-specific,,,0.10490162547762026,114,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALOX12,239,False,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,3,False,True,hypertension-specific,,,0.005762661313427855,2646,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALOX15,246,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.03554594343174681,513,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ALPL,249,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470188,1320,0.0044144260420672715,3112,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ANGPTL4,51129,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.07538930735316281,200,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ANXA5,308,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.03068782971882803,618,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ANXA6,309,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,False,True,hypertension-specific,,,0.005913277674955229,2602,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APAF1,317,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,False,True,hypertension-specific,,,0.006282857529639931,2535,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APLNR,187,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,False,True,hypertension-specific,,,0.06958838951139265,229,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APOBEC3A,200315,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.0014783194187388072,4931,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APOBEC3F,200316,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.0051741179655858255,2826,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APOC2,344,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.01105459880391517,1666,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APOD,347,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0022174791281082107,1730,0.0036957985468470188,3641,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
APP,351,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.00794596687572109,941,0.027088549547140385,719,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AR,367,True,True,True,3,16,2,0,mixed,True,True,True,True,False,True,False,60,True,True,shared,0.008939315396256971,873,0.03279826335909965,570,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AREG,374,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2,False,True,hypertension-specific,,,0.0036957985468470188,3532,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ARG1,383,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.021712118132159456,910,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ARG2,384,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.005605294462717976,1103,0.013732990886685413,1397,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ARNT,405,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,3,False,True,hypertension-specific,,,0.006167466486121708,2552,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ARRB1,408,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.0042501683288740716,3153,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ASCL1,429,False,False,True,1,1,2,0,mixed,True,False,False,False,False,False,False,4,True,True,shared,0.0022174791281082107,1790,0.0014783194187388072,4954,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ATF3,467,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.029480037139571435,649,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ATF6,22926,True,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,8,False,True,hypertension-specific,,,0.03602424764572295,508,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ATM,472,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0241995739122166,554,0.014187668675824279,1361,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ATP5F1A,498,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2,False,True,hypertension-specific,,,0.009239496367117545,1945,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ATRX,546,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0029361066233284643,4013,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ATXN2,6311,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,4,True,True,shared,0.0018478992734235094,1891,0.010400500925468901,1753,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AURKA,6790,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470188,1341,0.0029566388374776143,3918,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AURKB,9212,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0014783194187388072,4905,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AVPR1A,552,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.39621166311079425,36,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BAX,581,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,2,True,True,shared,0.017093847898047115,657,0.02032385396794672,980,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BAZ2B,29994,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.13269616198604517,259,0.0014783194187388072,4672,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BCL2,596,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.013811475445229707,703,0.02300502586403501,852,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BCL2L1,598,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.005697689426389152,1097,0.017278739042757615,1156,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BCL2L11,10018,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.09563462191477992,300,0.0014783194187388072,4678,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BIRC5,332,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.009849303127347303,828,0.006210571565091566,2545,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BPIFB4,149954,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.006803965124745361,2452,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
BRCA1,672,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.004229636114724921,1287,0.005572032275796352,2675,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CAMP,820,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0022174791281082107,4163,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CAP1,10487,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.002843711659657289,4018,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CAPN13,92291,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0014783194187388072,4674,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CASP1,834,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.00811022458891429,930,0.01509544864704186,1298,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CASP3,836,True,False,True,3,6,1,0,mixed,True,True,True,True,False,True,False,12,True,True,shared,0.005803019684974292,1088,0.05269525332492947,312,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CASP7,840,True,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,9,True,True,shared,0.0036957985468470188,1365,0.01404403447801867,1373,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CASP9,842,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,1,True,True,shared,0.0025870589827929123,1620,0.007207901053815257,2414,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CAT,847,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,True,False,1,True,True,shared,0.020569239411374684,606,0.036664476733138524,496,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CBX1,10951,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.11364102685515773,276,0.0035110086195046675,3791,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCL17,6361,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.004784005896751974,2913,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCL2,6347,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.005795997062477268,1090,0.049443803553272304,340,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCL3,6348,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.011664464028490577,1596,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCL7,6354,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.010030269453585348,1815,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCL8,6355,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0106972835717072,1711,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCN1,3491,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.01925038801981865,1040,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCNA2,890,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2,True,True,shared,0.0022174791281082107,1839,0.004496554898663872,2994,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCNB2,9133,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0014783194187388072,1993,0.0036957985468470188,3628,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCND1,595,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2,True,True,shared,0.014986566336174475,679,0.043436782160916045,401,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CCR6,1235,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.0014783194187388072,4934,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CD177,57126,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.004719316851438795,2924,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CDC20,991,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0022174791281082107,4170,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CDCA3,83461,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.0036957985468470188,3530,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CDK1,983,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2,False,True,hypertension-specific,,,0.0025870589827929123,4105,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CDK2,1017,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2,False,True,hypertension-specific,,,0.01387464371128818,1386,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CDKN1A,1026,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.006219605739317192,1062,0.009211861682971903,1955,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CDKN1B,1027,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.014075926686705962,694,0.018069157169074698,1110,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CES1,1066,True,False,False,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,False,True,hypertension-specific,,,0.010040252718934398,1814,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CFB,629,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0044349582562164215,1206,0.02572232768169305,764,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CFTR,1080,True,False,True,2,6,2,0,mixed,True,True,True,True,False,True,False,32,False,True,hypertension-specific,,,0.027698402462355717,699,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CGAS,115004,True,False,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0051741179655858255,1140,0.01529029820718577,1285,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CHI3L1,1116,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.01293529491396456,714,0.08920203434758266,150,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CHRM1,1128,True,False,True,1,7,1,0,consistent:inactive,False,True,True,True,False,True,False,31,False,True,hypertension-specific,,,0.0029566388374776143,3967,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CKB,1152,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0022174791281082107,1741,0.010763487391594852,1694,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CKS1B,1163,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470188,1447,0.0022174791281082107,4340,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CLCA1,1179,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.01847899273423509,1090,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CLCNKB,1188,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.028185356092364857,687,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CLDN1,9076,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.0225663406049064,565,0.010420098680693674,1750,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CLDN2,9075,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.014762661973238922,1323,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CLDN3,1365,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.04287126314342541,408,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CLDN4,1364,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.01835579944934019,649,0.0022174791281082107,4382,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
