gene_symbol,shared_core_membership,exact_2NAP_human_support,exact_2NAP_experimental_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,n_prespecified_nonliver_tissues_expressed,n_tissues_fdr_significant,n_tissues_meaningful_abs_effect_ge_0_25,female_biased_tissues_fdr,male_biased_tissues_fdr,m5_candidate,candidate_tier,selection_rule
ACTA1,True,False,False,1,False,False,False,8,0,3,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ADA,True,False,False,1,False,False,False,8,1,0,,Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ADAM17,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ADRA2C,True,False,False,1,False,False,False,8,1,2,,Artery - Aorta,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
AHSG,True,False,False,1,False,False,False,1,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
AKT1,True,False,False,1,False,True,False,8,1,1,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ALB,True,False,False,3,True,True,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ALDH1A1,True,False,False,1,False,False,False,8,1,1,Artery - Tibial,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ALPL,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
APOD,True,False,False,1,False,False,False,8,1,2,,Heart - Atrial Appendage,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
APP,True,False,False,1,False,True,False,8,1,1,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
AR,True,True,True,3,True,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ARG2,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ASCL1,True,False,False,1,False,False,False,2,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ATM,True,False,False,1,False,False,False,8,1,1,Thyroid,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ATXN2,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
AURKA,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BAX,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BAZ2B,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BCL2,True,False,False,1,False,True,False,8,3,0,Artery - Aorta;Artery - Tibial,Heart - Left Ventricle,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BCL2L1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BCL2L11,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BIRC5,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
BRCA1,True,False,False,1,False,True,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CASP1,True,False,False,1,False,False,False,8,1,1,Thyroid,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CASP3,True,True,False,3,True,True,True,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CASP7,True,True,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CASP9,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CAT,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CBX1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CCL2,True,False,False,1,False,False,False,8,0,3,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CCNA2,True,False,False,1,False,False,False,8,1,0,Thyroid,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CCNB2,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CCND1,True,False,False,1,False,True,False,8,2,0,,Thyroid;Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CDKN1A,True,False,False,1,False,True,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CDKN1B,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CFB,True,False,False,1,False,False,False,8,0,3,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CGAS,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CHI3L1,True,False,False,1,False,False,False,8,1,2,,Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CKB,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CKS1B,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CLDN1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CLDN4,True,False,False,1,False,False,False,7,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CLU,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
COL1A1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CREB1,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CXCL10,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CXCL8,True,False,False,2,True,True,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CXCR6,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CYCS,True,False,False,1,False,True,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CYP1A1,True,True,False,1,False,False,False,7,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CYP2B6,True,True,False,1,False,False,False,1,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CYP2C19,True,True,False,2,True,False,False,0,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CYP2D6,True,True,False,2,True,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
DNMT1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
EDN1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
EGFR,True,False,False,1,False,True,False,8,1,1,Artery - Tibial,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ELN,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ENO1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
EPAS1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ESR1,True,True,False,2,True,True,True,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ESR2,True,True,False,1,False,False,False,8,2,0,Thyroid,Heart - Left Ventricle,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ESRRA,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
FETUB,True,False,False,1,False,False,False,1,1,0,Artery - Aorta,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
FGF7,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
FKBP5,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
FOS,True,False,False,1,False,False,False,8,0,3,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
FOXA2,True,False,False,1,False,False,False,1,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GABRP,True,False,False,1,False,False,False,6,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GDF15,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GFER,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GGT1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GLP1R,True,False,False,1,False,False,False,5,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GNAS,True,False,False,1,False,True,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GNRHR,True,True,False,1,False,False,False,6,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GPR183,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GPX3,True,False,False,1,False,False,False,8,1,2,Artery - Tibial,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GPX4,True,False,False,2,True,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GRK2,True,False,False,1,False,False,False,8,1,1,Thyroid,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GSR,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GSTM1,True,False,False,1,False,False,False,8,0,5,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
GSTP1,True,False,False,1,False,True,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HBB,True,False,False,1,False,False,False,8,0,2,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HDAC3,True,False,False,1,False,False,False,8,1,1,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HDAC6,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HDAC9,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HIF1A,True,True,False,1,False,True,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HMGB1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HMOX1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HSPA5,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
HSPD1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
IDH1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
IFNG,True,True,False,1,False,False,False,4,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
IGF1,True,False,False,1,False,False,False,8,1,2,,Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
IGFBP3,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
IL1B,True,False,False,1,False,True,False,8,1,1,,Artery - Coronary,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
IL4,True,False,False,1,False,False,False,4,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
KCNJ16,True,False,False,1,False,False,False,2,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
KCNQ1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
KEAP1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
KLK7,True,False,False,1,False,False,False,5,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
KMT2A,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
KRT19,True,False,False,1,False,False,False,8,1,3,,Artery - Aorta,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
LGALS1,True,False,False,1,False,False,False,8,1,0,,Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
LMNA,True,False,False,1,False,False,False,8,2,0,,Thyroid;Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
LRG1,True,False,False,1,False,False,False,8,0,2,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
LYPLA1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MAPK1,True,False,False,1,False,True,False,8,1,0,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MAPT,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MBD2,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MCL1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MDM2,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MDM4,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MEN1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MITF,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MMEL1,True,False,False,1,False,False,False,6,1,0,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MMP14,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MMP9,True,False,False,1,False,True,False,8,0,2,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MUC1,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
MYC,True,False,False,1,False,True,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NCOA3,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NGF,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NKD1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NLRP3,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NOD2,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NOS3,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NQO1,True,False,False,1,False,False,False,8,1,0,,Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NR1H4,True,True,False,1,False,False,False,3,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NR3C1,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NRG1,True,False,False,1,False,False,False,7,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
OPRM1,True,False,False,1,False,False,False,0,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PAPPA,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PDIA3,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PF4,True,False,False,1,False,False,False,7,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PGF,True,False,False,1,False,False,False,8,2,2,,Thyroid;Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PGR,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PIN1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PKM,True,False,False,1,False,False,False,8,2,1,,Thyroid;Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PLAT,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PON1,True,False,False,1,False,False,False,4,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
POR,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PPARA,True,False,False,2,True,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PPARG,True,True,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PRDX6,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PRTN3,True,False,False,1,False,False,False,7,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
PTX3,True,False,False,1,False,False,False,8,0,3,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
RAF1,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
RAPGEF3,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
RGS4,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
RORC,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
S100A6,True,False,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
S100A8,True,False,False,1,False,False,False,8,0,2,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SERPINA1,True,False,False,1,False,False,False,8,0,2,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SERPINE1,True,False,False,1,False,False,False,8,2,5,,Artery - Aorta;Artery - Tibial,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SLC7A11,True,False,False,1,False,False,False,6,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SLPI,True,False,False,1,False,False,False,8,1,3,Artery - Aorta,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SMAD2,True,True,False,1,False,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
SNCA,True,False,False,1,False,False,False,8,1,0,Heart - Atrial Appendage,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
