test_id,biomarker,variable,exposure_axis,matrix,analysis,exposure_variable,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,fit_status,warning_message,analytic_n,t2d_cases,controls,dropped_cycle,direction,ci_excludes_1
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_1999-2000,axis_log2,ok,13189,1975,11214,0.14257590466748077,0.03207812513525329,1.1532406139805746,1.082368559261019,1.2287532766494231,1.7851720559236707e-05,139,274,135,Newton-IRLS converged,ok,,13189,1975,11214,1999-2000,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,12958,1964,10994,0.1265423346595336,0.03151613819650809,1.134897495658175,1.0663326835881324,1.2078710007435918,9.708015614423884e-05,138,271,133,Newton-IRLS converged,ok,,12958,1964,10994,2001-2002,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,12886,1925,10961,0.10353912643322115,0.03243421771600849,1.109089187220159,1.0401935825096686,1.18254798519413,0.0017483502936825534,138,271,133,Newton-IRLS converged,ok,,12886,1925,10961,2003-2004,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,12899,1950,10949,0.13261603123767507,0.030815987133841292,1.1418114942041004,1.074315238018472,1.2135483535552194,3.164898976526494e-05,138,271,133,Newton-IRLS converged,ok,,12899,1950,10949,2005-2006,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,12688,1865,10823,0.13312264563475937,0.03326314497628285,1.1423900988981792,1.069666657124722,1.2200577903106724,0.00010234059347307242,137,269,132,Newton-IRLS converged,ok,,12688,1865,10823,2007-2008,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,12538,1847,10691,0.10797889021363566,0.03150484139676001,1.1140242283247836,1.0467396451603186,1.1856338747010493,0.0008050455205421267,137,270,133,Newton-IRLS converged,ok,,12538,1847,10691,2009-2010,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,12848,1887,10961,0.12385073573353747,0.03013518811919828,1.1318469140904948,1.0663659608765674,1.2013487713759285,6.807889699300497e-05,136,270,134,Newton-IRLS converged,ok,,12848,1887,10961,2011-2012,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,12701,1885,10816,0.14001783016566943,0.03371439364837401,1.1502943086124717,1.0761116714043097,1.2295907865208058,5.717541341153128e-05,138,271,133,Newton-IRLS converged,ok,,12701,1885,10816,2013-2014,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,12770,1847,10923,0.13957587058087775,0.03312864925129416,1.149786037343402,1.0768826962093705,1.227624825176701,4.522254874885168e-05,138,271,133,Newton-IRLS converged,ok,,12770,1847,10923,2015-2016,same,True
NHANES_URXUTU,URXUTU,URXUTU,metal exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,12908,1845,11063,0.12073542462250964,0.03252524966305888,1.1283263455035712,1.0580452831810447,1.2032758542524478,0.0002973695018365013,138,271,133,Newton-IRLS converged,ok,,12908,1845,11063,2017-2018,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_1999-2000,axis_log2,ok,13211,1980,11231,-0.1774338745384432,0.047767328366499,0.8374163720490776,0.7619469294262952,0.9203609242232325,0.000293982383715552,139,274,135,Newton-IRLS converged,ok,,13211,1980,11231,1999-2000,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,13025,1970,11055,-0.17096698912720862,0.048489004330109026,0.8428493962065915,0.7657921665190235,0.9276604485456936,0.0005733062818103939,138,271,133,Newton-IRLS converged,ok,,13025,1970,11055,2001-2002,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,12964,1935,11029,-0.17839439753242592,0.04808934220981612,0.8366124005465565,0.7607263151686042,0.9200684855934612,0.00029995013113264424,138,271,133,Newton-IRLS converged,ok,,12964,1935,11029,2003-2004,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,12977,1960,11017,-0.15827420299748987,0.04844201935616219,0.8536156858952492,0.7756462086463345,0.9394228078263683,0.0013702063022216718,138,271,133,Newton-IRLS converged,ok,,12977,1960,11017,2005-2006,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,12766,1875,10891,-0.15658464092966604,0.04861347960980121,0.8550591416392966,0.7766896316737525,0.9413362891498458,0.001595753178679396,137,269,132,Newton-IRLS converged,ok,,12766,1875,10891,2007-2008,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,12615,1857,10758,-0.1694480123977296,0.04708917160370457,0.8441306376675171,0.769077441728368,0.9265081704225026,0.000446171196901736,137,270,133,Newton-IRLS converged,ok,,12615,1857,10758,2009-2010,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,12917,1896,11021,-0.1577994728464425,0.04824571337677942,0.8540210192031094,0.776306157879033,0.9395158003556222,0.0013592189469592854,136,270,134,Newton-IRLS converged,ok,,12917,1896,11021,2011-2012,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,12779,1895,10884,-0.1618903646716618,0.045971395505036976,0.8505344480522232,0.7766311375072199,0.9314703111768744,0.0005819923517421438,138,271,133,Newton-IRLS converged,ok,,12779,1895,10884,2013-2014,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,12847,1857,10990,-0.1396617472316193,0.04897959053220866,0.8696523479680351,0.7893785686140629,0.9580893583849991,0.00502145623971517,138,271,133,Newton-IRLS converged,ok,,12847,1857,10990,2015-2016,same,True
NHANES_URXUPB,URXUPB,URXUPB,metal exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,12986,1855,11131,-0.15853543707252374,0.044896360944059674,0.8533927215153246,0.7808992251306058,0.932616032514986,0.0005629763768244803,138,271,133,Newton-IRLS converged,ok,,12986,1855,11131,2017-2018,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,11581,1786,9795,0.07670877313091215,0.031053728216032674,1.0797275849166161,1.0153615402147376,1.1481739375152147,0.014863214934912487,124,244,120,Newton-IRLS converged,ok,,11581,1786,9795,2001-2002,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,11649,1771,9878,0.08474149869236426,0.03195996248633357,1.0884356682855076,1.0217162183906803,1.1595119884287883,0.009060153601092451,124,244,120,Newton-IRLS converged,ok,,11649,1771,9878,2003-2004,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,11694,1797,9897,0.09333542820423335,0.028921722998077166,1.0978299166329126,1.0367504321090222,1.1625078596808234,0.00159946408146252,124,244,120,Newton-IRLS converged,ok,,11694,1797,9897,2005-2006,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,11452,1691,9761,0.08693723681514723,0.029246135371318285,1.0908282137169079,1.029472263158414,1.1558409433880192,0.003553435476979711,123,242,119,Newton-IRLS converged,ok,,11452,1691,9761,2007-2008,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,11376,1717,9659,0.1025295198025689,0.02998111647129491,1.1079700084829591,1.0441297235727387,1.1757136225345746,0.0008508053485225331,123,243,120,Newton-IRLS converged,ok,,11376,1717,9659,2009-2010,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,11573,1716,9857,0.10339312650128278,0.031175129537211358,1.1089272720943975,1.0425596005600242,1.1795198031212435,0.001201092852977653,122,243,121,Newton-IRLS converged,ok,,11573,1716,9857,2011-2012,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,11438,1671,9767,0.08498705218418641,0.030027542177447984,1.0887029702816051,1.0258834409692201,1.1553692263325572,0.005426794778763661,124,244,120,Newton-IRLS converged,ok,,11438,1671,9767,2013-2014,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,11564,1698,9866,0.10013425646782184,0.029923175676096925,1.1053193043801355,1.0417561656218954,1.1727607716207296,0.0010840046914516593,124,244,120,Newton-IRLS converged,ok,,11564,1698,9866,2015-2016,same,True
NHANES_URXMIB,URXMIB,URXMIB,phthalate exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,11625,1673,9952,0.08941703946678908,0.029519275928849825,1.093536609168959,1.031475316536518,1.1593319747176012,0.0029852291508276592,124,244,120,Newton-IRLS converged,ok,,11625,1673,9952,2017-2018,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_1999-2000,axis_log2,ok,13211,1980,11231,-0.08098705027855886,0.027811987723271002,0.9222056336733512,0.8728633253200713,0.9743372256670422,0.004185683103400073,139,274,135,Newton-IRLS converged,ok,,13211,1980,11231,1999-2000,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,12907,1945,10962,-0.09981560323674994,0.028447422475841304,0.9050042825112747,0.855503758382387,0.9573689692636764,0.0006082362015404696,138,271,133,Newton-IRLS converged,ok,,12907,1945,10962,2001-2002,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,12846,1910,10936,-0.09236109118704852,0.027994503398480815,0.9117758558700281,0.8626771827368825,0.9636689459086811,0.0012335031016242253,138,271,133,Newton-IRLS converged,ok,,12846,1910,10936,2003-2004,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,12859,1935,10924,-0.05812108128149196,0.02861557654053317,0.9435356960088773,0.8916311310589865,0.9984617838383446,0.04416506139186803,138,271,133,Newton-IRLS converged,ok,,12859,1935,10924,2005-2006,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,12648,1850,10798,-0.08479738373144621,0.0285653146336314,0.9186984087884212,0.8682432787990622,0.9720855743079192,0.0035330071434189246,137,269,132,Newton-IRLS converged,ok,,12648,1850,10798,2007-2008,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,12497,1832,10665,-0.07194956239141632,0.028366543447108747,0.9305778307479368,0.87981602946724,0.9842683812022774,0.012320589365064012,137,270,133,Newton-IRLS converged,ok,,12497,1832,10665,2009-2010,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,12799,1871,10928,-0.07654737167989599,0.02852005023505091,0.9263090324344825,0.8755110514064497,0.9800543604690198,0.008179175789225179,136,270,134,Newton-IRLS converged,ok,,12799,1871,10928,2011-2012,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,12661,1870,10791,-0.06563500280332943,0.02690610041384185,0.9364726117974488,0.8879529421630559,0.9876435011414088,0.01598070606823487,138,271,133,Newton-IRLS converged,ok,,12661,1870,10791,2013-2014,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,12729,1832,10897,-0.08821553712529286,0.02983088441016531,0.9155635175263821,0.8631211196466554,0.9711922643816747,0.0036533487958808984,138,271,133,Newton-IRLS converged,ok,,12729,1832,10897,2015-2016,same,True
NHANES_URXUBA,URXUBA,URXUBA,metal exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,12868,1830,11038,-0.08453898214804359,0.025238637327467,0.9189358325859431,0.8742023318628346,0.9659583755753658,0.0010438202197580407,138,271,133,Newton-IRLS converged,ok,,12868,1830,11038,2017-2018,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,10122,1466,8656,0.07397504064827626,0.03069149095446738,1.076779929431829,1.013232285341667,1.1443131384589078,0.017614116547411397,109,214,105,Newton-IRLS converged,ok,,10122,1466,8656,2001-2002,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,10190,1452,8738,0.08530335260466597,0.03149551009165026,1.0890473819547897,1.0231440368368898,1.1591957314331278,0.007851752535474295,109,214,105,Newton-IRLS converged,ok,,10190,1452,8738,2003-2004,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,10272,1484,8788,0.09042651980826032,0.03039933799186216,1.0946410702506773,1.0306359307297985,1.1626210933972279,0.003612757734882076,109,214,105,Newton-IRLS converged,ok,,10272,1484,8788,2005-2006,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,10017,1376,8641,0.07351709155579553,0.02996142478704935,1.0762869319328388,1.0142286266472802,1.142142441471689,0.015737296728719718,108,212,104,Newton-IRLS converged,ok,,10017,1376,8641,2007-2008,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,9904,1395,8509,0.07483712436393053,0.030375458563758465,1.077708604114481,1.0147352041585347,1.14459006706633,0.01532774086455484,108,213,105,Newton-IRLS converged,ok,,9904,1395,8509,2009-2010,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,10097,1394,8703,0.09257385344082229,0.0291252651066402,1.0969941553616285,1.0354503079490918,1.1621959718000663,0.0019361245790471351,107,213,106,Newton-IRLS converged,ok,,10097,1394,8703,2011-2012,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,9968,1395,8573,0.09732325547015887,0.03217335626819914,1.1022166135892921,1.0341260866411983,1.1747904621748155,0.003101777717038795,109,214,105,Newton-IRLS converged,ok,,9968,1395,8573,2013-2014,same,True
NHANES_URXP02,URXP02,URXP02,PAH exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,10063,1364,8699,0.06202062892364238,0.03075976527902336,1.0639842933523889,1.0010563316744094,1.1308680048075281,0.04622885995164071,109,214,105,Newton-IRLS converged,ok,,10063,1364,8699,2015-2016,same,True
NHANES_URXUSN,URXUSN,URXUSN,metal exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,4416,753,3663,0.13929786808429973,0.046348845852013855,1.149466438381203,1.047018394584875,1.2619387584767603,0.0043250503507429984,45,90,45,Newton-IRLS converged,ok,,4416,753,3663,2011-2012,same,True
NHANES_URXUSN,URXUSN,URXUSN,metal exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,4278,752,3526,0.10542233082140948,0.057893753621411644,1.1111797967490886,0.9890158919026144,1.2484334688778949,0.07498184781794,47,91,44,Newton-IRLS converged,ok,,4278,752,3526,2013-2014,same,False
NHANES_URXUSN,URXUSN,URXUSN,metal exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,4347,714,3633,0.10931384539753866,0.045932800050796356,1.115512393839508,1.0170527364376722,1.2235038127600653,0.02142841570652869,47,91,44,Newton-IRLS converged,ok,,4347,714,3633,2015-2016,same,True
NHANES_URXUSN,URXUSN,URXUSN,metal exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,4485,712,3773,0.11179611552171441,0.043334130188247236,1.1182848364800808,1.0249246423147886,1.2201491932879018,0.013070482743935873,47,91,44,Newton-IRLS converged,ok,,4485,712,3773,2017-2018,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2001-2002,axis_log2,ok,11581,1786,9795,0.05154761112089622,0.021422370314399898,1.0528993148153554,1.0091886987614151,1.0985031525811122,0.017592826469119974,124,244,120,Newton-IRLS converged,ok,,11581,1786,9795,2001-2002,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2003-2004,axis_log2,ok,11649,1771,9878,0.05872375579069583,0.02239470278818334,1.0604822481931417,1.0145025216048056,1.1085458880415393,0.009830626005635418,124,244,120,Newton-IRLS converged,ok,,11649,1771,9878,2003-2004,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,11694,1797,9897,0.06529303841746717,0.02298931339512964,1.0674717887996406,1.0199878827003634,1.117166232275573,0.0052721558341831,124,244,120,Newton-IRLS converged,ok,,11694,1797,9897,2005-2006,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,11452,1691,9761,0.049337611014597056,0.022218404171895207,1.0505749765576147,1.00537202010671,1.0978103222445807,0.02821100185691285,123,242,119,Newton-IRLS converged,ok,,11452,1691,9761,2007-2008,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,11376,1717,9659,0.05949826778490375,0.0212426654126087,1.0613039225712677,1.0176028497815681,1.1068817430168731,0.0059208237772600866,123,243,120,Newton-IRLS converged,ok,,11376,1717,9659,2009-2010,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,11573,1716,9857,0.054747795811996826,0.02157329474048851,1.0562741843065173,1.012114092530387,1.102361048686713,0.012416343204414561,122,243,121,Newton-IRLS converged,ok,,11573,1716,9857,2011-2012,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,11438,1671,9767,0.04997460260609982,0.021654692947789437,1.05124439716894,1.0071392633155798,1.0972810045563763,0.02266752807896314,124,244,120,Newton-IRLS converged,ok,,11438,1671,9767,2013-2014,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,11564,1698,9866,0.04680467847742467,0.018681014315002468,1.0479173082848838,1.0098781886530244,1.087389248863492,0.01352505736175326,124,244,120,Newton-IRLS converged,ok,,11564,1698,9866,2015-2016,same,True
NHANES_URXMHH,URXMHH,URXMHH,DEHP-related exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,11625,1673,9952,0.04401450200657382,0.022743317013484764,1.0449975093393087,0.9989996075826134,1.0931133368188561,0.05523363237735279,124,244,120,Newton-IRLS converged,ok,,11625,1673,9952,2017-2018,same,False
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2005-2006,axis_log2,ok,8936,1474,7462,0.05065817812509699,0.02215922229805847,1.051963247769672,1.0066827534091676,1.0992804544534864,0.024494496180891362,94,184,90,Newton-IRLS converged,ok,,8936,1474,7462,2005-2006,same,True
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2007-2008,axis_log2,ok,8694,1368,7326,0.04730216209764414,0.021213350519414455,1.0484387596771085,1.0051900741619384,1.0935482363469762,0.028165265088563117,93,182,89,Newton-IRLS converged,ok,,8694,1368,7326,2007-2008,same,True
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2009-2010,axis_log2,ok,8618,1394,7224,0.04970702125550853,0.02129394709298066,1.050963141404421,1.0074490697896519,1.0963566871139854,0.02173145886826002,93,183,90,Newton-IRLS converged,ok,,8618,1394,7224,2009-2010,same,True
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2011-2012,axis_log2,ok,8815,1393,7422,0.04218114360773013,0.022254503496004354,1.043083409530411,0.9979838139629168,1.0902210877720866,0.06117920775056083,92,183,91,Newton-IRLS converged,ok,,8815,1393,7422,2011-2012,same,False
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2013-2014,axis_log2,ok,8680,1348,7332,0.054345931894458764,0.023590541335247028,1.0558497911046865,1.007534602404207,1.1064818803399887,0.02344208548924089,94,184,90,Newton-IRLS converged,ok,,8680,1348,7332,2013-2014,same,True
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2015-2016,axis_log2,ok,8806,1375,7431,0.03858549732674819,0.021382934528849283,1.0393395853155418,0.9961366615323449,1.0844162405810691,0.07435536508646425,94,184,90,Newton-IRLS converged,ok,,8806,1375,7431,2015-2016,same,False
NHANES_URXCOP,URXCOP,URXCOP,DINP-related exposure axis,urine,LOCO_drop_2017-2018,axis_log2,ok,8867,1350,7517,0.059853056577958856,0.02159706594709548,1.061680528112784,1.017116411259625,1.108197184998644,0.0067293680908318085,94,184,90,Newton-IRLS converged,ok,,8867,1350,7517,2017-2018,same,True
