audit_id,branch,metric,source_file,source_sha256,field_or_rule,recomputed_value,expected_canonical_value,status,reconciliation_note
T2D.S5.fdr_positive,T2D_positive_branch,BH-FDR < 0.05,analysis/disease_agnostic_environmental_framework/step05_t2d_screen/t2d_primary_29_tests.csv,a3764979386bfc903c19f2f382d02ebf93d9e1e67e77e5cefa642dc187c2f1a3,BH_FDR < 0.05 and FDR_supported == True,14,14,PASS,14 is the canonical T2D FDR-supported test count.
T2D.S6.robust_count,T2D_positive_branch,robust FDR candidates,analysis/disease_agnostic_environmental_framework/step06_t2d_robustness/t2d_robustness_results.csv,3ae5786d0c9dc31bbd972ebf061499c382fbf1276f8c62a2d371fe767f92f88d,priority_tier == robust_fdr_candidate,13,13,PASS,13 is the robust subset of the 14 T2D FDR-supported tests.
T2D.S6.scope_count,T2D_positive_branch,T2D robustness scope,analysis/disease_agnostic_environmental_framework/step06_t2d_robustness/t2d_robustness_results.csv,3ae5786d0c9dc31bbd972ebf061499c382fbf1276f8c62a2d371fe767f92f88d,row count,14,14,PASS,Robustness is run on the 14 FDR-supported T2D tests.
T2D.S6.cluster_count,T2D_positive_branch,exposure clusters,analysis/disease_agnostic_environmental_framework/step06_t2d_robustness/t2d_exposure_clusters.csv,73d229a0c79b7d27bc93e335173f50cad998743218548e350e39d1d167c78c3b,nunique(cluster_id),11,11,PASS,14 FDR-supported biomarkers collapse to 11 correlation-defined exposure clusters.
T2D.S7.genecards_genes,T2D_positive_branch,primary GeneCards gene set,analysis/disease_agnostic_environmental_framework/step07_genecard_convergence/t2d_genecards_primary_gene_audit.csv,6f4c2526b7d0d79de9a39bd0b6c4e88768d853ccdd281a5a1dc965fc1e608289,row count; max(rank); unique gene_symbol,rows=20554;max_rank=20554;unique_gene_symbol=20554,rows=20554;max_rank=20554;unique_gene_symbol=20554,PASS,Primary ordinary GeneCards query; the historical 111-row strict scoped query is deprecated and excluded.
T2D.S7.enriched_clusters,T2D_positive_branch,GeneCards-enriched clusters,analysis/disease_agnostic_environmental_framework/step07_genecard_convergence/t2d_cluster_enrichment_primary.csv,b61542e0372706bd23b144c85d29b5cf7fe012ae5c1a11864953fce757a69172,bh_fdr < 0.05,5,5,PASS,11 frozen clusters tested in one Step 7 BH-FDR family.
T2D.S7.tier_a_clusters,T2D_positive_branch,Tier A clusters after joint prioritization,analysis/disease_agnostic_environmental_framework/step07_genecard_convergence/t2d_step7_joint_prioritization.csv,834a7ff1b745b3acb0c6c07abde5bd236a7886ee26dbb0b662f3059e514f18b7,final_tier == Tier_A,4,4,PASS,"Tier A is a post-firewall prioritization result, not part of the initial exposure screen."
T2D.S8.pathway_tests,T2D_positive_branch,returned pathway tests,analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_pathway_ora_all.csv,d6ab7c5db0586e559447e32098f6f44346698a3caf6ef18901ba31fc2a54b27c,row count across Tier A × source × term,31623,31623,PASS,Single global BH-FDR family across returned pathway tests.
T2D.S8.pathway_significant,T2D_positive_branch,globally BH-FDR-significant pathway terms,analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_pathway_ora_significant.csv,f46d71aa057ad0d0c15eae2001def7782eada50a38d73481ac300a4c9ad0bc13,row count and global_bh_fdr < 0.05,rows=1647;fdr_lt_0_05=1647,rows=1647;fdr_lt_0_05=1647,PASS,This is the unreduced significant-term count; it is not the module count.
T2D.S8.modules,T2D_positive_branch,redundancy-reduced pathway modules,analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_module_summary.csv,824c899fc146a8109c7027a79e48b124f1a6dd6fa81932f9ed9078e2b77ddfb3,row count and unique module_id,rows=321;unique_module_id=321,rows=321;unique_module_id=321,PASS,"321 modules summarize 1,647 significant terms."
T2D.S8.representatives,T2D_positive_branch,compact pathway representatives,analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_module_representatives.csv,32b7d2fd2a8dd2091fcb7d73d0bdada2a2c5a70e776b261b195cfbbd477a56bf,row count; representative_eligible,rows=32;eligible=32,rows=32;eligible=32,PASS,Eight representatives per Tier A axis; this is distinct from the 321-module universe.
T2D.S8C.network_modules,T2D_positive_branch,STRING/Louvain network modules,analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8c_network_modules.csv,268596665a5c5fd17a14c0819dad52da76f6978f40b4ce42e8b4e059e6838ab7,row count and unique module_id,rows=97;unique_module_id=97,rows=97;unique_module_id=97,PASS,97 is the Step 8C network-module count; it is not the CRC median case count.
T2D.S8E.final_axes,T2D_positive_branch,integrated Tier A axes,analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8e_final_classification.csv,5155656f004375d3d57e5efcae242dda3ff998c33f9ae8a47fd09b5a3a828b32,row count; unique cluster_id,rows=4;unique_cluster_id=4,rows=4;unique_cluster_id=4,PASS,"Final classification contains one Flagship, two Supported and one Exploratory axis."
CRC.S5.rebuilt_tests,CRC_negative_branch,assay-specific rebuilt CRC tests,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,row count,29,29,PASS,"Current canonical CRC screen; each test uses its own assay-specific file, weight and cycle coverage."
CRC.S5.rebuilt_estimable,CRC_negative_branch,estimable CRC tests,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,finite P and analytic_n > 0,29,29,PASS,"One model has a convergence warning, but all 29 retain finite estimates and positive analytic samples."
CRC.S5.rebuilt_nominal_positive,CRC_negative_branch,nominal P < 0.05,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,P < 0.05,5,5,PASS,These are nominal signals only; none pass the canonical 29-test BH-FDR.
CRC.S5.rebuilt_fdr_positive,CRC_negative_branch,BH-FDR < 0.05,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,BH_FDR < 0.05,0,0,PASS,Canonical assay-specific rebuild has no CRC FDR-supported test.
CRC.S5.rebuilt_warning_count,CRC_negative_branch,models with convergence warning,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,status == converged_with_warning,1,1,PASS,Technical warning is retained transparently; it is not treated as non-estimable.
CRC.S9A.pooled_qc_cases,CRC_negative_branch,pooled assay-specific CRC cases,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/assay_specific_outcome_frame_qc.csv,4ada2307c2910fcc62dfac28608d04eaa3d2aefc964128eb30cc3a650d5a385c,sum(crc_cases) across 10 outcome-QC cycles,420,420,PASS,"420 is the primary assay-specific rebuilt readiness count, not the legacy diagnosis-age ledger count."
CRC.S9A.pooled_qc_controls,CRC_negative_branch,pooled cancer-free controls,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/assay_specific_outcome_frame_qc.csv,4ada2307c2910fcc62dfac28608d04eaa3d2aefc964128eb30cc3a650d5a385c,sum(cancer_free_controls),49855,49855,PASS,Controls are from the same assay-specific CRC-vs-cancer-free QC frame.
CRC.S9A.pooled_qc_rows,CRC_negative_branch,pooled CRC-vs-cancer-free QC rows,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/assay_specific_outcome_frame_qc.csv,4ada2307c2910fcc62dfac28608d04eaa3d2aefc964128eb30cc3a650d5a385c,sum(crc_vs_cancer_free_rows),50275,50275,PASS,"420 cases + 49,855 controls = 50,275 eligible outcome rows across cycles."
CRC.S9A.median_analytic_cases,CRC_negative_branch,median analytic CRC cases per test,analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,median(analytic_crc_cases) across 29 tests,97.0,97,PASS,97 is a per-test median; it must not be confused with the pooled 420-case QC total.
CRC.S9B.signal_limited,CRC_negative_branch,signal-limited tests,analysis/disease_agnostic_environmental_framework/step09_negative_branch/step9b_crc_failure_attribution_29_tests.csv,a41d4a13a6bc93967b70fbb84b5e02f4cf99bf60b339b8caaf7f4a728dfcc9a5,signal_limited_flag == True,13,13,PASS,Descriptive near-null class under the frozen OR 0.90–1.10 rule.
CRC.S9B.power_limited,CRC_negative_branch,power-limited non-null tests,analysis/disease_agnostic_environmental_framework/step09_negative_branch/step9b_crc_failure_attribution_29_tests.csv,a41d4a13a6bc93967b70fbb84b5e02f4cf99bf60b339b8caaf7f4a728dfcc9a5,power_limited_nonnull_flag == True,16,16,PASS,Directional/non-near-null estimates whose current precision cannot reliably detect the OR=1.20 reference effect.
CRC.S9B.failure_label_overlap,CRC_negative_branch,overlap between signal- and power-limited classes,analysis/disease_agnostic_environmental_framework/step09_negative_branch/step9b_crc_failure_attribution_29_tests.csv,a41d4a13a6bc93967b70fbb84b5e02f4cf99bf60b339b8caaf7f4a728dfcc9a5,sum of simultaneous signal_limited_flag and power_limited_nonnull_flag,0,0,PASS,13 + 16 = 29 here because the two statistical labels are mutually exclusive by the frozen rules.
CRC.S9B.test_count,CRC_negative_branch,failure-attribution tests,analysis/disease_agnostic_environmental_framework/step09_negative_branch/step9b_crc_failure_attribution_29_tests.csv,a41d4a13a6bc93967b70fbb84b5e02f4cf99bf60b339b8caaf7f4a728dfcc9a5,row count,29,29,PASS,The CRC failure architecture is evaluated over the same frozen 29-test panel.
