gene_symbol,crc_article_rank,crc_relevance_score,DINP_source_flags,CTD_record_count,CTD_unique_PubMed_count,CTD_unique_PubMedIDs,CTD_single_chemical_record_count,CTD_cotreatment_record_count,CTD_single_chemical_support,CTD_cotreatment_only,CTD_direct_binding_record_count,CTD_single_chemical_binding_record_count,CTD_expression_record_count,CTD_activity_record_count,CTD_reaction_record_count,CTD_abundance_record_count,CTD_action_labels,CTD_evidence_class,CTD_evidence_interpretation
PPARG,67,59.83,CTD,3,3,23843199;26172262;29410257,3,0,1,0,2,2,0,2,0,0,affects^activity;affects^binding;increases^activity,single_chemical_binding_or_interaction,"CTD contains DINP-specific binding/interaction record(s); activity is present where recorded, but this remains source-level evidence rather than in-vivo proof."
RXRA,1244,14.84,CTD,1,1,23843199|29410257,1,0,1,0,1,1,0,0,0,0,affects^binding,single_chemical_binding_or_interaction,"CTD contains DINP-specific binding/interaction record(s); activity is present where recorded, but this remains source-level evidence rather than in-vivo proof."
ATG5,1104,16.24,CTD,3,1,37976928,3,0,1,0,0,0,3,0,2,0,increases^expression;increases^reaction,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
BECN1,710,21.18,CTD,3,1,37976928,3,0,1,0,0,0,3,0,2,0,increases^expression;increases^reaction,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
DUSP1,1602,11.68,CTD,2,1,32998617,1,1,1,0,0,0,2,0,2,0,affects^cotreatment;increases^expression;increases^reaction,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
ESR1,49,65.77,CTD,1,1,28571686,1,0,1,0,0,0,0,1,1,0,decreases^reaction;increases^activity,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
MMP2,176,43.13,CTD,1,1,31154059,1,0,1,0,0,0,1,0,0,0,decreases^expression,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
MMP9,198,41.44,CTD,1,1,31154059,1,0,1,0,0,0,1,0,0,0,affects^expression,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
NR3C1,1282,14.53,CTD,2,1,32998617,1,1,1,0,0,0,0,2,2,0,affects^cotreatment;increases^activity;increases^reaction,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
SIRT1,617,23.32,CTD,2,1,31423773,2,0,1,0,0,0,2,0,0,0,decreases^expression,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
SQSTM1,720,21.05,CTD,3,1,37976928,3,0,1,0,0,0,3,0,2,0,decreases^expression;increases^expression;increases^reaction,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
TIMP1,492,26.65,CTD,1,1,31154059,1,0,1,0,0,0,1,0,0,0,decreases^expression,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
TIMP2,522,25.92,CTD,1,1,31154059,1,0,1,0,0,0,1,0,0,0,affects^expression,single_chemical_functional_response,CTD contains at least one single-chemical functional response record (expression/activity); not necessarily direct binding.
