gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
ADIG,adipogenin,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=ADIG; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ADIG mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ADIPOQ,"adiponectin, C1Q and collagen domain containing",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=ADIPOQ; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ADIPOQ mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:29933238,"CTD raw direct-DINP filter; raw_gene_symbol=AGPAT4; species=Sparus aurata (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of AGPAT4 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AGTR1,angiotensin II receptor type 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:30940551,"CTD raw direct-DINP filter; raw_gene_symbol=AGTR1; species=Mus musculus (n=2); actions=increases^expression (n=2); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Dexamethasone results in increased expression of AGTR1 protein] || diisononyl phthalate results in increased expression of AGTR1 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AIG1,androgen induced 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.387,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1375845_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=6.36e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AK1,adenylate kinase 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=AK1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of AK1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AKT1,AKT serine/threonine kinase 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Drosophila melanogaster (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:38016509,"CTD raw direct-DINP filter; raw_gene_symbol=AKT; species=Drosophila melanogaster (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of AKT mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ALOX5,arachidonate 5-lipoxygenase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=ALOX5; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ALOX5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ANGPT2,angiopoietin 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=ANGPT2; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of ANGPT2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ANGPTL4,angiopoietin like 4,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.727,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1388924_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=6.36e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AOC3,amine oxidase copper containing 3,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.443,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1370725_a_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00122; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
APOC3,apolipoprotein C3,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=APOC3; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of APOC3 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AR,androgen receptor,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),CTD curated binding/interaction statement; independent direct-binding confirmation not assumed,downregulated,(n=1); Rattus norvegicus (n=1); Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:14565775; PMID:25349334; PMID:30600365,"CTD raw direct-DINP filter; raw_gene_symbol=AR; species= (n=1); Rattus norvegicus (n=1); Sparus aurata (n=1); actions=affects^binding (n=2); decreases^expression (n=1); representative_interactions=diisononyl phthalate binds to AR protein || diisononyl phthalate results in decreased expression of AR mRNA || diisononyl phthalate binds to AR protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ART3,ADP-ribosyltransferase 3 (inactive),CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=ART3; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ART3 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ASPH,aspartate beta-hydroxylase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=ASPH; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ASPH mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ATG5,autophagy related 5,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Homo sapiens (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37976928,"CTD raw direct-DINP filter; raw_gene_symbol=ATG5; species=Homo sapiens (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ATG5 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=ATP1A2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ATP1A2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=ATP2A1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ATP2A1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)",GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=-1.236,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,down,GSE40342; PMID:25475144; GPL1355; probe:1398373_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000484; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
BECN1,beclin 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Homo sapiens (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37976928,"CTD raw direct-DINP filter; raw_gene_symbol=BECN1; species=Homo sapiens (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of BECN1 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
BMP2,bone morphogenetic protein 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=BMP2; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of BMP2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=BSCL2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of BSCL2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=2.023,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1390358_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00106; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CASQ1,calsequestrin 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=CASQ1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CASQ1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CAT,catalase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),CTD curated activity modulation; not necessarily direct binding,,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=CAT; species=Sparus aurata (n=1); actions=increases^activity (n=1); representative_interactions=diisononyl phthalate results in increased activity of CAT protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CCL11,C-C motif chemokine ligand 11,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CCL11; species=Mus musculus (n=1); actions=decreases^reaction (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate inhibits the reaction [Antigens, Dermatophagoides results in increased expression of CCL11 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CCL17,C-C motif chemokine ligand 17,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CCL17; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CCL17 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CCL22,C-C motif chemokine ligand 22,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CCL22; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CCL22 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CCL24,C-C motif chemokine ligand 24,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CCL24; species=Mus musculus (n=1); actions=decreases^reaction (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate inhibits the reaction [Antigens, Dermatophagoides results in increased expression of CCL24 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CCN2,cellular communication network factor 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=-2.134,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,24 h,down,GSE40342; PMID:25475144; GPL1355; probe:1367631_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=3.74e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CCR7,C-C motif chemokine receptor 7,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CCR7; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CCR7 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CD36,CD36 molecule (CD36 blood group),CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=CD36; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CD36 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CD80,CD80 molecule,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CD80; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CD80 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CD86,CD86 molecule,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=CD86; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CD86 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CDC42EP2,CDC42 effector protein 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=-1.054,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,down,GSE40342; PMID:25475144; GPL1355; probe:1389145_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000413; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CEBPG,CCAAT enhancer binding protein gamma,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=CEBPG; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CEBPG mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CFL2,cofilin 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=CFL2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CFL2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CGA,"glycoprotein hormones, alpha polypeptide",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37812459,"CTD raw direct-DINP filter; raw_gene_symbol=CGA; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CGA mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
CLIP4,CAP-Gly domain containing linker protein family member 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=CLIP4; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of CLIP4 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
