gene_symbol,uniprot_accession,pdb_id,chain_id,experimental_method,resolution,coverage,unp_start,unp_end
PTGES3,Q15185,1ejf,A,X-ray diffraction,2.49,0.69,1,125
CXCR4,P61073,9upv,D,Electron Microscopy,2.7,0.81,1,337
CXCR4,P61073,9upu,F,Electron Microscopy,2.8,0.81,1,337
CXCR4,P61073,8i0q,H,Electron Microscopy,4.45,0.03,336,352
CXCR4,P61073,8i0q,G,Electron Microscopy,4.45,0.03,336,352
CXCR4,P61073,8gp3,D,Electron Microscopy,4.8,0.03,336,352
CXCR4,P61073,8gp3,B,Electron Microscopy,4.8,0.03,336,352
CXCR4,P61073,8u4p,D,Electron Microscopy,3.15,0.81,2,352
CXCR4,P61073,8u4r,C,Electron Microscopy,3.1,0.79,2,352
CXCR4,P61073,8zpl,B,Electron Microscopy,3.01,0.73,1,319
CXCR4,P61073,8u4n,D,Electron Microscopy,2.72,0.8,2,352
CXCR4,P61073,8u4o,A,Electron Microscopy,3.29,0.84,2,352
CXCR4,P61073,9me1,H,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,F,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,B,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,A,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,J,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,I,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,G,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,9me1,E,Electron Microscopy,3.37,0.8,1,352
CXCR4,P61073,8zpm,A,Electron Microscopy,3.2,0.73,1,319
CXCR4,P61073,4rws,A,X-ray diffraction,3.1,0.78,2,319
CXCR4,P61073,8zpn,A,Electron Microscopy,3.31,0.73,1,319
CXCR4,P61073,8u4s,C,Electron Microscopy,3.35,0.81,2,352
CXCR4,P61073,8u4s,F,Electron Microscopy,3.35,0.81,2,352
CXCR4,P61073,8u4s,I,Electron Microscopy,3.35,0.81,2,352
CXCR4,P61073,22xc,F,Electron Microscopy,3.28,0.78,2,352
CXCR4,P61073,22xc,E,Electron Microscopy,3.28,0.78,2,352
CXCR4,P61073,22xc,C,Electron Microscopy,3.28,0.78,2,352
CXCR4,P61073,8u4t,I,Electron Microscopy,3.38,0.79,2,352
CXCR4,P61073,8u4t,C,Electron Microscopy,3.38,0.79,2,352
CXCR4,P61073,8u4t,L,Electron Microscopy,3.38,0.79,2,352
CXCR4,P61073,8u4t,F,Electron Microscopy,3.38,0.79,2,352
CXCR4,P61073,8u4q,C,Electron Microscopy,3.36,0.84,2,352
CXCR4,P61073,9men,D,Electron Microscopy,3.57,0.8,1,352
CXCR4,P61073,9men,A,Electron Microscopy,3.57,0.8,1,352
CXCR4,P61073,9men,C,Electron Microscopy,3.57,0.8,1,352
CXCR4,P61073,9men,B,Electron Microscopy,3.57,0.8,1,352
CXCR4,P61073,2k05,D,Solution NMR,,0.11,1,38
CXCR4,P61073,2k05,B,Solution NMR,,0.11,1,38
CXCR4,P61073,9meu,E,Electron Microscopy,3.46,0.8,1,352
CXCR4,P61073,9meu,B,Electron Microscopy,3.46,0.8,1,352
CXCR4,P61073,9meu,A,Electron Microscopy,3.46,0.8,1,352
CXCR4,P61073,9meu,F,Electron Microscopy,3.46,0.8,1,352
CXCR4,P61073,2k04,D,Solution NMR,,0.11,1,38
CXCR4,P61073,2k04,B,Solution NMR,,0.11,1,38
CXCR4,P61073,2k03,B,Solution NMR,,0.11,1,38
CXCR4,P61073,2k03,D,Solution NMR,,0.11,1,38
CXCR4,P61073,2n55,B,Solution NMR,,0.11,1,38
CXCR4,P61073,3oe0,A,X-ray diffraction,2.9,0.78,2,319
CXCR4,P61073,3odu,B,X-ray diffraction,2.5,0.83,2,319
CXCR4,P61073,3odu,A,X-ray diffraction,2.5,0.83,2,319
CXCR4,P61073,8k3z,A,Electron Microscopy,2.81,0.84,25,320
CXCR4,P61073,9mdu,C,Electron Microscopy,2.9,0.8,1,352
CXCR4,P61073,9mdu,B,Electron Microscopy,2.9,0.8,1,352
CXCR4,P61073,9mdu,A,Electron Microscopy,2.9,0.8,1,352
CXCR4,P61073,9mdu,D,Electron Microscopy,2.9,0.8,1,352
CXCR4,P61073,9mej,C,Electron Microscopy,3.99,0.8,1,352
CXCR4,P61073,9mej,B,Electron Microscopy,3.99,0.8,1,352
CXCR4,P61073,9mej,A,Electron Microscopy,3.99,0.8,1,352
CXCR4,P61073,9mej,D,Electron Microscopy,3.99,0.8,1,352
CXCR4,P61073,8yu7,D,Electron Microscopy,3.01,0.8,2,352
CXCR4,P61073,8yu7,B,Electron Microscopy,3.01,0.8,2,352
CXCR4,P61073,8yu7,C,Electron Microscopy,3.01,0.8,2,352
CXCR4,P61073,8yu7,A,Electron Microscopy,3.01,0.8,2,352
CXCR4,P61073,3oe8,B,X-ray diffraction,3.1,0.75,2,319
CXCR4,P61073,3oe8,C,X-ray diffraction,3.1,0.76,2,319
CXCR4,P61073,3oe8,A,X-ray diffraction,3.1,0.77,2,319
CXCR4,P61073,3oe6,A,X-ray diffraction,3.2,0.77,2,325
CXCR4,P61073,3oe9,B,X-ray diffraction,3.1,0.73,2,319
CXCR4,P61073,3oe9,A,X-ray diffraction,3.1,0.75,2,319
CXCR4,P61073,9met,C,Electron Microscopy,5.65,0.8,1,352
CXCR4,P61073,9met,A,Electron Microscopy,5.65,0.8,1,352
CXCR4,P61073,9met,B,Electron Microscopy,5.65,0.8,1,352
CXCR4,P61073,9met,D,Electron Microscopy,5.65,0.8,1,352
