gene_symbol,gene_id,chemical,chemical_identity,exact_evidence_rows,exact_human_supported,exact_experimental_supported,CTD_support,PubChem_support,ChEMBL_support,number_independent_sources,number_independent_references,number_species,evidence_species,evidence_tiers,evidence_types,evidence_directions,evidence_role,direct_target_binding_flag,metabolism_related_flag,ambiguous_direction_flag,evidence_source_databases,evidence_provenance,parent_naphthalene_rows_in_primary,primary_universe_rule,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_id,thyroid_disease_name,thyroid_disease_relevance_score,thyroid_disease_rank,thyroid_source,thyroid_association_scope,hypertension_disease_id,hypertension_disease_name,hypertension_disease_relevance_score,hypertension_disease_rank,hypertension_source,hypertension_association_scope,branch_evidence_note
CYP2C19,1557,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Active,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0022174791281082,1752,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0868271074478014,159,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CYP2D6,1565,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0027718489101352,1567,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.026711927349944,730,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,22,True,False,False,True,False,1,11,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743069|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743069|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743075|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743075|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743077|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743077|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743078|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743078|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743079|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743079|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743080|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743080|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743091|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743091|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259244|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259244|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259248|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259248|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259383|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259383|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259391|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259391|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0162716630886272,666,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.095583008339471,136,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
ESR2,2100,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259377|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259377|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259378|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259378|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259394|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259394|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259396|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259396|Homo sapiens|Inconclusive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.003018235479925,1499,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0447712745720745,380,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
ESRRA,2101,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,16,True,False,False,True,False,1,8,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224841|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224841|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224842|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224842|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224848|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224848|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224849|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224849|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259401|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259401|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259402|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259402|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259403|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259403|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259404|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259404|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0022174791281082,1686,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0053589078929281,2760,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
GNRHR,2798,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1920063|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920063|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920067|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920067|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0014783194187388,2085,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0235607157361497,836,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
HDAC6,Q9UBN7,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,True,False,False,False,True,1,2,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4808149; ChEMBL-document:CHEMBL4808148|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4808150; ChEMBL-document:CHEMBL4808148|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.007391597093694,984,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0287385856151821,669,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
HDAC9,9734,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259364|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259364|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259388|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259388|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0028437116596572,1561,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.028752731407551,668,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
HIF1A,3091,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224846|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224846|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224894|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224894|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0127485190419634,718,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0577865656925595,281,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
IFNG,3458,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259416|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259416|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259421|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259421|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.011274271786901,767,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.067940693368204,236,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
JUN,3725,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159526|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159526|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159528|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1159528|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.011525745841882,760,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0257854080658391,761,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
MITF,4286,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259374|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,True,True,shared,MONDO_0003240,thyroid gland disorder,0.0014783194187388,2051,Open Targets Platform GraphQL,direct (enableIndirect=false),HP_0000822,Hypertension,0.0092394963671175,1946,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
