gene_symbol,crc_article_rank,crc_relevance_score,crc_rank_percentile_top,CTD_support,ToxCast_support,Tox21_support,CompTox_family_support,T3DB_support,DINP_raw_source_count,DINP_source_family_count,DINP_evidence_profile,DINP_multi_family_support,GO_representative_count,Reactome_term_count,KEGG_term_count,pathway_recurrence_total,pathway_source_count,same_theme_two_source_count,same_theme_three_source_count,same_theme_labels,pathway_theme_breadth,pathway_anchor_class,original_biological_priority_rank,pathway_recurrence_percentile_within_41,pathway_breadth_percentile_within_41,annotation_breadth_proxy_note
PTGES2,1392,13.61,0.265188,1,0,0,0,0,1,1,CTD,0,7,6,1,14,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,2,strong_cross-resource_pathway_anchor,12,0.341463,0.121951,pathway recurrence only; not a corrected annotation-density estimate
RELA,165,44.02,0.913365,1,0,0,0,0,1,1,CTD,0,27,12,3,42,3,5,0,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,13,0.829268,0.951220,pathway recurrence only; not a corrected annotation-density estimate
STAT3,52,64.86,0.973059,1,0,0,0,0,1,1,CTD,0,29,9,2,40,3,5,0,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,5,strong_cross-resource_pathway_anchor,14,0.780488,0.658537,pathway recurrence only; not a corrected annotation-density estimate
ESR1,49,65.77,0.974643,1,0,0,0,0,1,1,CTD,0,25,9,1,35,3,3,0,Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,strong_cross-resource_pathway_anchor,15,0.707317,0.951220,pathway recurrence only; not a corrected annotation-density estimate
MMP9,198,41.44,0.895932,1,0,0,0,0,1,1,CTD,0,19,5,2,26,3,3,0,Lipid / fatty-acid / eicosanoid metabolism; Inflammation / immune / stimulus response; Signaling / receptor / hormone response,7,strong_cross-resource_pathway_anchor,16,0.536585,1.000000,pathway recurrence only; not a corrected annotation-density estimate
SQSTM1,720,21.05,0.620180,1,0,0,0,0,1,1,CTD,0,15,9,1,25,2,3,0,Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,4,cross-resource_pathway_supported,17,0.512195,0.463415,pathway recurrence only; not a corrected annotation-density estimate
MMP2,176,43.13,0.907554,1,0,0,0,0,1,1,CTD,0,21,6,1,28,2,3,0,Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,7,cross-resource_pathway_supported,18,0.609756,1.000000,pathway recurrence only; not a corrected annotation-density estimate
PGR,563,24.73,0.703117,1,0,0,0,0,1,1,CTD,0,14,12,1,27,3,2,0,Signaling / receptor / hormone response; General metabolism / biosynthesis,5,strong_cross-resource_pathway_anchor,19,0.585366,0.658537,pathway recurrence only; not a corrected annotation-density estimate
HSPA1A,1408,13.46,0.256735,1,0,0,0,0,1,1,CTD,0,24,4,1,29,3,2,0,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,6,strong_cross-resource_pathway_anchor,20,0.658537,0.951220,pathway recurrence only; not a corrected annotation-density estimate
NR3C1,1282,14.53,0.323296,1,0,0,0,0,1,1,CTD,0,23,10,0,33,2,2,0,Signaling / receptor / hormone response; General metabolism / biosynthesis,6,cross-resource_pathway_supported,21,0.682927,0.951220,pathway recurrence only; not a corrected annotation-density estimate
TIMP1,492,26.65,0.740623,1,0,0,0,0,1,1,CTD,0,16,8,0,24,2,2,0,Inflammation / immune / stimulus response; General metabolism / biosynthesis,5,cross-resource_pathway_supported,22,0.463415,0.658537,pathway recurrence only; not a corrected annotation-density estimate
PTGER4,719,21.08,0.620708,1,0,0,0,0,1,1,CTD,0,13,4,1,18,2,2,0,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,5,cross-resource_pathway_supported,23,0.390244,0.658537,pathway recurrence only; not a corrected annotation-density estimate
PTGER2,1089,16.4,0.425251,1,0,0,0,0,1,1,CTD,0,13,4,1,18,2,2,0,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,4,cross-resource_pathway_supported,24,0.390244,0.463415,pathway recurrence only; not a corrected annotation-density estimate
CCL20,1770,10.68,0.065504,1,0,0,0,0,1,1,CTD,0,4,3,0,7,2,2,0,Inflammation / immune / stimulus response; Signaling / receptor / hormone response,2,cross-resource_pathway_supported,25,0.048780,0.121951,pathway recurrence only; not a corrected annotation-density estimate
IL1A,1055,16.73,0.443212,0,1,0,1,0,1,1,CompTox,0,17,7,1,25,2,1,0,Inflammation / immune / stimulus response,6,cross-resource_pathway_supported,26,0.512195,0.951220,pathway recurrence only; not a corrected annotation-density estimate
SIRT1,617,23.32,0.674591,1,0,0,0,0,1,1,CTD,0,45,4,1,50,2,1,0,Signaling / receptor / hormone response,6,cross-resource_pathway_supported,27,0.926829,0.951220,pathway recurrence only; not a corrected annotation-density estimate
BECN1,710,21.18,0.625462,1,0,0,0,0,1,1,CTD,0,23,3,1,27,2,1,0,General metabolism / biosynthesis,6,cross-resource_pathway_supported,28,0.585366,0.951220,pathway recurrence only; not a corrected annotation-density estimate
F3,1415,13.31,0.253038,0,1,0,1,0,1,1,CompTox,0,12,2,0,14,2,1,0,Signaling / receptor / hormone response,4,cross-resource_pathway_supported,29,0.341463,0.463415,pathway recurrence only; not a corrected annotation-density estimate
DKK1,700,21.43,0.630745,1,0,0,0,0,1,1,CTD,0,11,2,0,13,2,1,0,Signaling / receptor / hormone response,5,cross-resource_pathway_supported,30,0.292683,0.658537,pathway recurrence only; not a corrected annotation-density estimate
CXCR4,81,55.7,0.957739,1,0,0,0,0,1,1,CTD,0,8,2,0,10,2,1,0,Signaling / receptor / hormone response,3,cross-resource_pathway_supported,31,0.243902,0.243902,pathway recurrence only; not a corrected annotation-density estimate
DUSP1,1602,11.68,0.154253,1,0,0,0,0,1,1,CTD,0,6,2,2,10,2,1,0,Signaling / receptor / hormone response,2,cross-resource_pathway_supported,32,0.243902,0.121951,pathway recurrence only; not a corrected annotation-density estimate
SELE,998,17.27,0.473323,0,1,0,1,0,1,1,CompTox,0,7,1,2,10,2,1,0,Lipid / fatty-acid / eicosanoid metabolism,3,cross-resource_pathway_supported,33,0.243902,0.243902,pathway recurrence only; not a corrected annotation-density estimate
IGFBP1,1632,11.43,0.138405,1,0,0,0,0,1,1,CTD,0,3,5,0,8,2,0,0,,3,single-resource_or_nonconcordant_pathway_context,34,0.146341,0.243902,pathway recurrence only; not a corrected annotation-density estimate
TIMP2,522,25.92,0.724775,1,0,0,0,0,1,1,CTD,0,4,4,0,8,2,0,0,,4,single-resource_or_nonconcordant_pathway_context,35,0.146341,0.463415,pathway recurrence only; not a corrected annotation-density estimate
CA9,654,22.47,0.655045,1,0,0,0,0,1,1,CTD,0,4,4,0,8,2,0,0,,3,single-resource_or_nonconcordant_pathway_context,36,0.146341,0.243902,pathway recurrence only; not a corrected annotation-density estimate
ATG5,1104,16.24,0.417327,1,0,0,0,0,1,1,CTD,0,16,3,1,20,1,0,0,,4,single-resource_or_nonconcordant_pathway_context,37,0.414634,0.463415,pathway recurrence only; not a corrected annotation-density estimate
CRP,433,28.01,0.771791,1,0,0,0,0,1,1,CTD,0,11,1,0,12,1,0,0,,3,single-resource_or_nonconcordant_pathway_context,38,0.268293,0.243902,pathway recurrence only; not a corrected annotation-density estimate
NR1I2,1615,11.58,0.147385,1,1,0,1,1,3,3,CTD; CompTox; T3DB,1,9,0,0,9,1,0,0,,5,single-resource_or_nonconcordant_pathway_context,39,0.170732,0.658537,pathway recurrence only; not a corrected annotation-density estimate
NEAT1,606,23.57,0.680401,1,0,0,0,0,1,1,CTD,0,8,0,0,8,1,0,0,,2,single-resource_or_nonconcordant_pathway_context,40,0.146341,0.121951,pathway recurrence only; not a corrected annotation-density estimate
MIR675,1221,15.05,0.355520,1,0,0,0,0,1,1,CTD,0,0,0,0,0,0,0,0,,0,single-resource_or_nonconcordant_pathway_context,41,0.024390,0.024390,pathway recurrence only; not a corrected annotation-density estimate
