original_biological_priority_rank,gene_symbol,crc_article_rank,crc_relevance_score,DINP_evidence_profile,DINP_raw_source_count,DINP_source_family_count,DINP_multi_family_support,GO_representative_count,Reactome_term_count,KEGG_term_count,pathway_recurrence_total,pathway_source_count,same_theme_two_source_count,same_theme_three_source_count,same_theme_labels,pathway_theme_breadth,pathway_recurrence_percentile_within_41,pathway_breadth_percentile_within_41,pathway_anchor_class,annotation_breadth_proxy_note
11,PTGS1,517,26.08,CTD,1,1,0,11,8,2,21,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,4,0.439024,0.463415,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
12,PTGES2,1392,13.61,CTD,1,1,0,7,6,1,14,3,2,1,Lipid / fatty-acid / eicosanoid metabolism; General metabolism / biosynthesis,2,0.341463,0.121951,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
13,RELA,165,44.02,CTD,1,1,0,27,12,3,42,3,5,0,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,0.829268,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
14,STAT3,52,64.86,CTD,1,1,0,29,9,2,40,3,5,0,Lipid / fatty-acid / eicosanoid metabolism; Chemical / xenobiotic / oxygen-stress response; Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,5,0.780488,0.658537,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
15,ESR1,49,65.77,CTD,1,1,0,25,9,1,35,3,3,0,Chemical / xenobiotic / oxygen-stress response; Signaling / receptor / hormone response; General metabolism / biosynthesis,6,0.707317,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
16,MMP9,198,41.44,CTD,1,1,0,19,5,2,26,3,3,0,Lipid / fatty-acid / eicosanoid metabolism; Inflammation / immune / stimulus response; Signaling / receptor / hormone response,7,0.536585,1.000000,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
17,SQSTM1,720,21.05,CTD,1,1,0,15,9,1,25,2,3,0,Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,4,0.512195,0.463415,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
18,MMP2,176,43.13,CTD,1,1,0,21,6,1,28,2,3,0,Inflammation / immune / stimulus response; Signaling / receptor / hormone response; General metabolism / biosynthesis,7,0.609756,1.000000,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
19,PGR,563,24.73,CTD,1,1,0,14,12,1,27,3,2,0,Signaling / receptor / hormone response; General metabolism / biosynthesis,5,0.585366,0.658537,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
20,HSPA1A,1408,13.46,CTD,1,1,0,24,4,1,29,3,2,0,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,6,0.658537,0.951220,strong_cross-resource_pathway_anchor,pathway recurrence only; not a corrected annotation-density estimate
21,NR3C1,1282,14.53,CTD,1,1,0,23,10,0,33,2,2,0,Signaling / receptor / hormone response; General metabolism / biosynthesis,6,0.682927,0.951220,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
22,TIMP1,492,26.65,CTD,1,1,0,16,8,0,24,2,2,0,Inflammation / immune / stimulus response; General metabolism / biosynthesis,5,0.463415,0.658537,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
23,PTGER4,719,21.08,CTD,1,1,0,13,4,1,18,2,2,0,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,5,0.390244,0.658537,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
24,PTGER2,1089,16.4,CTD,1,1,0,13,4,1,18,2,2,0,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,4,0.390244,0.463415,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
25,CCL20,1770,10.68,CTD,1,1,0,4,3,0,7,2,2,0,Inflammation / immune / stimulus response; Signaling / receptor / hormone response,2,0.048780,0.121951,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
26,IL1A,1055,16.73,CompTox,1,1,0,17,7,1,25,2,1,0,Inflammation / immune / stimulus response,6,0.512195,0.951220,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
27,SIRT1,617,23.32,CTD,1,1,0,45,4,1,50,2,1,0,Signaling / receptor / hormone response,6,0.926829,0.951220,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
28,BECN1,710,21.18,CTD,1,1,0,23,3,1,27,2,1,0,General metabolism / biosynthesis,6,0.585366,0.951220,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
29,F3,1415,13.31,CompTox,1,1,0,12,2,0,14,2,1,0,Signaling / receptor / hormone response,4,0.341463,0.463415,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
30,DKK1,700,21.43,CTD,1,1,0,11,2,0,13,2,1,0,Signaling / receptor / hormone response,5,0.292683,0.658537,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
31,CXCR4,81,55.7,CTD,1,1,0,8,2,0,10,2,1,0,Signaling / receptor / hormone response,3,0.243902,0.243902,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
32,DUSP1,1602,11.68,CTD,1,1,0,6,2,2,10,2,1,0,Signaling / receptor / hormone response,2,0.243902,0.121951,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
33,SELE,998,17.27,CompTox,1,1,0,7,1,2,10,2,1,0,Lipid / fatty-acid / eicosanoid metabolism,3,0.243902,0.243902,cross-resource_pathway_supported,pathway recurrence only; not a corrected annotation-density estimate
34,IGFBP1,1632,11.43,CTD,1,1,0,3,5,0,8,2,0,0,,3,0.146341,0.243902,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
35,TIMP2,522,25.92,CTD,1,1,0,4,4,0,8,2,0,0,,4,0.146341,0.463415,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
36,CA9,654,22.47,CTD,1,1,0,4,4,0,8,2,0,0,,3,0.146341,0.243902,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
37,ATG5,1104,16.24,CTD,1,1,0,16,3,1,20,1,0,0,,4,0.414634,0.463415,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
38,CRP,433,28.01,CTD,1,1,0,11,1,0,12,1,0,0,,3,0.268293,0.243902,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
39,NR1I2,1615,11.58,CTD; CompTox; T3DB,3,3,1,9,0,0,9,1,0,0,,5,0.170732,0.658537,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
40,NEAT1,606,23.57,CTD,1,1,0,8,0,0,8,1,0,0,,2,0.146341,0.121951,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
41,MIR675,1221,15.05,CTD,1,1,0,0,0,0,0,0,0,0,,0,0.024390,0.024390,single-resource_or_nonconcordant_pathway_context,pathway recurrence only; not a corrected annotation-density estimate
