chemical_id,chemical_name,chemical_class,positive_biomarkers,exposure_axes,mapping_types,mapping_grades,mapping_gate_statuses,mapping_gate_disposition,mapping_gate_reasons,manual_review_required,NHANES_variables,matrices,cycle_lists,weight_variables,mapping_row_count,primary_mapping_row_count,direct_mapping_row_count,specific_mapping_row_count,proxy_mapping_row_count,T2D_ORs,T2D_P_values,T2D_FDR_values,T2D_analytic_Ns,T2D_case_Ns,T2D_robustness_statuses,T2D_robustness_tiers
C000615180,Uranium-240,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the uranium elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C510902,dioxouranium(VI),heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,C,exclude,exclude_pending_mapping_review,"Source mapping type is elemental, but chemical name does not identify the measured element (uranium); retain for audit and exclude from specific-exposure shortlist pending mapping review.",True,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
D014501,Uranium,heavy_metals,URXUUR,metal exposure axis,elemental urinary biomarker for parent metal/species,A,pass,advance_to_literature_audit,Chemical name is the measured parent element (uranium) for the elemental urinary analyte.,False,URXUUR,urine,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,WTSA2YR;WTSHM2YR,1,1,1,0,0,1.1648631618491019,7.127233484122271e-07,2.0668977103954584e-05,11854,1715,ok,robust_fdr_candidate
C000615510,Molybdenum-94,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the molybdenum elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000615511,Molybdenum-95,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the molybdenum elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000615512,Molybdenum-96,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the molybdenum elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000615513,Molybdenum-97,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the molybdenum elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000615514,Molybdenum-100,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the molybdenum elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000615515,Molybdenum-99,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the molybdenum elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000723919,molybdenum oxide,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C017541,molybdenum blue,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C082290,molybdenum trioxide,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C082964,molybdenum disulfide,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C085192,molybdenum chloride,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C088876,molybdenum telluride,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C434645,hexacarbonylmolybdenum,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,exclude,exclude_pending_mapping_review,"Source mapping type is elemental, but chemical name does not identify the measured element (molybdenum); retain for audit and exclude from specific-exposure shortlist pending mapping review.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C532628,phosphoantimonylmolybdenum blue,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,exclude,exclude_pending_mapping_review,"Source mapping type is elemental, but chemical name does not identify the measured element (molybdenum); retain for audit and exclude from specific-exposure shortlist pending mapping review.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C539565,molybdenum dioxide,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C574181,molybdenum carbide,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C582810,molybdenum boride,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (molybdenum) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
D008982,Molybdenum,heavy_metals,URXUMO,metal exposure axis,elemental urinary biomarker for parent metal/species,A,pass,advance_to_literature_audit,Chemical name is the measured parent element (molybdenum) for the elemental urinary analyte.,False,URXUMO,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,1,0,0,1.1895524659194543,4.724941970774123e-06,6.851165857622479e-05,14249,2103,ok,robust_fdr_candidate
C000615069,Tungsten-182,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615070,Tungsten-183,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615071,Tungsten-186,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615072,Tungsten-178,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615073,Tungsten-181,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615074,Tungsten-185,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615075,Tungsten-187,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615076,Tungsten-188,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the tungsten elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C009613,ammonium tungsten antimonate hydroxide oxide,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (tungsten) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C434643,hexacarbonyltungsten,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,exclude,exclude_pending_mapping_review,"Source mapping type is elemental, but chemical name does not identify the measured element (tungsten); retain for audit and exclude from specific-exposure shortlist pending mapping review.",True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C511604,tungsten oxide,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (tungsten) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
D014414,Tungsten,heavy_metals,URXUTU,metal exposure axis,elemental urinary biomarker for parent metal/species,A,pass,advance_to_literature_audit,Chemical name is the measured parent element (tungsten) for the elemental urinary analyte.,False,URXUTU,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,1,0,0,1.1353037561914439,5.1459780908066845e-05,0.0004974445487779794,14265,2110,ok,robust_fdr_candidate
C000615127,Lead-204,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the lead elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C000615128,Lead-206,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the lead elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C000615129,Lead-207,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,Isotopic/species-specific name under the lead elemental assay; urinary assay cannot establish isotope/species specificity.,True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C017461,lead nitrate,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (lead) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C017462,lead tetrachloride,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (lead) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C018391,lead sulfide,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (lead) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C028356,lead tetroxide,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (lead) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
C029891,lead chloride,heavy_metals,URXUPB,metal exposure axis,elemental urinary biomarker for parent metal/species,C,conditional,proxy_only_not_primary,"Chemical name contains the measured element (lead) but identifies a salt, formulation, complex, or other species not resolved by the elemental assay.",True,URXUPB,urine,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,WTSA2YR;WTSHM2YR,1,1,0,0,1,0.8496450662242913,0.0004238147699398052,0.003072657082063588,14343,2120,ok,robust_fdr_candidate
