gene_symbol,gene_id,chemical,chemical_identity,evidence_tier,evidence_type,species,tissue_or_cell,direction,effect_size,p_value,fdr,dose,duration,dataset_or_reference,source_database,notes
NS1,23308111,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Influenza A virus (A/California/07/2009(H1N1)),,Inactive,,,,,,PubChem-AID:504329,PubChem BioAssay,assay_name=Discovery of Small Molecule Probes for H1N1 Influenza NS1A; assay_type=Confirmatory; activity_name=IC50; target_accession=ACP44172
BAZ2B,29994,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504333,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of BAZ2B; assay_type=Confirmatory; activity_name=Potency; target_accession=BAA89212
OPRD1,4985,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504357,PubChem BioAssay,assay_name=Luminescence-based cell-based primary high throughput screening assay to identify inverse agonists of heterodimerization of the mu 1 (OPRM1) and delta 1 (OPRD1) opioid receptors; assay_type=Screening; activity_name=; target_accession=NP_000902
OPRM1,4988,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504357,PubChem BioAssay,assay_name=Luminescence-based cell-based primary high throughput screening assay to identify inverse agonists of heterodimerization of the mu 1 (OPRM1) and delta 1 (OPRD1) opioid receptors; assay_type=Screening; activity_name=; target_accession=NP_000905
glf,886142,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mycobacterium tuberculosis H37Rv,,Inactive,,,,,,PubChem-AID:504406,PubChem BioAssay,assay_name=Inhibitors of Mycobacterium tuberculosis UDP-galactopyranose mutase (UGM) enzyme - High throughput screening using Fluorescent polarization assay Measured in Biochemical System Using Plate Reader - 2105-01_Inhibitor_SinglePoint_HTS_Activity_Set6; assay_type=Screening; activity_name=; target_accession=NP_218326
DAGLB,221955,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504411,PubChem BioAssay,"assay_name=Fluorescence-based primary biochemical high throughput screening assay to identify inhibitors of human diacylglycerol lipase, beta (DAGLB); assay_type=Screening; activity_name=; target_accession=NP_631918"
CFTR,1080,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504414,PubChem BioAssay,assay_name=Fluorescence Polarization with Cer CAL-PDZ Measured in Biochemical System Using Plate Reader - 2109-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=NP_000483
GOPC,57120,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504414,PubChem BioAssay,assay_name=Fluorescence Polarization with Cer CAL-PDZ Measured in Biochemical System Using Plate Reader - 2109-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=NP_065132
ADRB2,154,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504454,PubChem BioAssay,assay_name=HTS for Beta-2AR agonists via FAP method; assay_type=Screening; activity_name=; target_accession=NP_000015
ATG4B,23192,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504462,PubChem BioAssay,assay_name=uHTS fluorescent assay for identification of inhibitors of ATG4B; assay_type=Screening; activity_name=; target_accession=NP_037457
ATAD5,79915,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504466,PubChem BioAssay,assay_name=qHTS screen for small molecules that induce genotoxicity in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH15051
ATAD5,79915,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504467,PubChem BioAssay,assay_name=qHTS screen for small molecules that inhibit ELG1-dependent DNA repair in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH15051
ARRB1,408,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504490,PubChem BioAssay,assay_name=Assay for Inhibitors of the beta-Arrestin-Adaptor Protein 2 Interaction That Mediate GPCR Degradation and Recycling; assay_type=Screening; activity_name=; target_accession=AAH03636
KEAP1,9817,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504523,PubChem BioAssay,assay_name=Fluorescence polarization to screen for inhibitors that disrupt the protein-protein interaction between Keap1 and Nrf2   Measured in Biochemical System Using Plate Reader - 2119-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=NP_987096
LMP-1,3783750,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Human gammaherpesvirus 4,,Inactive,,,,,,PubChem-AID:504558,PubChem BioAssay,assay_name=Inhibitors of Epstein-Barr LMP1 inducible NF-kappaB luciferase reporter Measured in Cell-Based System Using Plate Reader - 2122-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=CAD53472
VMA11,855842,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Saccharomyces cerevisiae S288C,,Inactive,,,,,,PubChem-AID:504577,PubChem BioAssay,assay_name=HTS of Small Molecules that Regulate V-ATPase Proton Transport in Yeast using pHLuorin; assay_type=Screening; activity_name=; target_accession=NP_015090
PF3D7_1437900,811941,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Plasmodium falciparum 3D7,,Inactive,,,,,,PubChem-AID:504582,PubChem BioAssay,assay_name=In vivo-based yeast HTS to detect compounds rescuing yeast growth/survival of Plasmodium Falciparum HSP40-mediated toxicity Measured in Whole Organism System Using Plate Reader - 2120-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=XP_001348533
PF3D7_1443900,811999,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Plasmodium falciparum 3D7,,Inactive,,,,,,PubChem-AID:504621,PubChem BioAssay,assay_name=Anti-Malarial Hsp90 Inhibitors Measured in Microorganism System Using Plate Reader - 2121-01_Inhibitor_SinglePoint_HTS_Activity_Set2; assay_type=Screening; activity_name=; target_accession=XP_001348591
HTR5A,3361,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504634,PubChem BioAssay,assay_name=Counterscreen for inverse agonists of OPRM1-OPRD1 heterodimerization: luminescence-based cell-based full-deck high throughput screening assay to identify inverse agonists of 5-hydroxytryptamine (serotonin) 5A receptor (HTR5A); assay_type=Screening; activity_name=; target_accession=NP_076917
DRD1,1812,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504651,PubChem BioAssay,assay_name=Potentiators of Human D1 Dopamine Receptor: qHTS; assay_type=Screening; activity_name=; target_accession=NP_000785
DRD1,1812,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504660,PubChem BioAssay,assay_name=Allosteric Agonists of the Human D1 Dopamine Receptor: qHTS; assay_type=Screening; activity_name=; target_accession=NP_000785
HTR5A,3361,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504692,PubChem BioAssay,assay_name=Counterscreen for agonists of OPRM1-OPRD1 heterodimerization: luminescence-based cell-based full-deck high throughput screening assay to identify agonists of 5-hydroxytryptamine (serotonin) 5A receptor (HTR5A); assay_type=Screening; activity_name=; target_accession=NP_076917
PRKAR2B,5577,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504700,PubChem BioAssay,assay_name=Fluorescence polarization-based biochemical primary high throughput screening assay to identify activators of the Protein Kinase A-R2B (PKA-R2B) complex; assay_type=Screening; activity_name=; target_accession=NP_002727
PRKACB,5567,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504700,PubChem BioAssay,assay_name=Fluorescence polarization-based biochemical primary high throughput screening assay to identify activators of the Protein Kinase A-R2B (PKA-R2B) complex; assay_type=Screening; activity_name=; target_accession=NP_997461
TP53,7157,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504706,PubChem BioAssay,assay_name=qHTS assay for re-activators of p53 using a Luc reporter; assay_type=Confirmatory; activity_name=Potency; target_accession=BAC16799
PRKAR1A,615074,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Bos taurus,,Inactive,,,,,,PubChem-AID:504707,PubChem BioAssay,assay_name=Fluorescence polarization-based biochemical primary high throughput screening assay to identify activators of the Protein Kinase A-R1A (PKA-R1A) complex; assay_type=Screening; activity_name=; target_accession=NP_001069826
Prkacb,18749,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mus musculus,,Inactive,,,,,,PubChem-AID:504707,PubChem BioAssay,assay_name=Fluorescence polarization-based biochemical primary high throughput screening assay to identify activators of the Protein Kinase A-R1A (PKA-R1A) complex; assay_type=Screening; activity_name=; target_accession=NP_035230
mazF,947252,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Escherichia coli str. K-12 substr. MG1655,,Inactive,,,,,,PubChem-AID:504720,PubChem BioAssay,assay_name=uHTS identification of MazEF TA System activators  via a fluorescence-based single-stranded RNase assay; assay_type=Screening; activity_name=; target_accession=NP_417262
TLR9,54106,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504734,PubChem BioAssay,assay_name=Fluorescence-based cell-based primary high throughput screening assay to identify inhibitors of TLR9-MyD88 binding.; assay_type=Screening; activity_name=; target_accession=BAG55070
NR0B1,190,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504766,PubChem BioAssay,"assay_name=Luminescence-based primary cell-based high throughput screening assay to identify inhibitors of the orphan nuclear receptor subfamily 0, group B, member 1 (DAX1; NR0B1); assay_type=Screening; activity_name=; target_accession=NP_000466"
Scarb1,20778,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mus musculus,,Inactive,,,,,,PubChem-AID:504775,PubChem BioAssay,assay_name=HTS using DiI-HDL to assay lipid transfer in ldlA[SR-BI] cells Measured in Cell-Based System Using Plate Reader - 2085-01_Activator_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=NP_058021
TSHR,7253,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504810; PMID:20427476,PubChem BioAssay,assay_name=Antagonists of the Thyroid Stimulating Hormone Receptor: HTS campaign; assay_type=Screening; activity_name=; target_accession=AAI27629
TSHR,7253,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504812; PMID:20427476,PubChem BioAssay,assay_name=Inverse Agonists of the Thyroid Stimulating Hormone Receptor: HTS campaign; assay_type=Screening; activity_name=; target_accession=AAI27629
CCT2,10576,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504842,PubChem BioAssay,assay_name=Inhibitors of TCP-1 ring complex (TRiC) of Methanococcus maripaludis (MmCpn): qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=AAC98906
RGS4,5999,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504845,PubChem BioAssay,assay_name=Inhibitors of Regulator of G Protein Signaling (RGS) 4: qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=ABC94591
VDR,7421,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504847,PubChem BioAssay,assay_name=Inhibitors of the vitamin D receptor (VDR): qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001017535
VDR,7421,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504847,PubChem BioAssay,assay_name=Inhibitors of the vitamin D receptor (VDR): qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001017535
USP1,7398,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504865,PubChem BioAssay,assay_name=Inhibitors of USP1/UAF1: Pilot qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH18745
PIN1,5300,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504891,PubChem BioAssay,assay_name=qHTS Assay to Find Inhibitors of Pin1; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_006212
SMPD1,6609,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:504937,PubChem BioAssay,assay_name=Inhibitors of Secretory Acid Sphingomyelinase (S-ASM): qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=AAA58377
KPNB1,3837,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540253,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of RanGTP induced Rango (Ran-regulated importin-beta cargo) - Importin beta complex dissociation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_002256
SNUPN,10073,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540253,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of RanGTP induced Rango (Ran-regulated importin-beta cargo) - Importin beta complex dissociation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_005692
RAN,5901,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540253,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of RanGTP induced Rango (Ran-regulated importin-beta cargo) - Importin beta complex dissociation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_006316
KPNB1,3837,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540263,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of Rango (Ran-regulated importin-beta cargo) - Importin beta complex formation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_002256
SNUPN,10073,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540263,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of Rango (Ran-regulated importin-beta cargo) - Importin beta complex formation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_005692
TRPV1,7442,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540275,PubChem BioAssay,assay_name=HTS Assay for Compounds that Act as Agonists of the Vanilloid Receptor 1; assay_type=Screening; activity_name=; target_accession=NP_061197
TRPV1,7442,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540277,PubChem BioAssay,assay_name=HTS Assay for Compounds that Act as Potentiators of the Vanilloid Receptor 1; assay_type=Screening; activity_name=; target_accession=NP_061197
Plau,18792,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mus musculus,,Inactive,,,,,,PubChem-AID:540303,PubChem BioAssay,assay_name=qHTS for Inhibitors of Cell Surface uPA Generation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_032899
Plg,18815,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mus musculus,,Inactive,,,,,,PubChem-AID:540303,PubChem BioAssay,assay_name=qHTS for Inhibitors of Cell Surface uPA Generation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_032903
Plaur,18793,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mus musculus,,Inactive,,,,,,PubChem-AID:540303,PubChem BioAssay,assay_name=qHTS for Inhibitors of Cell Surface uPA Generation; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_035243
CBX1,10951,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540317,PubChem BioAssay,assay_name=HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_001120700
CAALFM_CR05890CA,3646682,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Candida albicans SC5314,,Inactive,,,,,,PubChem-AID:540336,PubChem BioAssay,assay_name=Rtt109/Vps75 Measured in Biochemical System Using Plate Reader - 2106-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=XP_711691
RTT109,3639678,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Candida albicans SC5314,,Inactive,,,,,,PubChem-AID:540336,PubChem BioAssay,assay_name=Rtt109/Vps75 Measured in Biochemical System Using Plate Reader - 2106-01_Inhibitor_SinglePoint_HTS_Activity; assay_type=Screening; activity_name=; target_accession=XP_718648
FXN,2395,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:540364,PubChem BioAssay,assay_name=Luminescence-based cell-based primary high throughput screening assay to identify activators of the GAA850 frataxin (FXN) promoter; assay_type=Screening; activity_name=; target_accession=
LOC116160065,116160065,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Photinus pyralis,,Inactive,,,,,,PubChem-AID:588342,PubChem BioAssay,assay_name=qHTS profiling assay for firefly luciferase inhibitor/activator using purifed enzyme and Km concentrations of substrates (counterscreen for miR-21 project); assay_type=Confirmatory; activity_name=Potency; target_accession=AAA29795
NCOA3,8202,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588352,PubChem BioAssay,assay_name=Luminescence-based cell-based primary high throughput screening assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3); assay_type=Screening; activity_name=; target_accession=NP_858045
NCOA1,8648,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588354,PubChem BioAssay,assay_name=Luminescence-based cell-based primary high throughput screening assay to identify inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1); assay_type=Screening; activity_name=; target_accession=NP_003734
Ppp1r15a,171071,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:588405,PubChem BioAssay,assay_name=HTS Assay for Peg3 Promoter Inhibitors; assay_type=Screening; activity_name=; target_accession=NP_598230
Gli1,14632,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Mus musculus,,Inactive,,,,,,PubChem-AID:588413,PubChem BioAssay,assay_name=uHTS identification of Gli-Sufu Antagonists in a luminescence reporter assay; assay_type=Screening; activity_name=; target_accession=BAA85004
Txnrd1,58819,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Rattus norvegicus,,Inactive,89.1251,,,,,PubChem-AID:588453,PubChem BioAssay,assay_name=qHTS Assay for Inhibitors of Mammalian Selenoprotein Thioredoxin Reductase 1 (TrxR1): qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=AAC35244
Txnrd1,58819,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Rattus norvegicus,,Inactive,,,,,,PubChem-AID:588456,PubChem BioAssay,assay_name=qHTS Assay for Substrates of Mammalian Selenoprotein Thioredoxin Reductase 1 (TrxR1): qHTS; assay_type=Confirmatory; activity_name=Potency; target_accession=AAC35244
DNMT1,1786,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588458,PubChem BioAssay,assay_name=uHTS identification of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay; assay_type=Screening; activity_name=; target_accession=NP_001370
CRHR2,1395,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588473,PubChem BioAssay,assay_name=uHTS identification of agonists of the CRF-binding protein and CRF-R2 receptor complex; assay_type=Screening; activity_name=; target_accession=AAR18078
CRHBP,1393,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588473,PubChem BioAssay,assay_name=uHTS identification of agonists of the CRF-binding protein and CRF-R2 receptor complex; assay_type=Screening; activity_name=; target_accession=CAA41086
CRHR2,1395,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588475,PubChem BioAssay,assay_name=uHTS identification of antagonists of the CRF-binding protein and CRF-R2 receptor complex; assay_type=Screening; activity_name=; target_accession=AAR18078
CRHBP,1393,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588475,PubChem BioAssay,assay_name=uHTS identification of antagonists of the CRF-binding protein and CRF-R2 receptor complex; assay_type=Screening; activity_name=; target_accession=CAA41086
UCHL5,51377,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588478,PubChem BioAssay,"assay_name=A screen for small molecule inhibitors of the human deubiquitinating enzyme, UCH37; assay_type=Other; activity_name=; target_accession=AAD31528"
PABPC1,26986,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588489,PubChem BioAssay,assay_name=uHTS identification of microRNA-mediated mRNA deadenylation inhibitors by fluoresence polarization assay; assay_type=Screening; activity_name=; target_accession=NP_002559
PSMD14,10213,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588493,PubChem BioAssay,assay_name=uHTS identification of inhibitors of Rpn11 in a Fluorescent Polarization assay; assay_type=Screening; activity_name=; target_accession=AAH09524
ESR1,2099,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588513,PubChem BioAssay,assay_name=qHTS assay for small molecule antagonists of estrogen receptor alpha signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588513,PubChem BioAssay,assay_name=qHTS assay for small molecule antagonists of estrogen receptor alpha signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588514,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of estrogen receptor alpha signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
ESR1,2099,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588514,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of estrogen receptor alpha signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AEP43755
AR,367,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588515,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of androgen receptor signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inconclusive,63.0957,,,,,PubChem-AID:588515,PubChem BioAssay,assay_name=qHTS assay for small molecule agonists of androgen receptor signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588516,PubChem BioAssay,assay_name=qHTS assay for small molecule antagonists of androgen receptor signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
AR,367,naphthalene,CTD:C031721; PubChem CID:931; ChEMBL:CHEMBL16293,Tier C,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:588516,PubChem BioAssay,assay_name=qHTS assay for small molecule antagonists of androgen receptor signaling; assay_type=Confirmatory; activity_name=Potency; target_accession=AAI32976
