soma_joinid,organism,category,label,ontology_term_id,total_cell_count,unique_cell_count
36,callithrix_jacchus,cell_type,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,CL:4023043,2879,2879
37,callithrix_jacchus,cell_type,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023050,6284,6284
38,callithrix_jacchus,cell_type,vascular leptomeningeal cell,CL:4023051,2188,1564
39,callithrix_jacchus,cell_type,caudal ganglionic eminence derived cortical interneuron,CL:4023064,246,0
40,callithrix_jacchus,cell_type,L2/3 intratelencephalic projecting glutamatergic neuron,CL:4030059,50225,50225
41,callithrix_jacchus,cell_type,unknown,unknown,162586,123404
42,callithrix_jacchus,disease,normal,PATO:0000461,2275451,1712738
43,callithrix_jacchus,self_reported_ethnicity,na,na,2275451,1712738
44,callithrix_jacchus,sex,female,PATO:0000383,1050975,754054
45,callithrix_jacchus,sex,male,PATO:0000384,1224476,958684
46,callithrix_jacchus,suspension_type,nucleus,na,2275451,1712738
47,callithrix_jacchus,tissue,prefrontal cortex,UBERON:0000451,435760,229702
48,callithrix_jacchus,tissue,primary motor cortex,UBERON:0001384,122088,82478
49,callithrix_jacchus,tissue,temporal lobe,UBERON:0001871,71256,61185
50,callithrix_jacchus,tissue,caudate nucleus,UBERON:0001873,46436,46436
51,callithrix_jacchus,tissue,putamen,UBERON:0001874,32627,32627
52,callithrix_jacchus,tissue,amygdala,UBERON:0001876,55332,55332
53,callithrix_jacchus,tissue,nucleus accumbens,UBERON:0001882,35856,35856
54,callithrix_jacchus,tissue,ventral thalamus,UBERON:0001900,10306,10306
55,callithrix_jacchus,tissue,ventral lateral nucleus of thalamus,UBERON:0001925,15014,15014
56,callithrix_jacchus,tissue,lateral geniculate body,UBERON:0001926,13683,13683
57,callithrix_jacchus,tissue,brainstem,UBERON:0002298,106483,69665
58,callithrix_jacchus,tissue,hippocampal formation,UBERON:0002421,36950,36950
59,callithrix_jacchus,tissue,primary visual cortex,UBERON:0002436,48270,40911
60,callithrix_jacchus,tissue,anterior hypothalamic region,UBERON:0002550,46338,46338
61,callithrix_jacchus,tissue,lateral nuclear group of thalamus,UBERON:0002736,45905,45905
62,callithrix_jacchus,tissue,medial dorsal nucleus of thalamus,UBERON:0002739,34224,34224
63,callithrix_jacchus,tissue,basal forebrain,UBERON:0002743,24671,24671
64,callithrix_jacchus,tissue,posterior hypothalamic region,UBERON:0002770,34014,34014
65,callithrix_jacchus,tissue,middle temporal gyrus,UBERON:0002771,75861,0
66,callithrix_jacchus,tissue,central amygdaloid nucleus,UBERON:0002883,14159,14159
67,callithrix_jacchus,tissue,lateral amygdaloid nucleus,UBERON:0002886,6359,6359
68,callithrix_jacchus,tissue,medial amygdaloid nucleus,UBERON:0002892,9253,9253
69,callithrix_jacchus,tissue,cerebellum lobule,UBERON:0004004,100148,93329
70,callithrix_jacchus,tissue,dorsal thalamus,UBERON:0004703,51261,51261
71,callithrix_jacchus,tissue,primary somatosensory cortex,UBERON:0008933,71159,58376
72,callithrix_jacchus,tissue,dorsolateral prefrontal cortex,UBERON:0009834,343100,255911
73,callithrix_jacchus,tissue,thalamic complex,UBERON:0010225,14734,14734
74,callithrix_jacchus,tissue,Brodmann (1909) area 23,UBERON:0013554,41344,34985
75,callithrix_jacchus,tissue,Brodmann (1909) area 25,UBERON:0013556,130081,87421
76,callithrix_jacchus,tissue,parietal cortex,UBERON:0016530,59661,49030
77,callithrix_jacchus,tissue,temporal cortex,UBERON:0016538,19233,16837
78,callithrix_jacchus,tissue,secondary visual cortex,UBERON:0022232,45136,38830
79,callithrix_jacchus,tissue,primary auditory cortex,UBERON:0034751,78749,66956
80,callithrix_jacchus,tissue_general,brain,UBERON:0000955,2275451,1712738
81,homo_sapiens,all,na,na,162025130,99633637
82,homo_sapiens,assay,CEL-seq,EFO:0008679,796,796
83,homo_sapiens,assay,Drop-seq,EFO:0008722,1048377,646386
84,homo_sapiens,assay,inDrop,EFO:0008780,136019,63871
85,homo_sapiens,assay,MARS-seq,EFO:0008796,70146,70146
86,homo_sapiens,assay,Quartz-seq,EFO:0008877,2882,1441
87,homo_sapiens,assay,Seq-Well,EFO:0008919,255232,137955
88,homo_sapiens,assay,Smart-seq,EFO:0008930,172,172
89,homo_sapiens,assay,Smart-seq2,EFO:0008931,267948,112429
90,homo_sapiens,assay,STRT-seq,EFO:0008953,9386,4693
91,homo_sapiens,assay,10x 3' v2,EFO:0009899,28169666,14567898
92,homo_sapiens,assay,10x 5' v2,EFO:0009900,9863654,5590454
93,homo_sapiens,assay,10x 3' v1,EFO:0009901,282946,73921
94,homo_sapiens,assay,SPLiT-seq,EFO:0009919,81936,75555
95,homo_sapiens,assay,10x 3' v3,EFO:0009922,97269301,59240701
96,homo_sapiens,assay,CEL-seq2,EFO:0010010,25416,21162
97,homo_sapiens,assay,10x 5' v1,EFO:0011025,7902378,4688066
98,homo_sapiens,assay,Smart-seq3,EFO:0022488,5005,1669
99,homo_sapiens,assay,ScaleBio single cell RNA sequencing,EFO:0022490,700524,692774
100,homo_sapiens,assay,Parse Evercode Whole Transcriptome v2,EFO:0022601,15500,7750
101,homo_sapiens,assay,10x gene expression flex,EFO:0022606,117356,101856
102,homo_sapiens,assay,modified STRT-seq,EFO:0022845,1971,1971
103,homo_sapiens,assay,Visium Spatial Gene Expression V1,EFO:0022857,1407744,1407744
104,homo_sapiens,assay,microwell-seq,EFO:0030002,642559,625175
105,homo_sapiens,assay,10x 3' transcription profiling,EFO:0030003,665642,658932
106,homo_sapiens,assay,10x 5' transcription profiling,EFO:0030004,2244607,1802991
107,homo_sapiens,assay,Seq-Well S3,EFO:0030019,41560,37299
108,homo_sapiens,assay,sci-RNA-seq3,EFO:0030028,5230353,4229065
109,homo_sapiens,assay,10x multiome,EFO:0030059,3033426,2441082
110,homo_sapiens,assay,mCT-seq,EFO:0030060,37121,37121
111,homo_sapiens,assay,Slide-seqV2,EFO:0030062,1634667,1634667
112,homo_sapiens,assay,SORT-seq,EFO:0030074,11640,5820
113,homo_sapiens,assay,BD Rhapsody Whole Transcriptome Analysis,EFO:0700003,344402,267393
114,homo_sapiens,assay,BD Rhapsody Targeted mRNA,EFO:0700004,96145,96145
115,homo_sapiens,assay,TruDrop,EFO:0700010,133507,133507
116,homo_sapiens,assay,GEXSCOPE technology,EFO:0700011,117962,58981
117,homo_sapiens,assay,Smart-seq v4,EFO:0700016,63920,49417
118,homo_sapiens,assay,particle-templated instant partition sequencing,EFO:0900000,46500,23250
119,homo_sapiens,assay,Asteria scRNA-seq kit,EFO:0900001,15764,7882
120,homo_sapiens,assay,HIVE CLX Single-Cell RNAseq Solution,EFO:0900002,31000,15500
121,homo_sapiens,cell_type,cell,CL:0000000,15258,12613
122,homo_sapiens,cell_type,primary cultured cell,CL:0000001,80,80
123,homo_sapiens,cell_type,neuronal receptor cell,CL:0000006,2635,2635
124,homo_sapiens,cell_type,male germ cell,CL:0000015,969,116
125,homo_sapiens,cell_type,spermatocyte,CL:0000017,9210,3070
126,homo_sapiens,cell_type,spermatid,CL:0000018,12027,4009
127,homo_sapiens,cell_type,spermatogonium,CL:0000020,192,64
128,homo_sapiens,cell_type,oocyte,CL:0000023,776,18
129,homo_sapiens,cell_type,oogonial cell,CL:0000024,4890,0
130,homo_sapiens,cell_type,neural crest derived neuron,CL:0000029,838,419
131,homo_sapiens,cell_type,glioblast,CL:0000030,581869,189746
132,homo_sapiens,cell_type,neuroblast (sensu Vertebrata),CL:0000031,1536378,684327
133,homo_sapiens,cell_type,neuroplacodal cell,CL:0000032,5711,2759
134,homo_sapiens,cell_type,stem cell,CL:0000034,739615,394486
135,homo_sapiens,cell_type,epithelial fate stem cell,CL:0000036,417,413
136,homo_sapiens,cell_type,hematopoietic stem cell,CL:0000037,57631,27206
137,homo_sapiens,cell_type,erythroid progenitor cell,CL:0000038,59723,51578
138,homo_sapiens,cell_type,neural stem cell,CL:0000047,20454,10227
139,homo_sapiens,cell_type,common myeloid progenitor,CL:0000049,34764,21997
140,homo_sapiens,cell_type,megakaryocyte-erythroid progenitor cell,CL:0000050,37688,14974
141,homo_sapiens,cell_type,common lymphoid progenitor,CL:0000051,15211,14499
142,homo_sapiens,cell_type,myoblast,CL:0000056,3490,1186
143,homo_sapiens,cell_type,fibroblast,CL:0000057,4842332,2718863
144,homo_sapiens,cell_type,chondroblast,CL:0000058,6808,3452
145,homo_sapiens,cell_type,odontoblast,CL:0000060,5179,4451
146,homo_sapiens,cell_type,osteoblast,CL:0000062,15574,6302
147,homo_sapiens,cell_type,ciliated cell,CL:0000064,185906,162337
148,homo_sapiens,cell_type,ependymal cell,CL:0000065,41651,26787
149,homo_sapiens,cell_type,epithelial cell,CL:0000066,1775987,852691
150,homo_sapiens,cell_type,ciliated epithelial cell,CL:0000067,34754,20375
151,homo_sapiens,cell_type,duct epithelial cell,CL:0000068,17331,9553
152,homo_sapiens,cell_type,blood vessel endothelial cell,CL:0000071,355309,259811
153,homo_sapiens,cell_type,columnar/cuboidal epithelial cell,CL:0000075,129,129
154,homo_sapiens,cell_type,squamous epithelial cell,CL:0000076,15294,14412
155,homo_sapiens,cell_type,mesothelial cell,CL:0000077,221331,152833
156,homo_sapiens,cell_type,peridermal cell,CL:0000078,941,941
157,homo_sapiens,cell_type,stratified epithelial cell,CL:0000079,56967,56967
158,homo_sapiens,cell_type,blood cell,CL:0000081,61963,61963
159,homo_sapiens,cell_type,epithelial cell of lung,CL:0000082,140309,97621
160,homo_sapiens,cell_type,epithelial cell of pancreas,CL:0000083,10845,10845
161,homo_sapiens,cell_type,T cell,CL:0000084,1875122,1330245
162,homo_sapiens,cell_type,Kupffer cell,CL:0000091,51565,26206
163,homo_sapiens,cell_type,osteoclast,CL:0000092,4986,1392
164,homo_sapiens,cell_type,granulocyte,CL:0000094,23371,9907
165,homo_sapiens,cell_type,neuron associated cell,CL:0000095,1981,1981
166,homo_sapiens,cell_type,mature neutrophil,CL:0000096,2279,906
167,homo_sapiens,cell_type,mast cell,CL:0000097,318464,164765
168,homo_sapiens,cell_type,interneuron,CL:0000099,119313,68703
169,homo_sapiens,cell_type,motor neuron,CL:0000100,14610,1225
170,homo_sapiens,cell_type,sensory neuron,CL:0000101,17571,17571
171,homo_sapiens,cell_type,bipolar neuron,CL:0000103,1499,1207
172,homo_sapiens,cell_type,mononuclear phagocyte,CL:0000113,120568,75887
173,homo_sapiens,cell_type,endothelial cell,CL:0000115,1801058,1247619
174,homo_sapiens,cell_type,granule cell,CL:0000120,120344,97844
175,homo_sapiens,cell_type,Purkinje cell,CL:0000121,471757,381978
176,homo_sapiens,cell_type,stellate neuron,CL:0000122,75294,60284
177,homo_sapiens,cell_type,neuron associated cell (sensu Vertebrata),CL:0000123,79325,63657
178,homo_sapiens,cell_type,glial cell,CL:0000125,172908,119564
179,homo_sapiens,cell_type,macroglial cell,CL:0000126,53713,47977
180,homo_sapiens,cell_type,astrocyte,CL:0000127,3202007,2250442
181,homo_sapiens,cell_type,oligodendrocyte,CL:0000128,8105477,5705502
182,homo_sapiens,cell_type,microglial cell,CL:0000129,1183509,910878
183,homo_sapiens,cell_type,gut endothelial cell,CL:0000131,9099,4945
184,homo_sapiens,cell_type,corneal endothelial cell,CL:0000132,28171,18980
185,homo_sapiens,cell_type,neurectodermal cell,CL:0000133,1558,779
186,homo_sapiens,cell_type,mesenchymal stem cell,CL:0000134,135972,68190
187,homo_sapiens,cell_type,fibrocyte,CL:0000135,1869,311
188,homo_sapiens,cell_type,adipocyte,CL:0000136,140586,74457
189,homo_sapiens,cell_type,chondrocyte,CL:0000138,48176,34640
190,homo_sapiens,cell_type,professional antigen presenting cell,CL:0000145,10243,10130
191,homo_sapiens,cell_type,melanocyte,CL:0000148,360248,270145
192,homo_sapiens,cell_type,glandular secretory epithelial cell,CL:0000150,43240,22573
193,homo_sapiens,cell_type,secretory cell,CL:0000151,202322,69873
194,homo_sapiens,cell_type,peptic cell,CL:0000155,18789,8912
195,homo_sapiens,cell_type,club cell,CL:0000158,191417,106424
196,homo_sapiens,cell_type,seromucus secreting cell,CL:0000159,5088,5088
197,homo_sapiens,cell_type,goblet cell,CL:0000160,202374,94183
198,homo_sapiens,cell_type,parietal cell,CL:0000162,7231,2164
199,homo_sapiens,cell_type,endocrine cell,CL:0000163,9522,8385
200,homo_sapiens,cell_type,enteroendocrine cell,CL:0000164,47252,14903
201,homo_sapiens,cell_type,neuroendocrine cell,CL:0000165,46045,15773
202,homo_sapiens,cell_type,chromaffin cell,CL:0000166,26199,21055
203,homo_sapiens,cell_type,type B pancreatic cell,CL:0000169,268301,153172
204,homo_sapiens,cell_type,pancreatic A cell,CL:0000171,226754,135146
205,homo_sapiens,cell_type,pancreatic D cell,CL:0000173,34663,20529
206,homo_sapiens,cell_type,Leydig cell,CL:0000178,5696,2803
207,homo_sapiens,cell_type,hepatocyte,CL:0000182,195226,131593
208,homo_sapiens,cell_type,contractile cell,CL:0000183,5078,5078
209,homo_sapiens,cell_type,myoepithelial cell,CL:0000185,11608,6423
210,homo_sapiens,cell_type,myofibroblast cell,CL:0000186,220105,78711
211,homo_sapiens,cell_type,muscle cell,CL:0000187,28575,11666
212,homo_sapiens,cell_type,cell of skeletal muscle,CL:0000188,29880,24416
213,homo_sapiens,cell_type,slow muscle cell,CL:0000189,46918,46568
214,homo_sapiens,cell_type,fast muscle cell,CL:0000190,69268,68257
215,homo_sapiens,cell_type,smooth muscle cell,CL:0000192,428062,208645
216,homo_sapiens,cell_type,mechanoreceptor cell,CL:0000199,108,54
217,homo_sapiens,cell_type,taste receptor cell,CL:0000209,11616,9170
218,homo_sapiens,cell_type,photoreceptor cell,CL:0000210,15407,12398
219,homo_sapiens,cell_type,Sertoli cell,CL:0000216,73268,36473
220,homo_sapiens,cell_type,myelinating Schwann cell,CL:0000218,12083,9426
221,homo_sapiens,cell_type,mesodermal cell,CL:0000222,467707,91696
222,homo_sapiens,cell_type,endodermal cell,CL:0000223,8571,8571
223,homo_sapiens,cell_type,erythrocyte,CL:0000232,458658,177829
224,homo_sapiens,cell_type,platelet,CL:0000233,160635,113416
225,homo_sapiens,cell_type,macrophage,CL:0000235,3075214,1766158
226,homo_sapiens,cell_type,B cell,CL:0000236,1856024,1475370
227,homo_sapiens,cell_type,keratinizing barrier epithelial cell,CL:0000237,820,820
228,homo_sapiens,cell_type,stratified squamous epithelial cell,CL:0000240,36969,12323
229,homo_sapiens,cell_type,Merkel cell,CL:0000242,1282,1159
230,homo_sapiens,cell_type,eurydendroid cell,CL:0000253,2602,1296
231,homo_sapiens,cell_type,eye photoreceptor cell,CL:0000287,8200,3333
232,homo_sapiens,cell_type,keratinocyte,CL:0000312,419386,85332
233,homo_sapiens,cell_type,serous secreting cell,CL:0000313,35583,31925
234,homo_sapiens,cell_type,sebocyte,CL:0000317,854,453
235,homo_sapiens,cell_type,mucus secreting cell,CL:0000319,4890,3398
236,homo_sapiens,cell_type,pulmonary alveolar epithelial cell,CL:0000322,36799,31828
237,homo_sapiens,cell_type,extracellular matrix secreting cell,CL:0000327,3942,1971
238,homo_sapiens,cell_type,mesenchyme condensation cell,CL:0000335,4630,2315
239,homo_sapiens,cell_type,neuroblast (sensu Nematoda and Protostomia),CL:0000338,292893,112149
240,homo_sapiens,cell_type,glioblast (sensu Vertebrata),CL:0000339,934,467
241,homo_sapiens,cell_type,vascular associated smooth muscle cell,CL:0000359,282600,108084
242,homo_sapiens,cell_type,epidermal cell,CL:0000362,3500,3500
243,homo_sapiens,cell_type,tendon cell,CL:0000388,7405,4207
244,homo_sapiens,cell_type,ganglion interneuron,CL:0000397,1715,1398
245,homo_sapiens,cell_type,tip cell,CL:0000423,1294,647
246,homo_sapiens,cell_type,reticular cell,CL:0000432,421,151
247,homo_sapiens,cell_type,follicular dendritic cell,CL:0000442,9853,9194
248,homo_sapiens,cell_type,dendritic cell,CL:0000451,226077,136614
249,homo_sapiens,cell_type,Langerhans cell,CL:0000453,15941,13495
250,homo_sapiens,cell_type,noradrenergic cell,CL:0000459,138,138
251,homo_sapiens,cell_type,CD4-positive helper T cell,CL:0000492,214867,92562
252,homo_sapiens,cell_type,inhibitory interneuron,CL:0000498,278765,225973
253,homo_sapiens,cell_type,stromal cell,CL:0000499,624570,495419
254,homo_sapiens,cell_type,granulosa cell,CL:0000501,114664,60508
255,homo_sapiens,cell_type,type D enteroendocrine cell,CL:0000502,226,176
256,homo_sapiens,cell_type,theca cell,CL:0000503,7647,5571
257,homo_sapiens,cell_type,enterochromaffin-like cell,CL:0000504,81,27
258,homo_sapiens,cell_type,type G enteroendocrine cell,CL:0000508,6111,1893
259,homo_sapiens,cell_type,paneth cell,CL:0000510,22762,10026
260,homo_sapiens,cell_type,cardiac muscle myoblast,CL:0000513,106296,106296
261,homo_sapiens,cell_type,smooth muscle myoblast,CL:0000514,4192,4192
262,homo_sapiens,cell_type,skeletal muscle myoblast,CL:0000515,11306,10720
263,homo_sapiens,cell_type,syncytiotrophoblast cell,CL:0000525,111677,53083
264,homo_sapiens,cell_type,afferent neuron,CL:0000526,8684,26
265,homo_sapiens,cell_type,pigmented epithelial cell,CL:0000529,32131,29987
266,homo_sapiens,cell_type,primary sensory neuron (sensu Teleostei),CL:0000531,1030,348
267,homo_sapiens,cell_type,neuron,CL:0000540,10035406,3858453
268,homo_sapiens,cell_type,lymphocyte,CL:0000542,301533,189291
269,homo_sapiens,cell_type,T-helper 1 cell,CL:0000545,6653,3325
270,homo_sapiens,cell_type,T-helper 2 cell,CL:0000546,57,57
271,homo_sapiens,cell_type,proerythroblast,CL:0000547,1627,1627
272,homo_sapiens,cell_type,basophilic erythroblast,CL:0000549,5253,5253
273,homo_sapiens,cell_type,polychromatophilic erythroblast,CL:0000550,5061,5061
274,homo_sapiens,cell_type,orthochromatic erythroblast,CL:0000552,3734,3734
275,homo_sapiens,cell_type,megakaryocyte progenitor cell,CL:0000553,3896,3544
276,homo_sapiens,cell_type,megakaryocyte,CL:0000556,84052,36052
277,homo_sapiens,cell_type,granulocyte monocyte progenitor cell,CL:0000557,43691,27872
278,homo_sapiens,cell_type,reticulocyte,CL:0000558,33463,16896
279,homo_sapiens,cell_type,promonocyte,CL:0000559,48909,18756
280,homo_sapiens,cell_type,amacrine cell,CL:0000561,285720,157884
281,homo_sapiens,cell_type,cardiac mesenchymal cell,CL:0000569,317,315
282,homo_sapiens,cell_type,retinal cone cell,CL:0000573,188518,157871
283,homo_sapiens,cell_type,corneal epithelial cell,CL:0000575,41125,28805
284,homo_sapiens,cell_type,monocyte,CL:0000576,1147885,649577
285,homo_sapiens,cell_type,type EC enteroendocrine cell,CL:0000577,8321,3847
286,homo_sapiens,cell_type,alveolar macrophage,CL:0000583,912739,475494
287,homo_sapiens,cell_type,enterocyte,CL:0000584,895200,278816
288,homo_sapiens,cell_type,germ cell,CL:0000586,15525,14516
289,homo_sapiens,cell_type,skeletal muscle satellite cell,CL:0000594,22228,14840
290,homo_sapiens,cell_type,enucleate erythrocyte,CL:0000595,202,202
291,homo_sapiens,cell_type,pyramidal neuron,CL:0000598,230824,118139
292,homo_sapiens,cell_type,retinal rod cell,CL:0000604,1595053,1307654
293,homo_sapiens,cell_type,GABAergic neuron,CL:0000617,1028348,793277
294,homo_sapiens,cell_type,acinar cell,CL:0000622,35550,28582
295,homo_sapiens,cell_type,natural killer cell,CL:0000623,1759154,1218391
296,homo_sapiens,cell_type,"CD4-positive, alpha-beta T cell",CL:0000624,2238594,1696890
297,homo_sapiens,cell_type,"CD8-positive, alpha-beta T cell",CL:0000625,2064260,1606989
298,homo_sapiens,cell_type,supporting cell,CL:0000630,30009,18941
299,homo_sapiens,cell_type,hepatic stellate cell,CL:0000632,47008,40527
300,homo_sapiens,cell_type,Mueller cell,CL:0000636,403916,309349
301,homo_sapiens,cell_type,Bergmann glial cell,CL:0000644,30296,13815
302,homo_sapiens,cell_type,basal cell,CL:0000646,679311,269335
303,homo_sapiens,cell_type,kidney granular cell,CL:0000648,1683,1683
304,homo_sapiens,cell_type,spinous cell of epidermis,CL:0000649,26321,26321
305,homo_sapiens,cell_type,mesangial cell,CL:0000650,60507,48830
306,homo_sapiens,cell_type,pinealocyte,CL:0000652,1654,827
307,homo_sapiens,cell_type,podocyte,CL:0000653,32255,22615
308,homo_sapiens,cell_type,fenestrated endothelial cell,CL:0000666,104577,38739
309,homo_sapiens,cell_type,collagen secreting cell,CL:0000667,4845,4845
310,homo_sapiens,cell_type,pericyte,CL:0000669,903321,472883
311,homo_sapiens,cell_type,primordial germ cell,CL:0000670,17752,13988
312,homo_sapiens,cell_type,gut absorptive cell,CL:0000677,65664,63297
313,homo_sapiens,cell_type,glutamatergic neuron,CL:0000679,3260519,2539819
314,homo_sapiens,cell_type,muscle precursor cell,CL:0000680,254,254
315,homo_sapiens,cell_type,radial glial cell,CL:0000681,2143963,902920
316,homo_sapiens,cell_type,M cell of gut,CL:0000682,17536,9719
317,homo_sapiens,cell_type,Cajal-Retzius cell,CL:0000695,7596,4612
318,homo_sapiens,cell_type,PP cell,CL:0000696,761,761
319,homo_sapiens,cell_type,dopaminergic neuron,CL:0000700,40302,24040
320,homo_sapiens,cell_type,endothelial tip cell,CL:0000704,131383,54639
321,homo_sapiens,cell_type,choroid plexus epithelial cell,CL:0000706,103110,59632
322,homo_sapiens,cell_type,leptomeningeal cell,CL:0000708,78594,39277
323,homo_sapiens,cell_type,somatic stem cell,CL:0000723,9473,9473
324,homo_sapiens,cell_type,urothelial cell,CL:0000731,3160,3070
325,homo_sapiens,cell_type,leukocyte,CL:0000738,137443,117013
326,homo_sapiens,cell_type,retinal ganglion cell,CL:0000740,142302,111870
327,homo_sapiens,cell_type,hypertrophic chondrocyte,CL:0000743,51,37
328,homo_sapiens,cell_type,retina horizontal cell,CL:0000745,49590,39835
329,homo_sapiens,cell_type,cardiac muscle cell,CL:0000746,1017300,496299
330,homo_sapiens,cell_type,retinal bipolar neuron,CL:0000748,244660,126798
331,homo_sapiens,cell_type,ON-bipolar cell,CL:0000749,62002,23759
332,homo_sapiens,cell_type,OFF-bipolar cell,CL:0000750,51556,20219
333,homo_sapiens,cell_type,rod bipolar cell,CL:0000751,250701,110911
334,homo_sapiens,cell_type,cone retinal bipolar cell,CL:0000752,10510,10510
335,homo_sapiens,cell_type,myeloid cell,CL:0000763,602799,429410
336,homo_sapiens,cell_type,erythroid lineage cell,CL:0000764,27781,26083
337,homo_sapiens,cell_type,erythroblast,CL:0000765,94242,68409
338,homo_sapiens,cell_type,myeloid leukocyte,CL:0000766,16815,12092
339,homo_sapiens,cell_type,basophil,CL:0000767,5564,2219
340,homo_sapiens,cell_type,eosinophil,CL:0000771,935,502
341,homo_sapiens,cell_type,neutrophil,CL:0000775,374687,183656
342,homo_sapiens,cell_type,immature neutrophil,CL:0000776,3150,1396
343,homo_sapiens,cell_type,myeloid dendritic cell,CL:0000782,16633,12119
344,homo_sapiens,cell_type,plasmacytoid dendritic cell,CL:0000784,197959,140429
345,homo_sapiens,cell_type,mature B cell,CL:0000785,97009,56357
346,homo_sapiens,cell_type,plasma cell,CL:0000786,721617,491005
347,homo_sapiens,cell_type,memory B cell,CL:0000787,1337214,763371
348,homo_sapiens,cell_type,naive B cell,CL:0000788,1824134,1235008
349,homo_sapiens,cell_type,alpha-beta T cell,CL:0000789,48677,18538
350,homo_sapiens,cell_type,immature alpha-beta T cell,CL:0000790,80461,22883
351,homo_sapiens,cell_type,mature alpha-beta T cell,CL:0000791,261028,258548
352,homo_sapiens,cell_type,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CL:0000792,115302,54751
353,homo_sapiens,cell_type,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,200914,106542
354,homo_sapiens,cell_type,"CD8-positive, alpha-beta regulatory T cell",CL:0000795,42861,22549
355,homo_sapiens,cell_type,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CL:0000796,1063,1063
356,homo_sapiens,cell_type,gamma-delta T cell,CL:0000798,430193,194782
357,homo_sapiens,cell_type,mature gamma-delta T cell,CL:0000800,414661,327211
358,homo_sapiens,cell_type,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CL:0000802,1620,1620
359,homo_sapiens,cell_type,"double-positive, alpha-beta thymocyte",CL:0000809,715319,219217
360,homo_sapiens,cell_type,"CD4-positive, alpha-beta thymocyte",CL:0000810,36789,25362
361,homo_sapiens,cell_type,"CD8-positive, alpha-beta thymocyte",CL:0000811,9819,8137
362,homo_sapiens,cell_type,memory T cell,CL:0000813,34059,6609
363,homo_sapiens,cell_type,mature NK T cell,CL:0000814,197481,144896
364,homo_sapiens,cell_type,regulatory T cell,CL:0000815,530510,288791
