ModelID,CellLineName,StrippedCellLineName,OncotreeCode,Sex,PrimaryOrMetastasis,SampleCollectionSite,side,side_confidence,curated_primary_site,side_evidence_source,curation_note,SLC7A11_gene_effect,GPX4_gene_effect,AIFM2_gene_effect,GCH1_gene_effect,DHODH_gene_effect,SLC7A11_effect_z,GPX4_effect_z,AIFM2_effect_z,GCH1_effect_z,DHODH_effect_z,ferroptosis_defense_dependency_index,dependency_genes_available
ACH-000342,CL-14,CL14,COAD,Male,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000350,COLO-678,COLO678,COAD,Male,Metastatic,lymph_node,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.2267736412512844,-0.3781326328875766,-0.0093764701824523,-0.0455302495360366,-0.4758830742934619,0.5826104991533397,-0.5786561488993648,0.235705862338646,0.26403296384442526,0.43352082249763857,-0.18744279978693695,5
ACH-000360,NCI-H508,NCIH508,COAD,Male,Metastatic,abdomen,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000381,T84,T84,COAD,Male,Metastatic,lung,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0880135287217346,-0.4708784606309633,-0.1394748920608512,-0.1997665952123174,-0.7254362722024713,-0.398122758942186,-0.8283643663121747,-0.5888397354851523,-0.8100863928707641,-0.1504627818731304,0.5551752070966816,5
ACH-000400,SK-CO-1,SKCO1,COAD,Male,Metastatic,ascites,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000403,NCI-H747,NCIH747,COAD,Male,Metastatic,large_intestine,Right,high,Cecum; sampled from common duct-node metastasis,https://www.atcc.org/products/ccl-252,Primary tumor is cecal; metastatic collection site does not change primary sidedness.,-0.0249022581408537,-0.4091848076915139,-0.0754668258590703,-0.0854372475306812,-0.2685053268497401,-1.1961926474815412,-0.6622608069820574,-0.183165566268687,-0.013883884006787639,0.9188089511740434,0.22733879071300594,5
ACH-000412,SNU-1197,SNU1197,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000467,HCC-56,HCC56,COAD,Unknown,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3259375392097374,-0.2074547594697073,-0.0916930909000079,-0.2871731459904028,-0.695174829392941,1.2834843378765186,-0.11912423722235256,-0.2860053641344346,-1.4187954989040557,-0.07964747438180764,0.1240176473532264,5
ACH-000489,SW1116,SW1116,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,-0.0872068928118492,-0.3385342126587232,0.0415863693320933,-0.1096100049260829,-0.5466155475779272,-1.6365513805599996,-0.4720416394567509,0.558701209765657,-0.18222570065016616,0.26799858098429946,0.29282378598339204,5
ACH-000491,NCI-H716,NCIH716,COAD,Male,Metastatic,ascites,Right,high,Cecum; cells harvested from ascites,https://pubmed.ncbi.nlm.nih.gov/1359704/,Original characterization describes a poorly differentiated adenocarcinoma of the caecum.,0.110512991385765,-0.0331280359868928,0.1135824277546359,0.1157269176456131,-0.3647372513573434,-0.23910032143015184,0.3502318128282486,1.0150021562018805,1.3870461156368583,0.6936150181755312,-0.6413589562824733,5
ACH-000501,LS123,LS123,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3784709888692651,-0.3691998490724605,0.0011928375881859,-0.0699103725520774,-0.8229444524549958,1.6547819702030573,-0.5546055842833657,0.30269265640191495,0.09424702956412347,-0.378643302245649,-0.22369455392801624,5
ACH-000552,HT-29,HT29,COAD,Female,Primary,large_intestine,Right,medium,"Colon, segment not explicit in Cellosaurus",https://pmc.ncbi.nlm.nih.gov/articles/PMC4104680/,Published sidedness assignment; retained only for sensitivity analysis.,0.1249068884715704,-0.1664219380111795,-0.0937949822927743,-0.0488594204904046,-0.5432183646313672,-0.13736666520637628,-0.008647755949504296,-0.29932685773893947,0.2408482407610219,0.2759483855087936,-0.014291069474999096,5
ACH-000651,SW 620,SW620,COAD,Male,Metastatic,lymph_node,Left,medium,Colon primary of paired SW480/SW620 patient; sampled from lymph node,https://pmc.ncbi.nlm.nih.gov/articles/PMC4104680/,Primary site is used rather than the metastatic collection site; sensitivity-only label.,0.1865358734787632,-0.0043935504506734,-0.1006634660169619,0.0088172261692794,-0.7465720129016389,0.2982166890976431,0.42759634054992984,-0.3428583467203874,0.6425149318120162,-0.19992288151507623,-0.1651093466448251,5
ACH-000680,SW948,SW948,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000710,NCI-H854,NCIH854,COAD,Male,Primary,lung,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000722,SNU-C1,SNUC1,COAD,Male,Metastatic,abdomen,Left,high,Colon descendens; cultured from peritoneum,https://aacrjournals.org/clincancerres/article/5/3/643/199260/Thymidylate-Synthase-Level-as-the-Main-Predictive,Primary site is descending colon; peritoneal culture site is not used for sidedness.,0.4087613926279073,-1.0966940735788648,0.18311024331465,-0.2897075904450518,-0.601653291891427,1.8688694757959619,-2.5133059420206147,1.4556597246687684,-1.4364456567531767,0.13920383673760967,0.09720371231429031,5
ACH-000798,CL-40,CL40,COAD,Female,Primary,Colon,Right,high,Right colon,https://www.dsmz.de/collection/catalogue/details/culture/ACC-535,DSMZ states primary colorectal cancer of the right colon.,0.0199393749169324,-0.6883323714504908,-0.0232308972354374,0.1059110593488661,-0.302718878602063,-0.8792594879057208,-1.4138357536658797,0.14789844183367415,1.318687368202331,0.8387452475707242,-0.00244716320702576,5
ACH-000820,SW403,SW403,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3318365538649963,0.1795667229569146,0.0953417562837461,0.1288622956740081,-0.8922081848200073,1.3251775864401019,0.9228896929849397,0.8993953321872874,1.4785223739481326,-0.5407285186147853,-0.8170512933891352,5
ACH-000842,SW 480,SW480,COAD,Male,Primary,lymph_node,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000895,CL-34,CL34,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000926,HT-55,HT55,COAD,Unknown,Primary,large_intestine,Rectum,high,Rectum,https://www.cellosaurus.org/CVCL_1294,Excluded from right-vs-left colon comparison.,0.0355828710034279,-0.0150644077574874,-0.0551772026636612,-0.1599921300597521,-0.5711584717806594,-0.7686938750272638,0.3988661990310734,-0.05457277286097579,-0.5330925187223685,0.2105652743474676,0.1493855386464134,5
ACH-000935,MDST8,MDST8,COAD,Unknown,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.30651355349114,-0.4111889824272519,0.0750715407297578,-0.0896785090239757,-0.3065851011613469,1.1461988568277468,-0.6676568330117093,0.7709255416958809,-0.04342050876837245,0.8296978356185303,-0.4071489784724152,5
ACH-000943,RKO,RKO,COAD,Unknown,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.212419208973076,-0.0557359357003544,-0.0845523201288147,-0.0939859531046178,-1.722307064610578,0.48115577358643064,0.2893624618908031,-0.24074815794049984,-0.0734180365540522,-2.4832567645601125,0.4053809447154862,5
ACH-000950,LoVo,LOVO,COAD,Male,Metastatic,lymph_node,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0525969519768185,-0.5032659756532002,-0.0664865571181797,0.017764177444399,-0.7781497606113041,-0.6484411974937182,-0.9155642850514849,-0.12624987927828663,0.7048225124672515,-0.273818496077086,0.2518502690866649,5
ACH-000955,SNU-407,SNU407,COAD,Male,Metastatic,soft_tissue,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000957,LS 180,LS180,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3101077274081062,0.2554489749480159,-0.1698757579061067,-0.1121488200004921,-1.0233564368037855,1.1716018766977225,1.1271945370841792,-0.7815161703013022,-0.1999062959896511,-0.847630732419867,-0.09394864301421621,5
ACH-000958,SW48,SW48,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0941479425940337,0.0879363186951028,-0.1235544817226551,-0.2204222597568836,-0.6110636097596347,-0.35476574809942607,0.6761846339461658,-0.4879384019380183,-0.9539347770881952,0.11718259480203531,0.20065433967548768,5
ACH-000959,SNU-C4,SNUC4,COAD,Male,Primary,large_intestine,Right,high,Colon transversum,https://aacrjournals.org/clincancerres/article/5/3/643/199260/Thymidylate-Synthase-Level-as-the-Main-Predictive,Transverse colon classified as proximal/right-sided for this analysis.,0.0482359040673966,0.0103352212529299,-0.095775052814813,-0.2356619368445279,-0.7381384329007423,-0.6792643544294492,0.4672519823860584,-0.31187626770683047,-1.060065612061972,-0.18018732016807817,0.3528283143960543,5
ACH-000963,CCK-81,CCK81,COAD,Female,Metastatic,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3018848028498014,0.0801249528874444,-0.0404105242164375,0.0479074578987482,-0.7487529342539041,1.1134836217746977,0.6551533673237291,0.03901636936181306,0.9147437270094233,-0.20502649197896375,-0.5034741186981398,5
ACH-000967,SNU-C2A,SNUC2A,COAD,Female,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000969,KM12,KM12,COAD,Unknown,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.1751248152623728,0.043786668400275,-0.116499646314562,-0.1645247053218209,-0.5166327521999318,0.217565238915985,0.5573164245316836,-0.44322584205353543,-0.5646578855197305,0.33816182096945563,-0.021031951368771663,5
ACH-000970,SNU-C5,SNUC5,COAD,Female,Primary,Colon,Right,high,Cecum,https://www.cellosaurus.org/CVCL_5112,Cecum classified as proximal/right-sided.,0.1583427782461815,-0.0044650639645388,0.2455344014907351,-0.1284981862395752,-0.4267616309166754,0.09895260924646071,0.42740379806577994,1.8512953063982465,-0.3137651317292067,0.5484707321579018,-0.5224714628278365,5
ACH-000971,HCT 116,HCT116,COAD,Male,Primary,large_intestine,Right,high,Colon ascendens,https://pmc.ncbi.nlm.nih.gov/articles/PMC3816225/,Ascending colon classified as proximal/right-sided.,0.2673088928843839,0.1295738234551779,0.0134863577633129,-0.0643379013302361,-0.6494405351958489,0.8691068753607729,0.7882891603074298,0.38060726747716317,0.13305434944630445,0.027376110939303377,-0.43968675270619473,5
ACH-000982,GP2d,GP2D,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000985,LS411N,LS411N,COAD,Male,Primary,large_intestine,Right,high,Cecum,https://www.atcc.org/products/crl-2159,Primary tumor biopsy from cecal carcinoma.,0.0916563136463433,-0.2030758069537444,0.0134306214425274,-0.0255750635056739,-0.1276937324796387,-0.37237616460375933,-0.10733437612022438,0.3802540184732242,0.40300313645894265,1.2483245138134342,-0.3103742256043235,5
ACH-000986,HT115,HT115,COAD,Unknown,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.1059578318147407,0.0404971665957334,-0.1845611435155801,-0.2190177983569934,-1.2945520542813842,-0.27129542711143556,0.5484597928990345,-0.8745900898908429,-0.9441539490429846,-1.4822601241132152,0.6047679594518888,5
ACH-000991,SNU-81,SNU81,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.1205197158588859,-0.0394001836401828,-0.2359236475282342,-0.0316730788323776,-0.0690187803570335,-0.16837446717359686,0.33334472639039353,-1.2001184549960378,0.36053586798704945,1.385630748772342,-0.14220368419603008,5
ACH-000997,HCT-15,HCT15,COAD,Male,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0293672506654648,0.033961696340747,0.0465496993417185,-0.0217819828517123,-1.1310524660987131,-0.8126248395819171,0.5308637385315811,0.5901581010245562,0.42941857916239756,-1.0996520084084973,0.0723672858543759,5
ACH-000998,CW-2,CW2,COAD,Female,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000999,SNU-1040,SNU1040,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-001039,COLO 205,COLO205,COAD,Male,Metastatic,ascites,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.1990048146177508,0.2034160063942743,-0.563669464876222,-0.1972065618843282,-2.16922668558273,0.38634507877184776,0.9871013367711541,-3.277325595541038,-0.7922580312133853,-3.529100830299142,1.2450476083021127,5
ACH-001061,DLD-1,DLD1,COAD,Male,Primary,large_intestine,Left,medium,"Colon, segment not explicit in Cellosaurus",https://pmc.ncbi.nlm.nih.gov/articles/PMC4104680/,Published sidedness assignment; retained only for sensitivity analysis.,0.0429676713787195,-0.1151064842043426,-0.1651647106559403,-0.1079438807004416,-1.810905852755976,-0.7164993415953134,0.12951361268142408,-0.7516582118789058,-0.17062262309016246,-2.690588267732822,0.8399709663231558,5
ACH-001081,HCC2998,HCC2998,COAD,Unknown,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.1877674256922437,-0.015103550568842,-0.0474845524359255,-0.0403426273841544,-0.6813880844244178,0.3069210940799054,0.3987608111997747,-0.00581783187632372,0.30016015127375034,-0.04738488233041539,-0.19052786846933828,5
ACH-001084,HCT-8,HCT8,COAD,Male,,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-001091,HRT18,HRT18,COAD,Male,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-001199,SNUC2B,SNUC2B,COAD,Female,Primary,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-001345,GP5d,GP5D,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.1327497387331175,0.220779290052589,0.0416142279349506,0.0715805946355871,-0.0623454669824274,-0.08193471181901923,1.0338501201530554,0.5588777736933038,1.0796061288752794,1.4012470808019524,-0.7983292783409144,5
ACH-001399,SW 626,SW626,COAD,Female,Metastatic,ovary,Exclude,high,Ovary metastasis; problematic/misclassified line,https://www.cellosaurus.org/CVCL_1725,Excluded because the record is flagged as problematic and records an ovarian metastatic site.,0.0184062037074275,0.2273093962801137,0.0921997939403671,-0.1629582618111621,-0.4191709604584139,-0.8900956854851643,1.0514317324505182,0.8794820143979081,-0.5537489957335907,0.5662337868129759,-0.21066057048852943,5
ACH-001454,C10,C10,COAD,Male,Primary,large_intestine,Left,high,"Colon, descending",https://www.cellosaurus.org/CVCL_5245,Descending colon classified as distal/left-sided.,0.1462362173773599,-0.6587930814788494,-0.4179204355401565,0.0577144982970378,-0.5041957754642384,0.013385462688528025,-1.3343043761157491,-2.3535886370829875,0.983041065601715,0.36726579784669755,0.46484013741235924,5
ACH-001458,C75,C75,COAD,Male,Primary,large_intestine,Left,high,"Colon, sigmoid",https://www.cellosaurus.org/CVCL_5248,Sigmoid classified as distal/left-sided.,-0.2394784168694082,-0.1979206998568147,-0.0263345740671713,0.0520692730974024,-0.5114514813324756,-2.7127810346137804,-0.09345480185723846,0.12822777226117252,0.9437270787890901,0.35028659942050766,0.27679887720004964,5
ACH-001460,C84,C84,COAD,Male,Primary,large_intestine,Right,high,Cecum,https://www.cellosaurus.org/CVCL_5250,Cecum classified as proximal/right-sided.,-0.0620643066044489,-0.1472098935866964,0.1497498890045705,0.0253087282178932,-0.8699761959645836,-1.458847788089359,0.043078617978248704,1.2442264659784459,0.757363617405897,-0.48870307036204486,-0.019423568582237528,5
ACH-001786,SNU-1544,SNU1544,COAD,Female,Primary,large_intestine,Right,high,"Colon, ascending",https://www.cellosaurus.org/CVCL_5027,Ascending colon classified as proximal/right-sided.,0.0900769168414095,0.0079480641942898,-0.0936008249438714,-0.5110287319709835,-0.3871996084013862,-0.38353907695725376,0.4608248174310297,-0.2980963156231199,-2.9777511196189486,0.6410504814789263,0.5115022426578733,5
ACH-001825,SW527,SW527,COAD,Male,Metastatic,lymph_node,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-002219,COLO-320-HSR,COLO320HSR,COAD,Female,,large_intestine,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-002538,SNU-1235,SNU1235,COAD,Female,,Colon,Right,high,"Colon, ascending",https://www.cellosaurus.org/CVCL_5018,Ascending colon classified as proximal/right-sided.,0.0262771542827845,-0.3108226508514796,-0.0580812259880156,-0.2445665020997602,-0.1265523059999587,-0.8344651237815273,-0.3974312244226889,-0.07297806643411506,-1.1220780116804971,1.2509955849730625,0.23519136826915316,5
ACH-002539,SNU-1460,SNU1460,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-002543,SNU-1406,SNU1406,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-002654,JVE-015,JVE015,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0717825554268128,-1.6590753957300324,-0.0674888799251637,0.1435531672305777,-0.2766687332042149,-0.5128405624334468,-4.0274574772161245,-0.13260246100959713,1.580831265128992,0.8997056276872104,0.4384727215685933,5
ACH-002660,JVE-187,JVE187,COAD,Female,Metastatic,liver,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.2827800461637452,-0.574421216273955,-0.0346378817140778,-0.2749115277750956,-0.379497911621031,0.978454398114706,-1.1071421568254012,0.075602569981373,-1.3334042027606952,0.6590733506837619,0.1454832081612511,5
ACH-002662,JVE-207,JVE207,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,-0.0440793877109622,0.2439905959309928,-0.371295933125732,-0.0075549568650604,-0.4181405097486131,-1.3317333905766244,1.0963440776252609,-2.058089063287451,0.5284971973295219,0.5686451617209235,0.23926720343767388,5
ACH-002667,JVE-528,JVE528,COAD,Female,,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-002669,KP-363T,KP363T,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0932847813315909,-0.2201151012048536,-0.0094070507429348,-0.2909548916639967,-0.8371486023518988,-0.36086642747871883,-0.15321085269003126,0.23551204702435724,-1.4451320035221484,-0.4118826705379382,0.4271159814408959,5
ACH-002839,CCLF_CORE_0002_T,CCLFCORE0002T,COAD,Unknown,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-002886,VACO 432,VACO432,COAD,Male,,Unknown,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
