GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore
"74","AURKA","Aurora Kinase A","Protein Coding","29.6","91"
"75","HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","29.6","100"
"76","CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","29.3","100"
"77","FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","29.1","100"
"78","CCAT1","Colon Cancer Associated Transcript 1","RNA Gene","29.1","56"
"79","KDR","Kinase Insert Domain Receptor","Protein Coding","29.0","99"
"80","IGF2","Insulin Like Growth Factor 2","Protein Coding","28.5","98"
"81","CD274","CD274 Molecule","Protein Coding","28.3","89"
"82","XIST","X Inactive Specific Transcript","RNA Gene","28.0","62"
"83","GAS5","Growth Arrest Specific 5","RNA Gene","27.8","58"
"84","TLR2","Toll Like Receptor 2","Protein Coding","27.6","96"
"85","CRCS2","Colorectal Cancer, Susceptibility To, 2","Genetic Locus","27.6","29"
"86","MIR133B","MicroRNA 133b","RNA Gene","27.5","65"
"87","MEG3","Maternally Expressed 3","RNA Gene","27.4","67"
"88","CRCS11","Colorectal Cancer, Susceptibility To, 11","Genetic Locus","27.3","27"
"89","CRCS5","Colorectal Cancer, Susceptibility To, 5","Genetic Locus","27.3","27"
"90","CRCS6","Colorectal Cancer, Susceptibility To, 6","Genetic Locus","27.3","27"
"91","CRCS9","Colorectal Cancer, Susceptibility To, 9","Genetic Locus","27.3","27"
"92","FANCC","FA Complementation Group C","Protein Coding","26.8","91"
"93","SMAD2","SMAD Family Member 2","Protein Coding","26.5","100"
"94","CRCS7","Colorectal Cancer, Susceptibility To, 7","Genetic Locus","26.5","24"
"95","CRCS8","Colorectal Cancer, Susceptibility To, 8","Genetic Locus","26.5","24"
"96","TERT","Telomerase Reverse Transcriptase","Protein Coding","26.5","100"
"97","BUB1","BUB1 Mitotic Checkpoint Serine/Threonine Kinase","Protein Coding","26.1","100"
"98","MIR34C","MicroRNA 34c","RNA Gene","26.1","65"
"99","AXIN1","Axin 1","Protein Coding","26.0","96"
"100","MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","25.9","100"
"101","TUG1","Taurine Up-Regulated 1","Protein Coding","25.9","52"
"102","PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","25.9","100"
"103","FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","25.9","100"
"104","MIR31","MicroRNA 31","RNA Gene","25.8","65"
"105","PCAT1","Prostate Cancer Associated Transcript 1","RNA Gene","25.8","56"
"106","SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","25.2","97"
"107","AMER1","APC Membrane Recruitment Protein 1","Protein Coding","25.1","81"
"108","JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","24.9","89"
"109","RB1","RB Transcriptional Corepressor 1","Protein Coding","24.9","100"
"110","MIR320A","MicroRNA 320a","RNA Gene","24.8","63"
"111","MIR145","MicroRNA 145","RNA Gene","24.6","72"
"112","PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","24.6","100"
"113","MIR18A","MicroRNA 18a","RNA Gene","24.5","62"
"114","ODC1","Ornithine Decarboxylase 1","Protein Coding","24.5","88"
"115","KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","24.4","100"
"116","SNHG16","Small Nucleolar RNA Host Gene 16","RNA Gene","24.3","58"
"117","MIR17","MicroRNA 17","RNA Gene","24.0","66"
"118","PDCD1","Programmed Cell Death 1","Protein Coding","23.9","92"
"119","METTL3","Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit","Protein Coding","23.9","75"
"120","NBN","Nibrin","Protein Coding","23.9","100"
"121","CYTOR","Cytoskeleton Regulator RNA","RNA Gene","23.9","53"
"122","SOX9","SRY-Box Transcription Factor 9","Protein Coding","23.8","98"
"123","ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","23.8","85"
"124","MIR203A","MicroRNA 203a","RNA Gene","23.8","63"
"125","MIR27A","MicroRNA 27a","RNA Gene","23.7","66"
"126","MMP9","Matrix Metallopeptidase 9","Protein Coding","23.7","100"
"127","CASP3","Caspase 3","Protein Coding","23.7","91"
"128","ZFAS1","ZNFX1 Antisense RNA 1","RNA Gene","23.6","58"
"129","BARD1","BRCA1 Associated RING Domain 1","Protein Coding","23.6","100"
"130","DANCR","Differentiation Antagonizing Non-Protein Coding RNA","RNA Gene","23.6","59"
"131","MIR125A","MicroRNA 125a","RNA Gene","23.6","63"
"132","HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","23.6","59"
"133","CRP","C-Reactive Protein","Protein Coding","23.6","87"
"134","MIR29A","MicroRNA 29a","RNA Gene","23.5","71"
"135","MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","23.5","60"
"136","MT-CO1","Mitochondrially Encoded Cytochrome C Oxidase I","Protein Coding","23.4","88"
"137","CASP8","Caspase 8","Protein Coding","23.3","100"
"138","CDK4","Cyclin Dependent Kinase 4","Protein Coding","23.2","100"
"139","MIR143","MicroRNA 143","RNA Gene","23.2","67"
"140","PLA2G2A","Phospholipase A2 Group IIA","Protein Coding","23.1","86"
"141","LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","23.1","57"
"142","MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","23.0","100"
"143","PTPRJ","Protein Tyrosine Phosphatase Receptor Type J","Protein Coding","22.9","93"
"144","NOTCH1","Notch Receptor 1","Protein Coding","22.9","100"
"145","KCNQ1OT1","KCNQ1 Opposite Strand/Antisense Transcript 1","RNA Gene","22.8","73"
"146","PTPN12","Protein Tyrosine Phosphatase Non-Receptor Type 12","Protein Coding","22.7","88"
"147","MAP2K4","Mitogen-Activated Protein Kinase Kinase 4","Protein Coding","22.6","90"
"148","MIR139","MicroRNA 139","RNA Gene","22.6","59"
"149","FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","22.4","100"
"150","MIR451A","MicroRNA 451a","RNA Gene","22.3","60"
"151","ITGA5","Integrin Subunit Alpha 5","Protein Coding","22.3","92"
"152","SCG5","Secretogranin V","Protein Coding","22.2","67"
"153","MMP2","Matrix Metallopeptidase 2","Protein Coding","22.1","100"
"154","MIR200C","MicroRNA 200c","RNA Gene","22.1","67"
"155","FANCI","FA Complementation Group I","Protein Coding","22.0","92"
"156","HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","21.9","96"
"157","SNHG1","Small Nucleolar RNA Host Gene 1","RNA Gene","21.8","58"
"158","REV3L","REV3 Like, DNA Directed Polymerase Zeta Catalytic Subunit","Protein Coding","21.8","93"
"159","FEZF1-AS1","FEZF1 Antisense RNA 1","RNA Gene","21.8","58"
"160","ERBB4","Erb-B2 Receptor Tyrosine Kinase 4","Protein Coding","21.8","100"
"161","MIR19A","MicroRNA 19a","RNA Gene","21.8","65"
"162","MIR141","MicroRNA 141","RNA Gene","21.6","63"
"163","MGMT","O-6-Methylguanine-DNA Methyltransferase","Protein Coding","21.6","82"
"164","FANCE","FA Complementation Group E","Protein Coding","21.6","89"
"165","TGFB1","Transforming Growth Factor Beta 1","Protein Coding","21.5","100"
"166","HOXA11-AS","HOXA11 Antisense RNA","RNA Gene","21.4","57"
"167","MIR30A","MicroRNA 30a","RNA Gene","21.4","63"
"168","BCL2","BCL2 Apoptosis Regulator","Protein Coding","21.3","93"
"169","MIR195","MicroRNA 195","RNA Gene","21.3","65"
"170","ADAR","Adenosine Deaminase RNA Specific","Protein Coding","21.3","98"
"171","LINC00858","Long Intergenic Non-Protein Coding RNA 858","RNA Gene","21.3","53"
"172","DMD","Dystrophin","Protein Coding","21.3","100"
"173","MIR100HG","Mir-100-Let-7a-2-Mir-125b-1 Cluster Host Gene","RNA Gene","21.2","56"
"174","MIR20A","MicroRNA 20a","RNA Gene","21.2","67"
"175","FZD3","Frizzled Class Receptor 3","Protein Coding","21.1","83"
"176","ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","20.9","100"
"177","PVT1","Pvt1 Oncogene","RNA Gene","20.9","66"
"178","MBD4","Methyl-CpG Binding Domain 4, DNA Glycosylase","Protein Coding","20.8","92"
"179","MIR155","MicroRNA 155","RNA Gene","20.8","62"
"180","MIR34A","MicroRNA 34a","RNA Gene","20.7","69"
"181","CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","20.6","54"
"182","MIR182","MicroRNA 182","RNA Gene","20.6","65"
"183","MIR221","MicroRNA 221","RNA Gene","20.6","66"
"184","MIR126","MicroRNA 126","RNA Gene","20.6","68"
"185","UCA1","Urothelial Cancer Associated 1","RNA Gene","20.5","60"
"186","LOC129933707","ATAC-STARR-Seq Lymphoblastoid Silent Region 11468","Functional Element","20.5","56"
"187","RBFOX1","RNA Binding Fox-1 Homolog 1","Protein Coding","20.5","90"
"188","MIR223","MicroRNA 223","RNA Gene","20.3","66"
"189","CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","20.3","90"
"190","SNHG14","Small Nucleolar RNA Host Gene 14","RNA Gene","20.3","70"
"191","MIR106A","MicroRNA 106a","RNA Gene","20.3","62"
"192","FBXO11","F-Box Protein 11","Protein Coding","20.3","92"
"193","HOTAIRM1","HOXA Transcript Antisense RNA, Myeloid-Specific 1","RNA Gene","20.2","56"
"194","RAD51L3-RFFL","RAD51L3-RFFL Readthrough","RNA Gene","20.2","64"
"195","SLCO4A1-AS1","SLCO4A1 Antisense RNA 1","RNA Gene","20.2","52"
"196","GSTP1","Glutathione S-Transferase Pi 1","Protein Coding","20.1","94"
"197","TYMP","Thymidine Phosphorylase","Protein Coding","20.1","99"
"198","BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","20.1","93"
"199","CASC2","Cancer Susceptibility 2","RNA Gene","20.1","56"
"200","MIR135B","MicroRNA 135b","RNA Gene","20.1","61"
"201","RAD54B","RAD54 Homolog B","Protein Coding","20.1","75"
"202","MIR4435-2HG","MIR4435-2 Host Gene","RNA Gene","20.0","54"
"203","HOTAIR","HOX Transcript Antisense RNA","RNA Gene","19.9","59"
"204","MYO1B","Myosin IB","Protein Coding","19.9","74"
"205","PDGFRL","Platelet Derived Growth Factor Receptor Like","Protein Coding","19.8","63"
"206","FANCM","FA Complementation Group M","Protein Coding","19.8","95"
"207","SLC9A9","Solute Carrier Family 9 Member A9","Protein Coding","19.8","76"
"208","DLEU1","Deleted In Lymphocytic Leukemia 1","RNA Gene","19.7","56"
"209","MIR23A","MicroRNA 23a","RNA Gene","19.7","67"
"210","MIR140","MicroRNA 140","RNA Gene","19.7","68"
"211","MIR497","MicroRNA 497","RNA Gene","19.6","59"
"212","UICLM","Up-Regulated In Colorectal Cancer Liver Metastasis","RNA Gene","19.6","49"
"213","MIR183","MicroRNA 183","RNA Gene","19.6","61"
"214","LINC02940","Long Intergenic Non-Protein Coding RNA 2940","RNA Gene","19.6","52"
"215","NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","19.6","65"
"216","ERCC1","ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit","Protein Coding","19.6","100"
"217","LINC00511","Long Intergenic Non-Protein Coding RNA 511","RNA Gene","19.5","52"
"218","FARP1","FERM, ARH/RhoGEF And Pleckstrin Domain Protein 1","Protein Coding","19.4","82"
"219","MIRLET7A1","MicroRNA Let-7a-1","RNA Gene","19.4","63"
"220","PRNCR1","Prostate Cancer Associated Non-Coding RNA 1","RNA Gene","19.4","53"
"221","CASC15","Cancer Susceptibility 15","RNA Gene","19.4","56"
"222","ALB","Albumin","Protein Coding","19.4","100"
"223","PROM1","Prominin 1","Protein Coding","19.4","91"
"224","MIR93","MicroRNA 93","RNA Gene","19.3","64"
"225","TCERG1","Transcription Elongation Regulator 1","Protein Coding","19.3","78"
"226","NORAD","Non-Coding RNA Activated By DNA Damage","RNA Gene","19.3","57"
"227","BCL10","BCL10 Immune Signaling Adaptor","Protein Coding","19.3","94"
"228","MIR130B","MicroRNA 130b","RNA Gene","19.3","61"
"229","MIR192","MicroRNA 192","RNA Gene","19.3","59"
"230","MIR17HG","MiR-17-92a-1 Cluster Host Gene","RNA Gene","19.3","63"
"231","SOD2","Superoxide Dismutase 2","Protein Coding","19.2","93"
"232","RSPO3","R-Spondin 3","Protein Coding","19.2","72"
"233","CBR3-AS1","CBR3 Antisense RNA 1","RNA Gene","19.2","53"
"234","MIR224","MicroRNA 224","RNA Gene","19.2","59"
"235","ELFN1-AS1","ELFN1 Antisense RNA 1","RNA Gene","19.2","51"
"236","LINC00473","Long Intergenic Non-Protein Coding RNA 473","RNA Gene","19.1","75"
"237","IL6","Interleukin 6","Protein Coding","19.1","93"
"238","MIR107","MicroRNA 107","RNA Gene","19.1","63"
"239","SNHG5","Small Nucleolar RNA Host Gene 5","RNA Gene","19.0","57"
"240","PKD1-AS1","PKD1 Antisense RNA 1","RNA Gene","19.0","65"
"241","MIR25","MicroRNA 25","RNA Gene","18.9","59"
"242","DPYD","Dihydropyrimidine Dehydrogenase","Protein Coding","18.9","97"
"243","ENG","Endoglin","Protein Coding","18.9","98"
"244","CASC21","Cancer Susceptibility 21","RNA Gene","18.9","51"
"245","PGM5-AS1","PGM5 Antisense RNA 1","RNA Gene","18.9","51"
"246","HAGLR","HOXD Antisense Growth-Associated Long Non-Coding RNA","RNA Gene","18.9","53"
"247","TMEM238L","Transmembrane Protein 238 Like","Protein Coding","18.8","43"
"248","NBR2","Neighbor Of BRCA1 LncRNA 2","RNA Gene","18.8","58"
"249","UGT1A1","UDP Glucuronosyltransferase Family 1 Member A1","Protein Coding","18.8","99"
"250","CASC9","Cancer Susceptibility 9","RNA Gene","18.7","53"
"251","MIR15B","MicroRNA 15b","RNA Gene","18.7","69"
"252","MIR27B","MicroRNA 27b","RNA Gene","18.7","68"
"253","CRNDE","Colorectal Neoplasia Differentially Expressed","RNA Gene","18.7","56"
"254","CASC19","Cancer Susceptibility 19","RNA Gene","18.7","52"
"255","MIR342","MicroRNA 342","RNA Gene","18.7","63"
"256","LINC00941","Long Intergenic Non-Protein Coding RNA 941","RNA Gene","18.6","59"
"257","HLA-F-AS1","HLA-F Antisense RNA 1","RNA Gene","18.6","53"
"258","CASC11","Cancer Susceptibility 11","RNA Gene","18.6","60"
"259","DPP10-AS1","DPP10 Antisense RNA 1","RNA Gene","18.6","51"
"260","SNHG6","Small Nucleolar RNA Host Gene 6","RNA Gene","18.5","51"
"261","TMPO-AS1","TMPO Antisense RNA 1","RNA Gene","18.5","59"
"262","SNHG17","Small Nucleolar RNA Host Gene 17","RNA Gene","18.5","58"
"263","LINC00963","Long Intergenic Non-Protein Coding RNA 963","RNA Gene","18.5","52"
"264","MIR106B","MicroRNA 106b","RNA Gene","18.4","65"
"265","MIR32","MicroRNA 32","RNA Gene","18.4","59"
"266","OIP5-AS1","OIP5 Antisense RNA 1","RNA Gene","18.4","58"
"267","MIR10B","MicroRNA 10b","RNA Gene","18.4","62"
"268","VTI1A","Vesicle Transport Through Interaction With T-SNAREs 1A","Protein Coding","18.3","73"
"269","LGR5","Leucine Rich Repeat Containing G Protein-Coupled Receptor 5","Protein Coding","18.3","80"
"270","TTN-AS1","TTN Antisense RNA 1","RNA Gene","18.3","68"
"271","MIRLET7G","MicroRNA Let-7g","RNA Gene","18.3","64"
"272","LINC02418","Long Intergenic Non-Protein Coding RNA 2418","RNA Gene","18.2","53"
"273","MIR191","MicroRNA 191","RNA Gene","18.2","60"
"274","MIR132","MicroRNA 132","RNA Gene","18.2","65"
"275","MIRLET7B","MicroRNA Let-7b","RNA Gene","18.1","66"
"276","YWHAE","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon","Protein Coding","18.1","95"
"277","AGO2","Argonaute RISC Catalytic Component 2","Protein Coding","18.1","95"
"278","MEN1","Menin 1","Protein Coding","18.1","100"
"279","LINC01354","Long Intergenic Non-Protein Coding RNA 1354","RNA Gene","18.0","53"
"280","MIR34B","MicroRNA 34b","RNA Gene","18.0","67"
"281","FENDRR","FOXF1 Adjacent Non-Coding Developmental Regulatory RNA","RNA Gene","18.0","56"
"282","BCYRN1","Brain Cytoplasmic RNA 1","RNA Gene","18.0","57"
"283","POU2AF3","POU Class 2 Homeobox Associating Factor 3","Protein Coding","18.0","51"
"284","MIR328","MicroRNA 328","RNA Gene","18.0","60"
"285","ZNF407-AS1","ZNF407 Antisense RNA 1","RNA Gene","18.0","51"
"286","MIR24-1","MicroRNA 24-1","RNA Gene","17.9","64"
"287","MIR137","MicroRNA 137","RNA Gene","17.9","60"
"288","XRCC1","X-Ray Repair Cross Complementing 1","Protein Coding","17.9","95"
"289","MIAT","Myocardial Infarction Associated Transcript","RNA Gene","17.9","60"
"290","SMO","Smoothened, Frizzled Class Receptor","Protein Coding","17.8","100"
"291","LINC00707","Long Intergenic Non-Protein Coding RNA 707","RNA Gene","17.8","50"
"292","PROX1","Prospero Homeobox 1","Protein Coding","17.8","76"
"293","THORLNC","Testis Associated Oncogenic LncRNA","RNA Gene","17.8","56"
"294","GSTM1","Glutathione S-Transferase Mu 1","Protein Coding","17.8","85"
"295","MIR296","MicroRNA 296","RNA Gene","17.7","58"
"296","B3GALT5-AS1","B3GALT5 Antisense RNA 1","RNA Gene","17.7","53"
"297","ETV6","ETS Variant Transcription Factor 6","Protein Coding","17.7","95"
"298","FALEC","Focally Amplified LncRNA Regulator Of ECM1","RNA Gene","17.7","53"
"299","MILIP","MYC Inducible LncRNA Inactivating P53","RNA Gene","17.6","51"
"300","LINC02023","Long Intergenic Non-Protein Coding RNA 2023","RNA Gene","17.6","49"
"301","MIR9-1","MicroRNA 9-1","RNA Gene","17.6","68"
"302","MCM3AP-AS1","MCM3AP Antisense RNA 1","RNA Gene","17.6","65"
"303","BANCR","BRAF-Activated Non-Protein Coding RNA","RNA Gene","17.5","53"
"304","MELTF-AS1","MELTF Antisense RNA 1","RNA Gene","17.5","53"
"305","SLC30A10","Solute Carrier Family 30 Member 10","Protein Coding","17.5","87"
"306","GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","17.5","96"
"307","CDKN2B-AS1","CDKN2B And CDKN2A Antisense Cis And Trans Regulatory RNA 1","RNA Gene","17.5","61"
"308","CPS1-IT1","CPS1 Intronic Transcript 1","RNA Gene","17.5","53"
"309","HNF1A-AS1","HNF1A Antisense RNA 1","RNA Gene","17.4","56"
"310","LUCAT1","Lung Cancer Associated Transcript 1","RNA Gene","17.4","53"
"311","RUNX1-IT1","RUNX1 Intronic Transcript 1","RNA Gene","17.4","50"
"312","DGCR5","DiGeorge Syndrome Critical Region Gene 5","RNA Gene","17.4","56"
"313","ERCC2","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","Protein Coding","17.4","100"
"314","MIR96","MicroRNA 96","RNA Gene","17.4","62"
"315","ZEB1-AS1","ZEB1 Antisense RNA 1","RNA Gene","17.4","55"
"316","CP","Ceruloplasmin","Protein Coding","17.3","96"
"317","DLGAP1-AS1","DLGAP1 Antisense RNA 1","RNA Gene","17.3","53"
"318","NR2F1-AS1","NR2F1 Regulatory Antisense RNA 1","RNA Gene","17.3","64"
"319","FTX","FTX Transcript, XIST Regulator","RNA Gene","17.3","57"
"320","CD44","CD44 Molecule (IN Blood Group)","Protein Coding","17.3","97"
"321","BDNF-AS","BDNF Antisense RNA","RNA Gene","17.3","63"
"322","ADAMTS9-AS2","ADAMTS9 Antisense RNA 2","RNA Gene","17.3","57"
"323","TTTY15","Testis Expressed Transcript, Y-Linked 15","RNA Gene","17.3","64"
"324","CDK20","Cyclin Dependent Kinase 20","Protein Coding","17.3","79"
"325","MIR31HG","MIR31 Host Gene","RNA Gene","17.3","56"
"326","SEMA4A","Semaphorin 4A","Protein Coding","17.3","89"
"327","MIR497HG","Mir-497-195 Cluster Host Gene","RNA Gene","17.2","53"
"328","CDC27","Cell Division Cycle 27","Protein Coding","17.2","86"
"329","MIR29B2","MicroRNA 29b-2","RNA Gene","17.2","59"
"330","SNHG11","Small Nucleolar RNA Host Gene 11","RNA Gene","17.2","55"
"331","VPS9D1-AS1","VPS9D1 Antisense RNA 1","RNA Gene","17.2","53"
"332","MIR24-2","MicroRNA 24-2","RNA Gene","17.2","58"
"333","LINC02474","Long Intergenic Non-Protein Coding RNA 2474","RNA Gene","17.2","51"
"334","KAT2B","Lysine Acetyltransferase 2B","Protein Coding","17.2","97"
"335","MDM2","MDM2 Proto-Oncogene","Protein Coding","17.1","100"
"336","LINC00460","Long Intergenic Non-Protein Coding RNA 460","RNA Gene","17.1","53"
"337","MNX1-AS1","MNX1 Antisense RNA 1","RNA Gene","17.1","52"
"338","CHASERR","CHD2 Adjacent Suppressive Regulatory RNA","RNA Gene","17.1","55"
"339","CDX2","Caudal Type Homeobox 2","Protein Coding","17.1","79"
"340","LINC01234","Long Intergenic Non-Protein Coding RNA 1234","RNA Gene","17.1","53"
"341","MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","17.1","100"
"342","ITSN1","Intersectin 1","Protein Coding","17.0","100"
"343","SNHG15","Small Nucleolar RNA Host Gene 15","RNA Gene","17.0","58"
"344","CRTC3","CREB Regulated Transcription Coactivator 3","Protein Coding","17.0","70"
"345","PITX1-AS1","PITX1 Antisense RNA 1","RNA Gene","17.0","55"
"346","LINC00958","Long Intergenic Non-Protein Coding RNA 958","RNA Gene","17.0","52"
"347","JPX","JPX Transcript, XIST Activator","RNA Gene","17.0","56"
"348","AFAP1-AS1","AFAP1 Antisense RNA 1","RNA Gene","16.9","56"
"349","MIR128-2","MicroRNA 128-2","RNA Gene","16.9","55"
"350","ITSN2","Intersectin 2","Protein Coding","16.9","91"
"351","FER1L4","Fer-1 Like Family Member 4 (Pseudogene)","Pseudogene","16.9","55"
"352","ZEB2-AS1","ZEB2 Antisense RNA 1","RNA Gene","16.9","57"
