chemical_id,ChemicalName,gene_id,gene_symbol,cluster_id
D001464,Barium,23416,KCNH3,cluster_6
D001464,Barium,3768,KCNJ12,cluster_6
D001464,Barium,3770,KCNJ14,cluster_6
D001464,Barium,3772,KCNJ15,cluster_6
D001464,Barium,3759,KCNJ2,cluster_6
D001464,Barium,3761,KCNJ4,cluster_6
D001464,Barium,338567,KCNK18,cluster_6
D001464,Barium,3784,KCNQ1,cluster_6
D001464,Barium,407029,MIR30A,cluster_6
D001464,Barium,4323,MMP14,cluster_6
D001464,Barium,4883,NPR3,cluster_6
D001464,Barium,5027,P2RX7,cluster_6
D001464,Barium,5747,PTK2,cluster_6
D001464,Barium,6446,SGK1,cluster_6
D001464,Barium,10110,SGK2,cluster_6
D001464,Barium,23678,SGK3,cluster_6
D001464,Barium,6647,SOD1,cluster_6
D001464,Barium,7222,TRPC3,cluster_6
D001464,Barium,7223,TRPC4,cluster_6
D001464,Barium,140803,TRPM6,cluster_6
D001464,Barium,55503,TRPV6,cluster_6
D001464,Barium,7389,UROD,cluster_6
C050718,dentinol,5743,PTGS2,cluster_9
D004051,Diethylhexyl Phthalate,2,A2M,cluster_3
D004051,Diethylhexyl Phthalate,10157,AASS,cluster_3
D004051,Diethylhexyl Phthalate,19,ABCA1,cluster_3
D004051,Diethylhexyl Phthalate,5243,ABCB1,cluster_3
D004051,Diethylhexyl Phthalate,8647,ABCB11,cluster_3
D004051,Diethylhexyl Phthalate,1244,ABCC2,cluster_3
D004051,Diethylhexyl Phthalate,8714,ABCC3,cluster_3
D004051,Diethylhexyl Phthalate,10257,ABCC4,cluster_3
D004051,Diethylhexyl Phthalate,368,ABCC6,cluster_3
D004051,Diethylhexyl Phthalate,6833,ABCC8,cluster_3
D004051,Diethylhexyl Phthalate,9429,ABCG2,cluster_3
D004051,Diethylhexyl Phthalate,10152,ABI2,cluster_3
D004051,Diethylhexyl Phthalate,22885,ABLIM3,cluster_3
D004051,Diethylhexyl Phthalate,25841,ABTB2,cluster_3
D004051,Diethylhexyl Phthalate,121551,ABTB3,cluster_3
D004051,Diethylhexyl Phthalate,30,ACAA1,cluster_3
D004051,Diethylhexyl Phthalate,113868,ACAA1A,cluster_3
D004051,Diethylhexyl Phthalate,32,ACACB,cluster_3
D004051,Diethylhexyl Phthalate,28976,ACAD9,cluster_3
D004051,Diethylhexyl Phthalate,34,ACADM,cluster_3
D004051,Diethylhexyl Phthalate,37,ACADVL,cluster_3
D004051,Diethylhexyl Phthalate,414149,ACBD7,cluster_3
D004051,Diethylhexyl Phthalate,84680,ACCS,cluster_3
D004051,Diethylhexyl Phthalate,59272,ACE2,cluster_3
D004051,Diethylhexyl Phthalate,2532,ACKR1,cluster_3
D004051,Diethylhexyl Phthalate,1238,ACKR2,cluster_3
D004051,Diethylhexyl Phthalate,2180,ACSL1,cluster_3
D004051,Diethylhexyl Phthalate,55902,ACSS2,cluster_3
D004051,Diethylhexyl Phthalate,58,ACTA1,cluster_3
D004051,Diethylhexyl Phthalate,59,ACTA2,cluster_3
D004051,Diethylhexyl Phthalate,345651,ACTBL2,cluster_3
D004051,Diethylhexyl Phthalate,72,ACTG2,cluster_3
D004051,Diethylhexyl Phthalate,87,ACTN1,cluster_3
D004051,Diethylhexyl Phthalate,10120,ACTR1B,cluster_3
D004051,Diethylhexyl Phthalate,10096,ACTR3,cluster_3
D004051,Diethylhexyl Phthalate,4185,ADAM11,cluster_3
D004051,Diethylhexyl Phthalate,8728,ADAM19,cluster_3
D004051,Diethylhexyl Phthalate,53616,ADAM22,cluster_3
D004051,Diethylhexyl Phthalate,8745,ADAM23,cluster_3
D004051,Diethylhexyl Phthalate,9510,ADAMTS1,cluster_3
D004051,Diethylhexyl Phthalate,9507,ADAMTS4,cluster_3
D004051,Diethylhexyl Phthalate,56999,ADAMTS9,cluster_3
D004051,Diethylhexyl Phthalate,117,ADCYAP1R1,cluster_3
D004051,Diethylhexyl Phthalate,283383,ADGRD1,cluster_3
D004051,Diethylhexyl Phthalate,9289,ADGRG1,cluster_3
D004051,Diethylhexyl Phthalate,57211,ADGRG6,cluster_3
D004051,Diethylhexyl Phthalate,22859,ADGRL1,cluster_3
D004051,Diethylhexyl Phthalate,64123,ADGRL4,cluster_3
D004051,Diethylhexyl Phthalate,55256,ADI1,cluster_3
D004051,Diethylhexyl Phthalate,9370,ADIPOQ,cluster_3
D004051,Diethylhexyl Phthalate,151,ADRA2B,cluster_3
D004051,Diethylhexyl Phthalate,155,ADRB3,cluster_3
D004051,Diethylhexyl Phthalate,158,ADSL,cluster_3
D004051,Diethylhexyl Phthalate,122622,ADSS1,cluster_3
D004051,Diethylhexyl Phthalate,165,AEBP1,cluster_3
D004051,Diethylhexyl Phthalate,60312,AFAP1,cluster_3
D004051,Diethylhexyl Phthalate,134265,AFAP1L1,cluster_3
D004051,Diethylhexyl Phthalate,84632,AFAP1L2,cluster_3
D004051,Diethylhexyl Phthalate,2334,AFF2,cluster_3
D004051,Diethylhexyl Phthalate,174,AFP,cluster_3
D004051,Diethylhexyl Phthalate,116986,AGAP2,cluster_3
D004051,Diethylhexyl Phthalate,392636,AGMO,cluster_3
D004051,Diethylhexyl Phthalate,10554,AGPAT1,cluster_3
D004051,Diethylhexyl Phthalate,56895,AGPAT4,cluster_3
D004051,Diethylhexyl Phthalate,183,AGT,cluster_3
D004051,Diethylhexyl Phthalate,23287,AGTPBP1,cluster_3
D004051,Diethylhexyl Phthalate,54806,AHI1,cluster_3
D004051,Diethylhexyl Phthalate,79026,AHNAK,cluster_3
D004051,Diethylhexyl Phthalate,113146,AHNAK2,cluster_3
D004051,Diethylhexyl Phthalate,196,AHR,cluster_3
D004051,Diethylhexyl Phthalate,197,AHSG,cluster_3
D004051,Diethylhexyl Phthalate,419544,AIM1L,cluster_3
D004051,Diethylhexyl Phthalate,205,AK4,cluster_3
D004051,Diethylhexyl Phthalate,26289,AK5,cluster_3
D004051,Diethylhexyl Phthalate,9495,AKAP5,cluster_3
D004051,Diethylhexyl Phthalate,9472,AKAP6,cluster_3
D004051,Diethylhexyl Phthalate,10270,AKAP8,cluster_3
D004051,Diethylhexyl Phthalate,57016,AKR1B10,cluster_3
D004051,Diethylhexyl Phthalate,1645,AKR1C1,cluster_3
D004051,Diethylhexyl Phthalate,1646,AKR1C2,cluster_3
D004051,Diethylhexyl Phthalate,8644,AKR1C3,cluster_3
D004051,Diethylhexyl Phthalate,83592,AKR1E2,cluster_3
D004051,Diethylhexyl Phthalate,207,AKT1,cluster_3
D004051,Diethylhexyl Phthalate,84335,AKT1S1,cluster_3
D004051,Diethylhexyl Phthalate,216,ALDH1A1,cluster_3
D004051,Diethylhexyl Phthalate,226,ALDOA,cluster_3
D004051,Diethylhexyl Phthalate,240,ALOX5,cluster_3
D004051,Diethylhexyl Phthalate,241,ALOX5AP,cluster_3
D004051,Diethylhexyl Phthalate,80216,ALPK1,cluster_3
D004051,Diethylhexyl Phthalate,115701,ALPK2,cluster_3
D004051,Diethylhexyl Phthalate,249,ALPL,cluster_3
D004051,Diethylhexyl Phthalate,60529,ALX4,cluster_3
D004051,Diethylhexyl Phthalate,144193,AMDHD1,cluster_3
D004051,Diethylhexyl Phthalate,219287,AMER2,cluster_3
D004051,Diethylhexyl Phthalate,269,AMHR2,cluster_3
D004051,Diethylhexyl Phthalate,154796,AMOT,cluster_3
D004051,Diethylhexyl Phthalate,154810,AMOTL1,cluster_3
D004051,Diethylhexyl Phthalate,273,AMPH,cluster_3
D004051,Diethylhexyl Phthalate,25906,ANAPC15,cluster_3
D004051,Diethylhexyl Phthalate,285,ANGPT2,cluster_3
D004051,Diethylhexyl Phthalate,51378,ANGPT4,cluster_3
D004051,Diethylhexyl Phthalate,9068,ANGPTL1,cluster_3
D004051,Diethylhexyl Phthalate,51129,ANGPTL4,cluster_3
D004051,Diethylhexyl Phthalate,27063,ANKRD1,cluster_3
D004051,Diethylhexyl Phthalate,11147,ANKRD13C-DT,cluster_3
D004051,Diethylhexyl Phthalate,375248,ANKRD36,cluster_3
D004051,Diethylhexyl Phthalate,23294,ANKS1A,cluster_3
D004051,Diethylhexyl Phthalate,121601,ANO4,cluster_3
D004051,Diethylhexyl Phthalate,23519,ANP32D,cluster_3
D004051,Diethylhexyl Phthalate,301,ANXA1,cluster_3
D004051,Diethylhexyl Phthalate,302,ANXA2,cluster_3
D004051,Diethylhexyl Phthalate,306,ANXA3,cluster_3
D004051,Diethylhexyl Phthalate,307,ANXA4,cluster_3
D004051,Diethylhexyl Phthalate,308,ANXA5,cluster_3
D004051,Diethylhexyl Phthalate,728113,ANXA8L1,cluster_3
D004051,Diethylhexyl Phthalate,316,AOX1,cluster_3
D004051,Diethylhexyl Phthalate,8907,AP1M1,cluster_3
D004051,Diethylhexyl Phthalate,10053,AP1M2,cluster_3
D004051,Diethylhexyl Phthalate,321,APBA2,cluster_3
D004051,Diethylhexyl Phthalate,323,APBB2,cluster_3
D004051,Diethylhexyl Phthalate,164284,APCDD1L,cluster_3
D004051,Diethylhexyl Phthalate,80833,APOL3,cluster_3
D004051,Diethylhexyl Phthalate,80830,APOL6,cluster_3
D004051,Diethylhexyl Phthalate,358,AQP1,cluster_3
D004051,Diethylhexyl Phthalate,361,AQP4,cluster_3
D004051,Diethylhexyl Phthalate,367,AR,cluster_3
D004051,Diethylhexyl Phthalate,116984,ARAP2,cluster_3
D004051,Diethylhexyl Phthalate,23237,ARC,cluster_3
D004051,Diethylhexyl Phthalate,392,ARHGAP1,cluster_3
D004051,Diethylhexyl Phthalate,93663,ARHGAP18,cluster_3
D004051,Diethylhexyl Phthalate,83478,ARHGAP24,cluster_3
D004051,Diethylhexyl Phthalate,9411,ARHGAP29,cluster_3
D004051,Diethylhexyl Phthalate,57514,ARHGAP31,cluster_3
D004051,Diethylhexyl Phthalate,80728,ARHGAP39,cluster_3
D004051,Diethylhexyl Phthalate,23526,ARHGAP45,cluster_3
D004051,Diethylhexyl Phthalate,395,ARHGAP6,cluster_3
D004051,Diethylhexyl Phthalate,23779,ARHGAP8,cluster_3
D004051,Diethylhexyl Phthalate,396,ARHGDIA,cluster_3
D004051,Diethylhexyl Phthalate,397,ARHGDIB,cluster_3
D004051,Diethylhexyl Phthalate,115557,ARHGEF25,cluster_3
D004051,Diethylhexyl Phthalate,50649,ARHGEF4,cluster_3
D004051,Diethylhexyl Phthalate,7984,ARHGEF5,cluster_3
D004051,Diethylhexyl Phthalate,9459,ARHGEF6,cluster_3
D004051,Diethylhexyl Phthalate,10865,ARID5A,cluster_3
D004051,Diethylhexyl Phthalate,400,ARL1,cluster_3
D004051,Diethylhexyl Phthalate,403,ARL3,cluster_3
D004051,Diethylhexyl Phthalate,55207,ARL8B,cluster_3
D004051,Diethylhexyl Phthalate,221481,ARMC12,cluster_3
D004051,Diethylhexyl Phthalate,79637,ARMC7,cluster_3
D004051,Diethylhexyl Phthalate,9915,ARNT2,cluster_3
D004051,Diethylhexyl Phthalate,10095,ARPC1B,cluster_3
D004051,Diethylhexyl Phthalate,100129716,ARRDC3-AS1,cluster_3
D004051,Diethylhexyl Phthalate,410,ARSA,cluster_3
D004051,Diethylhexyl Phthalate,22901,ARSG,cluster_3
D004051,Diethylhexyl Phthalate,170302,ARX,cluster_3
D004051,Diethylhexyl Phthalate,41,ASIC1,cluster_3
D004051,Diethylhexyl Phthalate,434,ASIP,cluster_3
D004051,Diethylhexyl Phthalate,151516,ASPRV1,cluster_3
D004051,Diethylhexyl Phthalate,445,ASS1,cluster_3
D004051,Diethylhexyl Phthalate,460,ASTN1,cluster_3
D004051,Diethylhexyl Phthalate,85300,ATCAY,cluster_3
D004051,Diethylhexyl Phthalate,55054,ATG16L1,cluster_3
D004051,Diethylhexyl Phthalate,89849,ATG16L2,cluster_3
D004051,Diethylhexyl Phthalate,472,ATM,cluster_3
D004051,Diethylhexyl Phthalate,23250,ATP11A,cluster_3
D004051,Diethylhexyl Phthalate,479,ATP12A,cluster_3
D004051,Diethylhexyl Phthalate,477,ATP1A2,cluster_3
D004051,Diethylhexyl Phthalate,480,ATP1A4,cluster_3
D004051,Diethylhexyl Phthalate,482,ATP1B2,cluster_3
D004051,Diethylhexyl Phthalate,487,ATP2A1,cluster_3
D004051,Diethylhexyl Phthalate,100858216,ATP5G2,cluster_3
D004051,Diethylhexyl Phthalate,100526740,ATP5MF-PTCD1,cluster_3
D004051,Diethylhexyl Phthalate,4508,ATP6,cluster_3
D004051,Diethylhexyl Phthalate,525,ATP6V1B1,cluster_3
D004051,Diethylhexyl Phthalate,9550,ATP6V1G1,cluster_3
D004051,Diethylhexyl Phthalate,4509,ATP8,cluster_3
D004051,Diethylhexyl Phthalate,148229,ATP8B3,cluster_3
D004051,Diethylhexyl Phthalate,6310,ATXN1,cluster_3
D004051,Diethylhexyl Phthalate,92552,ATXN3L,cluster_3
D004051,Diethylhexyl Phthalate,6790,AURKA,cluster_3
D004051,Diethylhexyl Phthalate,558,AXL,cluster_3
D004051,Diethylhexyl Phthalate,8706,B3GALNT1,cluster_3
D004051,Diethylhexyl Phthalate,27087,B3GAT1,cluster_3
D004051,Diethylhexyl Phthalate,2683,B4GALT1,cluster_3
D004051,Diethylhexyl Phthalate,60468,BACH2,cluster_3
D004051,Diethylhexyl Phthalate,9531,BAG3,cluster_3
D004051,Diethylhexyl Phthalate,57597,BAHCC1,cluster_3
D004051,Diethylhexyl Phthalate,80115,BAIAP2L2,cluster_3
D004051,Diethylhexyl Phthalate,25805,BAMBI,cluster_3
D004051,Diethylhexyl Phthalate,581,BAX,cluster_3
D004051,Diethylhexyl Phthalate,590,BCHE,cluster_3
D004051,Diethylhexyl Phthalate,53335,BCL11A,cluster_3
D004051,Diethylhexyl Phthalate,596,BCL2,cluster_3
D004051,Diethylhexyl Phthalate,79370,BCL2L14,cluster_3
D004051,Diethylhexyl Phthalate,100529063,BCL2L2-PABPN1,cluster_3
D004051,Diethylhexyl Phthalate,255877,BCL6B,cluster_3
D004051,Diethylhexyl Phthalate,53630,BCO1,cluster_3
D004051,Diethylhexyl Phthalate,8678,BECN1,cluster_3
D004051,Diethylhexyl Phthalate,57673,BEND3,cluster_3
D004051,Diethylhexyl Phthalate,389206,BEND4,cluster_3
D004051,Diethylhexyl Phthalate,27319,BHLHE22,cluster_3
D004051,Diethylhexyl Phthalate,8553,BHLHE40,cluster_3
D004051,Diethylhexyl Phthalate,635,BHMT,cluster_3
D004051,Diethylhexyl Phthalate,23743,BHMT2,cluster_3
D004051,Diethylhexyl Phthalate,29760,BLNK,cluster_3
D004051,Diethylhexyl Phthalate,406,BMAL1,cluster_3
D004051,Diethylhexyl Phthalate,89927,BMERB1,cluster_3
D004051,Diethylhexyl Phthalate,649,BMP1,cluster_3
D004051,Diethylhexyl Phthalate,650,BMP2,cluster_3
D004051,Diethylhexyl Phthalate,646,BNC1,cluster_3
D004051,Diethylhexyl Phthalate,654483,BOLA2B,cluster_3
D004051,Diethylhexyl Phthalate,57795,BRINP2,cluster_3
D004051,Diethylhexyl Phthalate,683,BST1,cluster_3
D004051,Diethylhexyl Phthalate,284697,BTBD8,cluster_3
D004051,Diethylhexyl Phthalate,10385,BTN2A2,cluster_3
D004051,Diethylhexyl Phthalate,11119,BTN3A1,cluster_3
D004051,Diethylhexyl Phthalate,11118,BTN3A2,cluster_3
D004051,Diethylhexyl Phthalate,8896,BUD31,cluster_3
D004051,Diethylhexyl Phthalate,387882,C12ORF75,cluster_3
D004051,Diethylhexyl Phthalate,123970,C16ORF78,cluster_3
D004051,Diethylhexyl Phthalate,64073,C19ORF33,cluster_3
D004051,Diethylhexyl Phthalate,149466,C1ORF210,cluster_3
D004051,Diethylhexyl Phthalate,712,C1QA,cluster_3
D004051,Diethylhexyl Phthalate,114905,C1QTNF7,cluster_3
D004051,Diethylhexyl Phthalate,715,C1R,cluster_3
D004051,Diethylhexyl Phthalate,716,C1S,cluster_3
D004051,Diethylhexyl Phthalate,284805,C20ORF203,cluster_3
D004051,Diethylhexyl Phthalate,140680,C20ORF96,cluster_3
D004051,Diethylhexyl Phthalate,54980,C2ORF42,cluster_3
D004051,Diethylhexyl Phthalate,718,C3,cluster_3
D004051,Diethylhexyl Phthalate,51161,C3ORF18,cluster_3
D004051,Diethylhexyl Phthalate,79669,C3ORF52,cluster_3
D004051,Diethylhexyl Phthalate,375341,C3ORF62,cluster_3
D004051,Diethylhexyl Phthalate,720,C4A,cluster_3
D004051,Diethylhexyl Phthalate,721,C4B,cluster_3
D004051,Diethylhexyl Phthalate,100293534,C4B_2,cluster_3
D004051,Diethylhexyl Phthalate,722,C4BPA,cluster_3
D004051,Diethylhexyl Phthalate,727,C5,cluster_3
D004051,Diethylhexyl Phthalate,728,C5AR1,cluster_3
D004051,Diethylhexyl Phthalate,168090,C6ORF118,cluster_3
D004051,Diethylhexyl Phthalate,57827,C6ORF47,cluster_3
D004051,Diethylhexyl Phthalate,541565,C8ORF58,cluster_3
D004051,Diethylhexyl Phthalate,389766,C9ORF153,cluster_3
D004051,Diethylhexyl Phthalate,101747858,C9ORF84,cluster_3
D004051,Diethylhexyl Phthalate,23632,CA14,cluster_3
D004051,Diethylhexyl Phthalate,761,CA3,cluster_3
D004051,Diethylhexyl Phthalate,762,CA4,cluster_3
D004051,Diethylhexyl Phthalate,768,CA9,cluster_3
D004051,Diethylhexyl Phthalate,57010,CABP4,cluster_3
D004051,Diethylhexyl Phthalate,57685,CACHD1,cluster_3
D004051,Diethylhexyl Phthalate,774,CACNA1B,cluster_3
D004051,Diethylhexyl Phthalate,775,CACNA1C,cluster_3
D004051,Diethylhexyl Phthalate,776,CACNA1D,cluster_3
D004051,Diethylhexyl Phthalate,9254,CACNA2D2,cluster_3
D004051,Diethylhexyl Phthalate,55799,CACNA2D3,cluster_3
D004051,Diethylhexyl Phthalate,93589,CACNA2D4,cluster_3
D004051,Diethylhexyl Phthalate,27092,CACNG4,cluster_3
D004051,Diethylhexyl Phthalate,27091,CACNG5,cluster_3
D004051,Diethylhexyl Phthalate,59285,CACNG6,cluster_3
D004051,Diethylhexyl Phthalate,59284,CACNG7,cluster_3
D004051,Diethylhexyl Phthalate,23705,CADM1,cluster_3
D004051,Diethylhexyl Phthalate,57863,CADM3,cluster_3
D004051,Diethylhexyl Phthalate,8618,CADPS,cluster_3
D004051,Diethylhexyl Phthalate,794,CALB2,cluster_3
D004051,Diethylhexyl Phthalate,800,CALD1,cluster_3
D004051,Diethylhexyl Phthalate,83698,CALN1,cluster_3
D004051,Diethylhexyl Phthalate,57118,CAMK1D,cluster_3
D004051,Diethylhexyl Phthalate,84254,CAMKK1,cluster_3
D004051,Diethylhexyl Phthalate,79823,CAMKMT,cluster_3
D004051,Diethylhexyl Phthalate,79012,CAMKV,cluster_3
D004051,Diethylhexyl Phthalate,821,CANX,cluster_3
D004051,Diethylhexyl Phthalate,823,CAPN1,cluster_3
D004051,Diethylhexyl Phthalate,92291,CAPN13,cluster_3
D004051,Diethylhexyl Phthalate,440854,CAPN14,cluster_3
D004051,Diethylhexyl Phthalate,824,CAPN2,cluster_3
D004051,Diethylhexyl Phthalate,827,CAPN6,cluster_3
D004051,Diethylhexyl Phthalate,84698,CAPS2,cluster_3
D004051,Diethylhexyl Phthalate,834,CASP1,cluster_3
D004051,Diethylhexyl Phthalate,23581,CASP14,cluster_3
D004051,Diethylhexyl Phthalate,836,CASP3,cluster_3
D004051,Diethylhexyl Phthalate,840,CASP7,cluster_3
D004051,Diethylhexyl Phthalate,841,CASP8,cluster_3
D004051,Diethylhexyl Phthalate,842,CASP9,cluster_3
D004051,Diethylhexyl Phthalate,54897,CASZ1,cluster_3
D004051,Diethylhexyl Phthalate,847,CAT,cluster_3
D004051,Diethylhexyl Phthalate,257062,CATSPERD,cluster_3
D004051,Diethylhexyl Phthalate,857,CAV1,cluster_3
D004051,Diethylhexyl Phthalate,858,CAV2,cluster_3
D004051,Diethylhexyl Phthalate,859,CAV3,cluster_3
D004051,Diethylhexyl Phthalate,869,CBLN1,cluster_3
D004051,Diethylhexyl Phthalate,874,CBR3,cluster_3
D004051,Diethylhexyl Phthalate,84733,CBX2,cluster_3
D004051,Diethylhexyl Phthalate,79839,CCDC102B,cluster_3
D004051,Diethylhexyl Phthalate,64753,CCDC136,cluster_3
D004051,Diethylhexyl Phthalate,165055,CCDC138,cluster_3
D004051,Diethylhexyl Phthalate,151278,CCDC140,cluster_3
D004051,Diethylhexyl Phthalate,57639,CCDC146,cluster_3
D004051,Diethylhexyl Phthalate,130940,CCDC148,cluster_3
D004051,Diethylhexyl Phthalate,100130274,CCDC166,cluster_3
