set_label,rank,gene_symbol,gene_name,gene_type,relevance_score,knowledge_score,duplicate_symbol,mapped_to_ctd_background
primary_anywhere,31,ENPP1,Ectonucleotide Pyrophosphatase/Phosphodiesterase 1,Protein Coding,586.0,96,False,False
primary_anywhere,32,EIF2AK3,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3,Protein Coding,569.9,100,False,False
primary_anywhere,33,KLF11,KLF Transcription Factor 11,Protein Coding,569.5,83,False,False
primary_anywhere,34,RETN,Resistin,Protein Coding,563.1,69,False,False
primary_anywhere,35,TBC1D4,TBC1 Domain Family Member 4,Protein Coding,561.2,85,False,False
primary_anywhere,36,CAPN10,Calpain 10,Protein Coding,560.9,87,False,True
primary_anywhere,37,TGFBR2,Transforming Growth Factor Beta Receptor 2,Protein Coding,556.2,100,False,True
primary_anywhere,38,OAS1,2'-5'-Oligoadenylate Synthetase 1,Protein Coding,554.5,97,False,False
primary_anywhere,39,FOXP3,Forkhead Box P3,Protein Coding,549.4,93,False,True
primary_anywhere,40,NIDDM2,Non Insulin Dependent Diabetes Mellitus 2,Genetic Locus,549.3,29,False,False
primary_anywhere,41,MTNR1B,Melatonin Receptor 1B,Protein Coding,549.2,85,False,False
primary_anywhere,42,CDKAL1,CDKAL1 Threonylcarbamoyladenosine TRNA Methylthiotransferase,Protein Coding,543.1,78,False,False
primary_anywhere,43,ITPR3,"Inositol 1,4,5-Trisphosphate Receptor Type 3",Protein Coding,534.3,100,False,True
primary_anywhere,44,BSCL2,"BSCL2 Lipid Droplet Biogenesis Associated, Seipin",Protein Coding,528.7,86,False,False
primary_anywhere,45,SLC19A2,Solute Carrier Family 19 Member 2,Protein Coding,521.9,91,False,False
primary_anywhere,46,NIDDM4,"Diabetes Mellitus, Noninsulin-Dependent",Genetic Locus,514.1,24,False,False
primary_anywhere,47,WRN,WRN RecQ Like Helicase,Protein Coding,509.5,100,False,False
primary_anywhere,48,INS-IGF2,INS-IGF2 Readthrough,Protein Coding,508.1,61,False,False
primary_anywhere,49,AVPR2,Arginine Vasopressin Receptor 2,Protein Coding,505.9,96,False,False
primary_anywhere,50,IDDM7,Insulin Dependent Diabetes Mellitus 7,Genetic Locus,503.5,44,False,False
primary_anywhere,51,IDDM4,Insulin Dependent Diabetes Mellitus 4,Genetic Locus,502.8,45,False,False
primary_anywhere,52,LIPE,"Lipase E, Hormone Sensitive Type",Protein Coding,501.5,94,False,False
primary_anywhere,53,IDDM11,Insulin Dependent Diabetes Mellitus 11,Genetic Locus,501.2,29,False,False
primary_anywhere,54,FTO,FTO Alpha-Ketoglutarate Dependent Dioxygenase,Protein Coding,497.7,94,False,True
primary_anywhere,55,IDDM3,Insulin Dependent Diabetes Mellitus 3,Genetic Locus,494.5,43,False,False
primary_anywhere,56,SPINK1,Serine Peptidase Inhibitor Kazal Type 1,Protein Coding,494.1,82,False,False
primary_anywhere,57,MAPK8IP1,Mitogen-Activated Protein Kinase 8 Interacting Protein 1,Protein Coding,493.6,79,False,False
primary_anywhere,58,CEL,Carboxyl Ester Lipase,Protein Coding,491.7,83,False,False
primary_anywhere,59,GPD2,Glycerol-3-Phosphate Dehydrogenase 2,Protein Coding,489.5,80,False,True
primary_anywhere,60,STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,488.1,100,False,True
primary_anywhere,61,CISD2,CDGSH Iron Sulfur Domain 2,Protein Coding,486.9,74,False,False
primary_anywhere,62,PLAGL1,PLAG1 Like Zinc Finger 1,Protein Coding,484.6,80,False,True
primary_anywhere,63,CCR5,C-C Motif Chemokine Receptor 5,Protein Coding,484.4,93,False,False
primary_anywhere,64,ZFP57,ZFP57 Zinc Finger Protein,Protein Coding,484.3,74,False,False
primary_anywhere,65,IFIH1,Interferon Induced With Helicase C Domain 1,Protein Coding,482.8,98,False,False
primary_anywhere,66,HMGA1,High Mobility Group AT-Hook 1,Protein Coding,481.3,85,False,False
primary_anywhere,67,GLIS3,GLIS Family Zinc Finger 3,Protein Coding,480.8,81,False,True
primary_anywhere,68,IDDM8,Insulin Dependent Diabetes Mellitus 8,Genetic Locus,479.0,45,False,False
primary_anywhere,69,APOE,Apolipoprotein E,Protein Coding,479.0,100,False,True
primary_anywhere,70,PPP1R3A,Protein Phosphatase 1 Regulatory Subunit 3A,Protein Coding,478.1,74,False,False
primary_anywhere,71,IDDM13,Insulin Dependent Diabetes Mellitus 13,Genetic Locus,475.6,27,False,False
primary_anywhere,72,IDDM6,Insulin Dependent Diabetes Mellitus 6,Genetic Locus,475.3,36,False,False
primary_anywhere,73,IDDM15,Insulin Dependent Diabetes Mellitus 15,Genetic Locus,474.9,29,False,False
primary_anywhere,74,STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,474.5,100,False,True
primary_anywhere,75,UCP2,Uncoupling Protein 2,Protein Coding,474.5,81,False,True
primary_anywhere,76,SLC29A3,Solute Carrier Family 29 Member 3,Protein Coding,471.7,85,False,False
primary_anywhere,77,AVP,Arginine Vasopressin,Protein Coding,470.8,89,False,False
primary_anywhere,78,IDDM17,Insulin Dependent Diabetes Mellitus 17,Genetic Locus,470.3,45,False,False
primary_anywhere,79,PLIN1,Perilipin 1,Protein Coding,469.4,83,False,False
primary_anywhere,80,AQP2,Aquaporin 2,Protein Coding,467.4,89,False,False
primary_anywhere,81,NEUROG3,Neurogenin 3,Protein Coding,466.0,81,False,False
primary_anywhere,82,PTPN11,Protein Tyrosine Phosphatase Non-Receptor Type 11,Protein Coding,464.5,100,False,True
primary_anywhere,83,MAFA,MAF BZIP Transcription Factor A,Protein Coding,463.2,68,False,False
primary_anywhere,84,MEN1,Menin 1,Protein Coding,462.7,100,False,False
primary_anywhere,85,PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,Protein Coding,462.5,100,False,True
primary_anywhere,86,SUMO4,Small Ubiquitin Like Modifier 4,Protein Coding,460.7,64,False,False
primary_anywhere,87,AIRE,Autoimmune Regulator,Protein Coding,459.9,91,False,True
primary_anywhere,88,PTF1A,Pancreas Associated Transcription Factor 1a,Protein Coding,453.4,78,False,False
primary_anywhere,89,SIRT1,Sirtuin 1,Protein Coding,452.1,97,False,True
primary_anywhere,90,PMM2,Phosphomannomutase 2,Protein Coding,450.6,92,False,False
primary_anywhere,91,AGPAT2,1-Acylglycerol-3-Phosphate O-Acyltransferase 2,Protein Coding,449.8,92,False,False
primary_anywhere,92,TP53,Tumor Protein P53,Protein Coding,449.5,100,False,True
primary_anywhere,93,PTPRN,Protein Tyrosine Phosphatase Receptor Type N,Protein Coding,449.5,79,False,True
primary_anywhere,94,ALMS1,ALMS1 Centrosome And Basal Body Associated Protein,Protein Coding,449.2,89,False,False
primary_anywhere,95,GATA6,GATA Binding Protein 6,Protein Coding,448.4,95,False,True
primary_anywhere,96,PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,444.4,100,False,True
primary_anywhere,97,GATA4,GATA Binding Protein 4,Protein Coding,443.0,100,False,False
primary_anywhere,98,BLK,"BLK Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,441.4,99,False,False
primary_anywhere,99,RFX6,Regulatory Factor X6,Protein Coding,440.2,79,False,False
primary_anywhere,100,BMPR2,Bone Morphogenetic Protein Receptor Type 2,Protein Coding,439.2,99,False,True
primary_anywhere,101,LOC110121471,VISTA Enhancer Hs1977,Functional Element,437.1,57,False,False
primary_anywhere,102,NKX2-2,NK2 Homeobox 2,Protein Coding,437.0,75,False,False
primary_anywhere,103,MT-TL1,Mitochondrially Encoded TRNA-Leu (UUA/G) 1,RNA Gene,434.6,60,False,False
primary_anywhere,104,CAV1,Caveolin 1,Protein Coding,431.5,97,False,True
primary_anywhere,105,CACNA1D,Calcium Voltage-Gated Channel Subunit Alpha1 D,Protein Coding,431.3,100,False,True
primary_anywhere,106,RBPJ,Recombination Signal Binding Protein For Immunoglobulin Kappa J Region,Protein Coding,428.5,100,False,False
primary_anywhere,107,VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,426.7,97,False,True
primary_anywhere,108,PRKAG2,Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 2,Protein Coding,424.2,100,False,True
primary_anywhere,109,MEG3,Maternally Expressed 3,RNA Gene,423.7,67,False,True
primary_anywhere,110,BMP2,Bone Morphogenetic Protein 2,Protein Coding,420.7,98,False,True
primary_anywhere,111,TNF,Tumor Necrosis Factor,Protein Coding,417.0,91,False,True
primary_anywhere,112,COL4A2,Collagen Type IV Alpha 2 Chain,Protein Coding,416.2,96,False,True
primary_anywhere,113,SLC2A1,Solute Carrier Family 2 Member 1,Protein Coding,416.0,100,False,True
primary_anywhere,114,DNAJC3,DnaJ Heat Shock Protein Family (Hsp40) Member C3,Protein Coding,414.2,86,False,True
primary_anywhere,115,HFE,Homeostatic Iron Regulator,Protein Coding,413.1,97,False,True
primary_anywhere,116,TAB2,TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 2,Protein Coding,412.7,99,False,False
primary_anywhere,117,COL1A2,Collagen Type I Alpha 2 Chain,Protein Coding,410.8,100,False,False
primary_anywhere,118,ACE,Angiotensin I Converting Enzyme,Protein Coding,408.8,100,False,False
primary_anywhere,119,ABCA1,ATP Binding Cassette Subfamily A Member 1,Protein Coding,404.9,100,False,True
primary_anywhere,120,CAMK1D,Calcium/Calmodulin Dependent Protein Kinase ID,Protein Coding,403.1,80,False,True
primary_anywhere,121,ITCH,Itchy E3 Ubiquitin Protein Ligase,Protein Coding,403.0,100,False,False
primary_anywhere,122,MMP2,Matrix Metallopeptidase 2,Protein Coding,403.0,100,False,True
primary_anywhere,123,MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,402.2,100,False,True
primary_anywhere,124,LPL,Lipoprotein Lipase,Protein Coding,401.3,100,False,True
primary_anywhere,125,SCN9A,Sodium Voltage-Gated Channel Alpha Subunit 9,Protein Coding,401.1,96,False,False
primary_anywhere,126,CP,Ceruloplasmin,Protein Coding,401.0,96,False,True
primary_anywhere,127,COL11A2,Collagen Type XI Alpha 2 Chain,Protein Coding,394.5,98,False,False
primary_anywhere,128,H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,394.1,66,False,True
primary_anywhere,129,BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,Protein Coding,392.3,100,False,False
primary_anywhere,130,SLC40A1,Solute Carrier Family 40 Member 1,Protein Coding,392.2,93,False,True
primary_anywhere,131,LIPA,"Lipase A, Lysosomal Acid Type",Protein Coding,390.6,91,False,False
primary_anywhere,132,COL1A1,Collagen Type I Alpha 1 Chain,Protein Coding,388.5,100,False,True
primary_anywhere,133,AGTR2,Angiotensin II Receptor Type 2,Protein Coding,388.1,86,False,False
primary_anywhere,134,COL4A3,Collagen Type IV Alpha 3 Chain,Protein Coding,386.9,95,False,False
primary_anywhere,135,ADAMTS2,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 2,Protein Coding,386.5,91,False,True
primary_anywhere,136,CACNA1C,Calcium Voltage-Gated Channel Subunit Alpha1 C,Protein Coding,385.7,100,False,True
primary_anywhere,137,CDKN2B-AS1,CDKN2B And CDKN2A Antisense Cis And Trans Regulatory RNA 1,RNA Gene,385.7,61,False,False
primary_anywhere,138,EIF2S3,Eukaryotic Translation Initiation Factor 2 Subunit Gamma,Protein Coding,385.7,89,False,True
primary_anywhere,139,IER3IP1,Immediate Early Response 3 Interacting Protein 1,Protein Coding,383.3,70,False,False
primary_anywhere,140,APOA5,Apolipoprotein A5,Protein Coding,381.3,91,False,True
primary_anywhere,141,LOC126862549,BRD4-Independent Group 4 Enhancer GRCh37_chr17:36093401-36094600,Functional Element,381.1,56,False,False
primary_anywhere,142,PAX6,Paired Box 6,Protein Coding,381.0,100,False,True
primary_anywhere,143,CELA2A,Chymotrypsin Like Elastase 2A,Protein Coding,380.5,68,False,False
primary_anywhere,144,APOB,Apolipoprotein B,Protein Coding,379.6,100,False,True
primary_anywhere,145,KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,379.0,100,False,True
primary_anywhere,146,CIDEC,Cell Death Inducing DFFA Like Effector C,Protein Coding,377.7,73,False,False
primary_anywhere,147,APPL1,"Adaptor Protein, Phosphotyrosine Interacting With PH Domain And Leucine Zipper 1",Protein Coding,377.2,94,False,True
primary_anywhere,148,HYMAI,Hydatidiform Mole Associated And Imprinted,RNA Gene,376.9,55,False,True
primary_anywhere,149,ESR1,Estrogen Receptor 1,Protein Coding,375.9,100,False,True
primary_anywhere,150,IL1RN,Interleukin 1 Receptor Antagonist,Protein Coding,375.2,97,False,True
primary_anywhere,151,ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,375.1,85,False,True
primary_anywhere,152,ATP2A2,ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 2,Protein Coding,374.9,100,False,False
primary_anywhere,153,APOA1,Apolipoprotein A1,Protein Coding,374.0,100,False,True
primary_anywhere,154,TNFAIP3,TNF Alpha Induced Protein 3,Protein Coding,374.0,100,False,True
primary_anywhere,155,COL2A1,Collagen Type II Alpha 1 Chain,Protein Coding,371.2,99,False,False
primary_anywhere,156,PTPN2,Protein Tyrosine Phosphatase Non-Receptor Type 2,Protein Coding,371.2,90,False,False
primary_anywhere,157,MIR29A,MicroRNA 29a,RNA Gene,370.6,71,False,False
primary_anywhere,158,RBPJL,Recombination Signal Binding Protein For Immunoglobulin Kappa J Region Like,Protein Coding,370.5,66,False,False
primary_anywhere,159,LIPG,"Lipase G, Endothelial Type",Protein Coding,369.9,87,False,False
primary_anywhere,160,KCNQ1,Potassium Voltage-Gated Channel Subfamily Q Member 1,Protein Coding,369.4,100,False,True
primary_anywhere,161,PON1,Paraoxonase 1,Protein Coding,369.1,86,False,True
primary_anywhere,162,ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,368.9,100,False,True
primary_anywhere,163,TGFB1,Transforming Growth Factor Beta 1,Protein Coding,368.6,100,False,True
primary_anywhere,164,PTPRN2,Protein Tyrosine Phosphatase Receptor Type N2,Protein Coding,367.8,84,False,True
primary_anywhere,165,BMPR1B,Bone Morphogenetic Protein Receptor Type 1B,Protein Coding,367.7,97,False,False
primary_anywhere,166,PTEN,Phosphatase And Tensin Homolog,Protein Coding,367.5,100,False,True
primary_anywhere,167,CCR2,C-C Motif Chemokine Receptor 2,Protein Coding,367.1,90,False,True
primary_anywhere,168,FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,367.1,100,False,True
primary_anywhere,169,LRBA,LPS Responsive Beige-Like Anchor Protein,Protein Coding,366.6,84,False,False
primary_anywhere,170,ATXN2,Ataxin 2,Protein Coding,366.1,94,False,True
primary_anywhere,171,LEPR,Leptin Receptor,Protein Coding,366.1,99,False,False
primary_anywhere,172,STAT5B,Signal Transducer And Activator Of Transcription 5B,Protein Coding,365.4,100,False,True
primary_anywhere,173,BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,365.2,100,False,False
primary_anywhere,174,CASC2,Cancer Susceptibility 2,RNA Gene,365.1,56,False,False
primary_anywhere,175,AGTR1,Angiotensin II Receptor Type 1,Protein Coding,365.0,100,False,False
primary_anywhere,176,LEP,Leptin,Protein Coding,365.0,95,False,True
primary_anywhere,177,POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",Protein Coding,364.3,100,False,True
primary_anywhere,178,FABP2,Fatty Acid Binding Protein 2,Protein Coding,364.2,74,False,False
primary_anywhere,179,MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,364.0,60,False,True
primary_anywhere,180,PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,363.2,100,False,False
primary_anywhere,181,CTNNB1,Catenin Beta 1,Protein Coding,363.0,100,False,True
primary_anywhere,182,COL8A2,Collagen Type VIII Alpha 2 Chain,Protein Coding,362.6,83,False,False
primary_anywhere,183,COL4A1,Collagen Type IV Alpha 1 Chain,Protein Coding,362.5,97,False,False
primary_anywhere,184,COL9A2,Collagen Type IX Alpha 2 Chain,Protein Coding,362.0,86,False,True
primary_anywhere,185,CNBP,CCHC-Type Zinc Finger Nucleic Acid Binding Protein,Protein Coding,361.9,80,False,True
primary_anywhere,186,AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,361.8,100,False,True
primary_anywhere,187,ZMPSTE24,Zinc Metallopeptidase STE24,Protein Coding,361.7,90,False,True
primary_anywhere,188,FBN1,Fibrillin 1,Protein Coding,361.5,100,False,True
primary_anywhere,189,COL4A4,Collagen Type IV Alpha 4 Chain,Protein Coding,361.3,91,False,False
primary_anywhere,190,PTPRC,Protein Tyrosine Phosphatase Receptor Type C,Protein Coding,361.3,100,False,True
primary_anywhere,191,PRMT7,Protein Arginine Methyltransferase 7,Protein Coding,361.3,89,False,False
primary_anywhere,192,ACVRL1,Activin A Receptor Like Type 1,Protein Coding,359.3,98,False,True
primary_anywhere,193,LDLR,Low Density Lipoprotein Receptor,Protein Coding,359.1,100,False,True
primary_anywhere,194,EP300,EP300 Lysine Acetyltransferase,Protein Coding,358.5,100,False,False
primary_anywhere,195,GLI2,GLI Family Zinc Finger 2,Protein Coding,358.4,98,False,True
primary_anywhere,196,MIR125A,MicroRNA 125a,RNA Gene,358.1,63,False,True
primary_anywhere,197,COL5A2,Collagen Type V Alpha 2 Chain,Protein Coding,357.7,93,False,False
primary_anywhere,198,SLC5A2,Solute Carrier Family 5 Member 2,Protein Coding,356.0,91,False,False
primary_anywhere,199,ADRA2A,Adrenoceptor Alpha 2A,Protein Coding,355.8,86,False,True
primary_anywhere,200,TUG1,Taurine Up-Regulated 1,Protein Coding,355.5,52,False,False
primary_anywhere,201,B2M,Beta-2-Microglobulin,Protein Coding,355.3,95,False,True
primary_anywhere,202,COL3A1,Collagen Type III Alpha 1 Chain,Protein Coding,355.0,100,False,True
primary_anywhere,203,HLA-DQB1,"Major Histocompatibility Complex, Class II, DQ Beta 1",Protein Coding,355.0,89,False,True
primary_anywhere,204,PCSK2,Proprotein Convertase Subtilisin/Kexin Type 2,Protein Coding,354.1,76,False,False
primary_anywhere,205,GREM1,"Gremlin 1, DAN Family BMP Antagonist",Protein Coding,354.0,89,False,False
primary_anywhere,206,IL2,Interleukin 2,Protein Coding,353.9,87,False,True
primary_anywhere,207,EGFR,Epidermal Growth Factor Receptor,Protein Coding,352.7,100,False,True
primary_anywhere,208,ANGPTL3,Angiopoietin Like 3,Protein Coding,351.7,86,False,False
primary_anywhere,209,C12ORF43,Chromosome 12 Open Reading Frame 43,Protein Coding,351.6,65,False,True
primary_anywhere,210,GAS5,Growth Arrest Specific 5,RNA Gene,351.1,58,False,False
primary_anywhere,211,PVT1,Pvt1 Oncogene,RNA Gene,350.7,66,False,True
primary_anywhere,212,KCNH2,Potassium Voltage-Gated Channel Subfamily H Member 2,Protein Coding,350.6,100,False,False
primary_anywhere,213,ACADS,Acyl-CoA Dehydrogenase Short Chain,Protein Coding,350.0,94,False,False
primary_anywhere,214,DCAF17,DDB1 And CUL4 Associated Factor 17,Protein Coding,349.5,75,False,False
primary_anywhere,215,CFTR,CF Transmembrane Conductance Regulator,Protein Coding,349.1,100,False,False
primary_anywhere,216,PCBD1,Pterin-4 Alpha-Carbinolamine Dehydratase 1,Protein Coding,349.0,83,False,False
primary_anywhere,217,ATM,ATM Serine/Threonine Kinase,Protein Coding,348.7,100,False,True
primary_anywhere,218,SLC2A3,Solute Carrier Family 2 Member 3,Protein Coding,348.1,88,False,True
primary_anywhere,219,FOXA2,Forkhead Box A2,Protein Coding,348.0,93,False,True
primary_anywhere,220,NLRP3,NLR Family Pyrin Domain Containing 3,Protein Coding,346.9,100,False,True
primary_anywhere,221,NR3C2,Nuclear Receptor Subfamily 3 Group C Member 2,Protein Coding,346.9,99,False,False
primary_anywhere,222,JAK2,Janus Kinase 2,Protein Coding,346.0,100,False,False
primary_anywhere,223,BRCA1,BRCA1 DNA Repair Associated,Protein Coding,345.9,100,False,False
primary_anywhere,224,EDNRB,Endothelin Receptor Type B,Protein Coding,345.6,99,False,False
primary_anywhere,225,COL6A2,Collagen Type VI Alpha 2 Chain,Protein Coding,345.4,98,False,False
primary_anywhere,226,TFR2,Transferrin Receptor 2,Protein Coding,343.9,90,False,False
primary_anywhere,227,PCSK1,Proprotein Convertase Subtilisin/Kexin Type 1,Protein Coding,341.9,94,False,False
primary_anywhere,228,DOCK8,Dedicator Of Cytokinesis 8,Protein Coding,341.6,92,False,False
primary_anywhere,229,MIR29C,MicroRNA 29c,RNA Gene,341.6,68,False,True
primary_anywhere,230,PAX2,Paired Box 2,Protein Coding,340.5,95,False,True
primary_anywhere,231,FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,339.5,100,False,False
primary_anywhere,232,ITPR1,"Inositol 1,4,5-Trisphosphate Receptor Type 1",Protein Coding,339.2,100,False,False
primary_anywhere,233,SMAD2,SMAD Family Member 2,Protein Coding,338.9,100,False,False
primary_anywhere,234,RRAD,"RRAD, Ras Related Glycolysis Inhibitor And Calcium Channel Regulator",Protein Coding,338.3,73,False,True
primary_anywhere,235,ICA1,Islet Cell Autoantigen 1,Protein Coding,338.3,69,False,False
primary_anywhere,236,PIK3C2A,Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Alpha,Protein Coding,338.1,100,False,False
primary_anywhere,237,ATP6AP2,ATPase H+ Transporting Accessory Protein 2,Protein Coding,337.4,90,False,True
primary_anywhere,238,PARK7,Parkinsonism Associated Deglycase,Protein Coding,337.1,96,False,True
primary_anywhere,239,KCNQ1OT1,KCNQ1 Opposite Strand/Antisense Transcript 1,RNA Gene,335.9,73,False,False
primary_anywhere,240,HJV,Hemojuvelin BMP Co-Receptor,Protein Coding,335.5,81,False,False
primary_anywhere,241,PDCD1,Programmed Cell Death 1,Protein Coding,335.5,92,False,True
primary_anywhere,242,AR,Androgen Receptor,Protein Coding,335.4,100,False,True
primary_anywhere,243,EPO,Erythropoietin,Protein Coding,334.3,85,False,False
primary_anywhere,244,RYR2,Ryanodine Receptor 2,Protein Coding,334.1,100,False,True
primary_anywhere,245,PLA2G6,Phospholipase A2 Group VI,Protein Coding,333.6,100,False,False
primary_anywhere,246,HSD11B2,Hydroxysteroid 11-Beta Dehydrogenase 2,Protein Coding,333.0,92,False,False
primary_anywhere,247,EIF2AK3-AS1,EIF2AK3 Antisense RNA 1,RNA Gene,332.9,64,False,False
primary_anywhere,248,GAD2,Glutamate Decarboxylase 2,Protein Coding,332.2,83,False,False
primary_anywhere,249,ABCG8,ATP Binding Cassette Subfamily G Member 8,Protein Coding,331.6,98,False,False
primary_anywhere,250,PIEZO2,Piezo Type Mechanosensitive Ion Channel Component 2,Protein Coding,331.5,77,False,True
primary_anywhere,251,APOC3,Apolipoprotein C3,Protein Coding,331.4,89,False,False
primary_anywhere,252,FA2H,Fatty Acid 2-Hydroxylase,Protein Coding,330.5,88,False,False
primary_anywhere,253,CETP,Cholesteryl Ester Transfer Protein,Protein Coding,330.4,99,False,False
primary_anywhere,254,HHEX,Hematopoietically Expressed Homeobox,Protein Coding,330.3,75,False,True
primary_anywhere,255,CR2,Complement C3d Receptor 2,Protein Coding,330.2,96,False,False
primary_anywhere,256,EIF2B1,Eukaryotic Translation Initiation Factor 2B Subunit Alpha,Protein Coding,329.4,90,False,True
primary_anywhere,257,KMT2D,Lysine Methyltransferase 2D,Protein Coding,328.7,100,False,False
primary_anywhere,258,GLUD1,Glutamate Dehydrogenase 1,Protein Coding,327.9,100,False,True
primary_anywhere,259,CACNA1A,Calcium Voltage-Gated Channel Subunit Alpha1 A,Protein Coding,327.6,100,False,False
primary_anywhere,260,MNX1,Motor Neuron And Pancreas Homeobox 1,Protein Coding,327.5,83,False,False
primary_anywhere,261,SELP,Selectin P,Protein Coding,327.3,91,False,True
primary_anywhere,262,HAMP,Hepcidin Antimicrobial Peptide,Protein Coding,327.1,81,False,True
primary_anywhere,263,DUT,Deoxyuridine Triphosphatase,Protein Coding,326.6,82,False,False
primary_anywhere,264,IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,326.3,100,False,False
primary_anywhere,265,TH,Tyrosine Hydroxylase,Protein Coding,325.7,100,False,True
primary_anywhere,266,TYK2,Tyrosine Kinase 2,Protein Coding,325.4,100,False,True
primary_anywhere,267,ITPR2,"Inositol 1,4,5-Trisphosphate Receptor Type 2",Protein Coding,325.3,95,False,True
primary_anywhere,268,MFN2,Mitofusin 2,Protein Coding,324.8,96,False,False
primary_anywhere,269,KCNJ2,Potassium Inwardly Rectifying Channel Subfamily J Member 2,Protein Coding,324.5,98,False,True
