gene_cards_k,cluster_id,gene_symbol,set_label
20554,cluster_1,DSC1,primary_anywhere
20554,cluster_1,DVL1,primary_anywhere
20554,cluster_1,DVL3,primary_anywhere
20554,cluster_1,EEF1D,primary_anywhere
20554,cluster_1,EEF1G,primary_anywhere
20554,cluster_1,EEF2,primary_anywhere
20554,cluster_1,EFNA4,primary_anywhere
20554,cluster_1,EFR3B,primary_anywhere
20554,cluster_1,EGFEM1P,primary_anywhere
20554,cluster_1,EGR1,primary_anywhere
20554,cluster_1,EGR3,primary_anywhere
20554,cluster_1,EHHADH,primary_anywhere
20554,cluster_1,EIF2A,primary_anywhere
20554,cluster_1,EIF3D,primary_anywhere
20554,cluster_1,ENGASE,primary_anywhere
20554,cluster_1,ENO3,primary_anywhere
20554,cluster_1,EPHB4,primary_anywhere
20554,cluster_1,ERMP1,primary_anywhere
20554,cluster_1,ERP27,primary_anywhere
20554,cluster_1,ESR1,primary_anywhere
20554,cluster_1,F3,primary_anywhere
20554,cluster_1,FABP1,primary_anywhere
20554,cluster_1,FAS,primary_anywhere
20554,cluster_1,FASTK,primary_anywhere
20554,cluster_1,FBLL1,primary_anywhere
20554,cluster_1,FBN3,primary_anywhere
20554,cluster_1,FBRS,primary_anywhere
20554,cluster_1,FBXL4,primary_anywhere
20554,cluster_1,FBXO32,primary_anywhere
20554,cluster_1,FBXW7,primary_anywhere
20554,cluster_1,FGF20,primary_anywhere
20554,cluster_1,FLT3LG,primary_anywhere
20554,cluster_1,FOS,primary_anywhere
20554,cluster_1,FSHB,primary_anywhere
20554,cluster_1,FUS,primary_anywhere
20554,cluster_1,FYCO1,primary_anywhere
20554,cluster_1,GABRG2,primary_anywhere
20554,cluster_1,GAPDH,primary_anywhere
20554,cluster_1,GATAD2A,primary_anywhere
20554,cluster_1,GDF2,primary_anywhere
20554,cluster_1,GFAP,primary_anywhere
20554,cluster_1,GJA10,primary_anywhere
20554,cluster_1,GK,primary_anywhere
20554,cluster_1,GLI1,primary_anywhere
20554,cluster_1,GNG13,primary_anywhere
20554,cluster_1,GOT1,primary_anywhere
20554,cluster_1,GPT,primary_anywhere
20554,cluster_1,GPX8,primary_anywhere
20554,cluster_1,GRM5,primary_anywhere
20554,cluster_1,GSTM3,primary_anywhere
20554,cluster_1,H3-4,primary_anywhere
20554,cluster_1,H4C12,primary_anywhere
20554,cluster_1,HADHA,primary_anywhere
20554,cluster_1,HAVCR1,primary_anywhere
20554,cluster_1,HCRTR2,primary_anywhere
20554,cluster_1,HDAC7,primary_anywhere
20554,cluster_1,HEXD,primary_anywhere
20554,cluster_1,HGF,primary_anywhere
20554,cluster_1,HMGCR,primary_anywhere
20554,cluster_1,HMGCS1,primary_anywhere
20554,cluster_1,HMGCS2,primary_anywhere
20554,cluster_1,HMOX1,primary_anywhere
20554,cluster_1,HNRNPCL4,primary_anywhere
20554,cluster_1,HNRNPUL2,primary_anywhere
20554,cluster_1,HOXB13,primary_anywhere
20554,cluster_1,HSD17B4,primary_anywhere
20554,cluster_1,HSPG2,primary_anywhere
20554,cluster_1,IDH3B,primary_anywhere
20554,cluster_1,IFNA10,primary_anywhere
20554,cluster_1,IFNL3,primary_anywhere
20554,cluster_1,IL17B,primary_anywhere
20554,cluster_1,IL27,primary_anywhere
20554,cluster_1,INO80E,primary_anywhere
20554,cluster_1,INPPL1,primary_anywhere
20554,cluster_1,INTS7,primary_anywhere
20554,cluster_1,ISCU,primary_anywhere
20554,cluster_1,ITGAD,primary_anywhere
20554,cluster_1,ITGAL,primary_anywhere
20554,cluster_1,ITGB1,primary_anywhere
20554,cluster_1,ITGB7,primary_anywhere
20554,cluster_1,JUN,primary_anywhere
20554,cluster_1,KAT6B,primary_anywhere
20554,cluster_1,KCNJ10,primary_anywhere
20554,cluster_1,KCNK7,primary_anywhere
20554,cluster_1,KCNN4,primary_anywhere
20554,cluster_1,KCNS3,primary_anywhere
20554,cluster_1,KIRREL1,primary_anywhere
20554,cluster_1,KLK15,primary_anywhere
20554,cluster_1,KMO,primary_anywhere
20554,cluster_1,KRTAP5-8,primary_anywhere
20554,cluster_1,LACC1,primary_anywhere
20554,cluster_1,LAT,primary_anywhere
20554,cluster_1,LEMD1,primary_anywhere
20554,cluster_1,LOX,primary_anywhere
20554,cluster_1,LRRC47,primary_anywhere
20554,cluster_1,LTB,primary_anywhere
20554,cluster_1,LY6S-AS1,primary_anywhere
20554,cluster_1,MAGEA8,primary_anywhere
20554,cluster_1,MAP3K14,primary_anywhere
20554,cluster_1,MAPK1,primary_anywhere
20554,cluster_1,MAPK8,primary_anywhere
20554,cluster_1,MAT1A,primary_anywhere
20554,cluster_1,MAZ,primary_anywhere
20554,cluster_1,MBL2,primary_anywhere
20554,cluster_1,MCF2L2,primary_anywhere
20554,cluster_1,MCHR1,primary_anywhere
20554,cluster_1,MCRIP1,primary_anywhere
20554,cluster_1,MED12L,primary_anywhere
20554,cluster_1,METTL4,primary_anywhere
20554,cluster_1,MFSD8,primary_anywhere
20554,cluster_1,MIER3,primary_anywhere
20554,cluster_1,MIR7-3HG,primary_anywhere
20554,cluster_1,MKI67,primary_anywhere
20554,cluster_1,MMP7,primary_anywhere
20554,cluster_1,MMP8,primary_anywhere
20554,cluster_1,MOCOS,primary_anywhere
20554,cluster_1,MPL,primary_anywhere
20554,cluster_1,MTTP,primary_anywhere
20554,cluster_1,MYOZ2,primary_anywhere
20554,cluster_1,NCKAP1,primary_anywhere
20554,cluster_1,NCOR2,primary_anywhere
20554,cluster_1,NDRG4,primary_anywhere
20554,cluster_1,NFATC1,primary_anywhere
20554,cluster_1,NFATC3,primary_anywhere
20554,cluster_1,NFE2L2,primary_anywhere
20554,cluster_1,NFKBIE,primary_anywhere
20554,cluster_1,NFS1,primary_anywhere
20554,cluster_1,NISCH,primary_anywhere
20554,cluster_1,NLRC5,primary_anywhere
20554,cluster_1,NOS2,primary_anywhere
20554,cluster_1,NOX4,primary_anywhere
20554,cluster_1,NR1I2,primary_anywhere
20554,cluster_1,NSUN2,primary_anywhere
20554,cluster_1,NT5C,primary_anywhere
20554,cluster_1,NUFIP1,primary_anywhere
20554,cluster_1,ODAD2,primary_anywhere
20554,cluster_1,ODF2,primary_anywhere
20554,cluster_1,OSGIN1,primary_anywhere
20554,cluster_1,PACS2,primary_anywhere
20554,cluster_1,PARP1,primary_anywhere
20554,cluster_1,PAX8,primary_anywhere
20554,cluster_1,PCK2,primary_anywhere
20554,cluster_1,PCSK4,primary_anywhere
20554,cluster_1,PDE6C,primary_anywhere
20554,cluster_1,PDK4,primary_anywhere
20554,cluster_1,PER3,primary_anywhere
20554,cluster_1,PEX11A,primary_anywhere
20554,cluster_1,PIK3C2B,primary_anywhere
20554,cluster_1,PKD2L2,primary_anywhere
20554,cluster_1,PLD1,primary_anywhere
20554,cluster_1,PLIN2,primary_anywhere
20554,cluster_1,PLS1,primary_anywhere
20554,cluster_1,PLXNA4,primary_anywhere
20554,cluster_1,PLXNB2,primary_anywhere
20554,cluster_1,PLXND1,primary_anywhere
20554,cluster_1,PMAIP1,primary_anywhere
20554,cluster_1,PMCH,primary_anywhere
20554,cluster_1,POR,primary_anywhere
20554,cluster_1,POU3F1,primary_anywhere
20554,cluster_1,PPARA,primary_anywhere
20554,cluster_1,PPARD,primary_anywhere
20554,cluster_1,PPARG,primary_anywhere
20554,cluster_1,PPM1G,primary_anywhere
20554,cluster_1,PPP1R14B,primary_anywhere
20554,cluster_1,PPP1R15A,primary_anywhere
20554,cluster_1,PPP2R3A,primary_anywhere
20554,cluster_1,PRPF3,primary_anywhere
20554,cluster_1,PRSS2,primary_anywhere
20554,cluster_1,PSRC1,primary_anywhere
20554,cluster_1,PTPN11,primary_anywhere
20554,cluster_1,PYGM,primary_anywhere
20554,cluster_1,PYY,primary_anywhere
20554,cluster_1,QARS1,primary_anywhere
20554,cluster_1,RAB11FIP4,primary_anywhere
20554,cluster_1,RAB3IP,primary_anywhere
20554,cluster_1,RABL6,primary_anywhere
20554,cluster_1,RAG1,primary_anywhere
20554,cluster_1,RAG2,primary_anywhere
20554,cluster_1,RASGRP2,primary_anywhere
20554,cluster_1,RBBP4,primary_anywhere
20554,cluster_1,RBM14,primary_anywhere
20554,cluster_1,REG4,primary_anywhere
20554,cluster_1,RGS11,primary_anywhere
20554,cluster_1,RGS6,primary_anywhere
20554,cluster_1,RNASE3,primary_anywhere
20554,cluster_1,RPL10L,primary_anywhere
20554,cluster_1,RPL13,primary_anywhere
20554,cluster_1,RPL28,primary_anywhere
20554,cluster_1,RPL3,primary_anywhere
20554,cluster_1,RPL8,primary_anywhere
20554,cluster_1,RPLP0,primary_anywhere
20554,cluster_1,RPS2P32,primary_anywhere
20554,cluster_1,RPUSD4,primary_anywhere
20554,cluster_1,S100G,primary_anywhere
20554,cluster_1,SBF1,primary_anywhere
20554,cluster_1,SCARB1,primary_anywhere
20554,cluster_1,SCD,primary_anywhere
20554,cluster_1,SCN1A,primary_anywhere
20554,cluster_1,SCT,primary_anywhere
20554,cluster_1,SENP3,primary_anywhere
20554,cluster_1,SERAC1,primary_anywhere
20554,cluster_1,SERPINB10,primary_anywhere
20554,cluster_1,SETBP1,primary_anywhere
20554,cluster_1,SFI1,primary_anywhere
20554,cluster_1,SFMBT2,primary_anywhere
20554,cluster_1,SGPL1,primary_anywhere
20554,cluster_1,SHC4,primary_anywhere
20554,cluster_1,SHQ1,primary_anywhere
20554,cluster_1,SIAH3,primary_anywhere
20554,cluster_1,SLC10A1,primary_anywhere
20554,cluster_1,SLC17A5,primary_anywhere
20554,cluster_1,SLC22A11,primary_anywhere
20554,cluster_1,SLC22A2,primary_anywhere
20554,cluster_1,SLC22A8,primary_anywhere
20554,cluster_1,SLC25A13,primary_anywhere
20554,cluster_1,SLC25A6,primary_anywhere
20554,cluster_1,SLC35F3,primary_anywhere
20554,cluster_1,SLC37A1,primary_anywhere
20554,cluster_1,SLC51A,primary_anywhere
20554,cluster_1,SLC51B,primary_anywhere
20554,cluster_1,SLC5A1,primary_anywhere
20554,cluster_1,SLC7A9,primary_anywhere
20554,cluster_1,SLCO1B1,primary_anywhere
20554,cluster_1,SLCO1B3,primary_anywhere
20554,cluster_1,SLCO2B1,primary_anywhere
20554,cluster_1,SMAD3,primary_anywhere
20554,cluster_1,SMCR2,primary_anywhere
20554,cluster_1,SNX4,primary_anywhere
20554,cluster_1,SOD1,primary_anywhere
20554,cluster_1,SPG7,primary_anywhere
20554,cluster_1,STAB1,primary_anywhere
20554,cluster_1,STAR,primary_anywhere
20554,cluster_1,SULT2A1,primary_anywhere
20554,cluster_1,SUOX,primary_anywhere
20554,cluster_1,SUPT16H,primary_anywhere
20554,cluster_1,SURF6,primary_anywhere
20554,cluster_1,SYTL2,primary_anywhere
20554,cluster_1,TAP1,primary_anywhere
20554,cluster_1,TAS1R1,primary_anywhere
20554,cluster_1,TAS2R50,primary_anywhere
20554,cluster_1,TBC1D10C,primary_anywhere
20554,cluster_1,TCEA3,primary_anywhere
20554,cluster_1,TCHP,primary_anywhere
20554,cluster_1,TELO2,primary_anywhere
20554,cluster_1,TFF1,primary_anywhere
20554,cluster_1,THOC7,primary_anywhere
20554,cluster_1,TIGIT,primary_anywhere
20554,cluster_1,TMEM117,primary_anywhere
20554,cluster_1,TMEM138,primary_anywhere
20554,cluster_1,TNFSF15,primary_anywhere
20554,cluster_1,TP53,primary_anywhere
20554,cluster_1,TPH2,primary_anywhere
20554,cluster_1,TRDN,primary_anywhere
20554,cluster_1,TREM1,primary_anywhere
20554,cluster_1,TRIB3,primary_anywhere
20554,cluster_1,TRMT1L,primary_anywhere
20554,cluster_1,TRPV6,primary_anywhere
20554,cluster_1,TSPO2,primary_anywhere
20554,cluster_1,TTC28-AS1,primary_anywhere
20554,cluster_1,TTL,primary_anywhere
20554,cluster_1,TTR,primary_anywhere
20554,cluster_1,TXNIP,primary_anywhere
20554,cluster_1,TYK2,primary_anywhere
20554,cluster_1,UBE2Q1,primary_anywhere
20554,cluster_1,UGT1A1,primary_anywhere
20554,cluster_1,ULK3,primary_anywhere
20554,cluster_1,UNC13C,primary_anywhere
20554,cluster_1,URM1,primary_anywhere
20554,cluster_1,USP6,primary_anywhere
20554,cluster_1,VILL,primary_anywhere
20554,cluster_1,VPS33A,primary_anywhere
20554,cluster_1,VPS37B,primary_anywhere
20554,cluster_1,WNT10B,primary_anywhere
20554,cluster_1,WNT5A,primary_anywhere
20554,cluster_1,YTHDC1,primary_anywhere
20554,cluster_1,ZAP70,primary_anywhere
20554,cluster_1,ZC3H4,primary_anywhere
20554,cluster_1,ZFYVE28,primary_anywhere
20554,cluster_1,ZGPAT,primary_anywhere
20554,cluster_1,ZGRF1,primary_anywhere
20554,cluster_1,ZNF136,primary_anywhere
20554,cluster_1,ZNF615,primary_anywhere
20554,cluster_1,ZNF629,primary_anywhere
20554,cluster_1,ZSCAN21,primary_anywhere
20554,cluster_10,PTPN1,primary_anywhere
20554,cluster_10,SOD1,primary_anywhere
20554,cluster_10,XDH,primary_anywhere
20554,cluster_11,AADAT,primary_anywhere
20554,cluster_11,AANAT,primary_anywhere
20554,cluster_11,AASDHPPT,primary_anywhere
20554,cluster_11,ABCC8,primary_anywhere
20554,cluster_11,ABCF2,primary_anywhere
20554,cluster_11,ACAT2,primary_anywhere
20554,cluster_11,ACTB,primary_anywhere
20554,cluster_11,ACTR2,primary_anywhere
20554,cluster_11,ADAR,primary_anywhere
20554,cluster_11,ADNP,primary_anywhere
20554,cluster_11,AKAP1,primary_anywhere
20554,cluster_11,AKR1C3,primary_anywhere
20554,cluster_11,APBB1,primary_anywhere
20554,cluster_11,APC,primary_anywhere
20554,cluster_11,APP,primary_anywhere
20554,cluster_11,APPL1,primary_anywhere
20554,cluster_11,ARMC9,primary_anywhere
20554,cluster_11,ASAP2,primary_anywhere
20554,cluster_11,ATP6V1A,primary_anywhere
20554,cluster_11,ATP9B,primary_anywhere
20554,cluster_11,ATXN10,primary_anywhere
20554,cluster_11,B2M,primary_anywhere
20554,cluster_11,BGN,primary_anywhere
20554,cluster_11,BTF3,primary_anywhere
20554,cluster_11,C12ORF43,primary_anywhere
20554,cluster_11,CALM2,primary_anywhere
20554,cluster_11,CAMK2D,primary_anywhere
20554,cluster_11,CANX,primary_anywhere
20554,cluster_11,CBFA2T2,primary_anywhere
20554,cluster_11,CGB3,primary_anywhere
20554,cluster_11,CHRDL1,primary_anywhere
20554,cluster_11,CHURC1,primary_anywhere
20554,cluster_11,CLINT1,primary_anywhere
20554,cluster_11,COPS3,primary_anywhere
20554,cluster_11,CRLS1,primary_anywhere
20554,cluster_11,CRYBB2,primary_anywhere
20554,cluster_11,CSDE1,primary_anywhere
20554,cluster_11,CSTPP1,primary_anywhere
20554,cluster_11,CTCF,primary_anywhere
20554,cluster_11,CTRL,primary_anywhere
20554,cluster_11,DDIT3,primary_anywhere
20554,cluster_11,DGKA,primary_anywhere
20554,cluster_11,DIXDC1,primary_anywhere
20554,cluster_11,DNAJA2,primary_anywhere
20554,cluster_11,DNAJC9,primary_anywhere
20554,cluster_11,DPYSL5,primary_anywhere
20554,cluster_11,DSTYK,primary_anywhere
20554,cluster_11,EEF1A1,primary_anywhere
20554,cluster_11,EEF1G,primary_anywhere
20554,cluster_11,EIF1,primary_anywhere
20554,cluster_11,EPS15,primary_anywhere
20554,cluster_11,ERBB3,primary_anywhere
20554,cluster_11,EVI5,primary_anywhere
20554,cluster_11,EVL,primary_anywhere
20554,cluster_11,FAM3C,primary_anywhere
20554,cluster_11,FOS,primary_anywhere
20554,cluster_11,FUT8,primary_anywhere
20554,cluster_11,G3BP1,primary_anywhere
20554,cluster_11,GADD45A,primary_anywhere
20554,cluster_11,GLO1,primary_anywhere
20554,cluster_11,GLUL,primary_anywhere
20554,cluster_11,GPX1,primary_anywhere
20554,cluster_11,GRB2,primary_anywhere
20554,cluster_11,GSPT1,primary_anywhere
20554,cluster_11,GTF2H2,primary_anywhere
20554,cluster_11,HADH,primary_anywhere
20554,cluster_11,HLA-E,primary_anywhere
20554,cluster_11,HMGB1,primary_anywhere
20554,cluster_11,HNRNPC,primary_anywhere
20554,cluster_11,HSP90AB1,primary_anywhere
20554,cluster_11,HSPA5,primary_anywhere
20554,cluster_11,IARS2,primary_anywhere
20554,cluster_11,ID2,primary_anywhere
20554,cluster_11,IFRD2,primary_anywhere
20554,cluster_11,IK,primary_anywhere
20554,cluster_11,INSIG1,primary_anywhere
20554,cluster_11,IQGAP2,primary_anywhere
20554,cluster_11,KAZN,primary_anywhere
20554,cluster_11,KDM2B,primary_anywhere
20554,cluster_11,KDM4B,primary_anywhere
20554,cluster_11,KIF1B,primary_anywhere
20554,cluster_11,KIF3B,primary_anywhere
20554,cluster_11,KIF3C,primary_anywhere
20554,cluster_11,KPNA3,primary_anywhere
20554,cluster_11,LAD1,primary_anywhere
20554,cluster_11,LAMP2,primary_anywhere
20554,cluster_11,LDHA,primary_anywhere
20554,cluster_11,LONP2,primary_anywhere
20554,cluster_11,LPIN1,primary_anywhere
20554,cluster_11,LTAP1,primary_anywhere
20554,cluster_11,M6PR,primary_anywhere
20554,cluster_11,MAOB,primary_anywhere
20554,cluster_11,MARCKS,primary_anywhere
20554,cluster_11,MAT2B,primary_anywhere
20554,cluster_11,MDH2,primary_anywhere
20554,cluster_11,METAP2,primary_anywhere
20554,cluster_11,MICU1,primary_anywhere
20554,cluster_11,MLLT10,primary_anywhere
20554,cluster_11,MSH2,primary_anywhere
20554,cluster_11,MT2A,primary_anywhere
20554,cluster_11,NADK2,primary_anywhere
20554,cluster_11,NAE1,primary_anywhere
20554,cluster_11,NAIP,primary_anywhere
20554,cluster_11,NAMPT,primary_anywhere
20554,cluster_11,NAP1L1,primary_anywhere
20554,cluster_11,NCOA7,primary_anywhere
20554,cluster_11,NDFIP1,primary_anywhere
20554,cluster_11,NDRG2,primary_anywhere
20554,cluster_11,NDRG4,primary_anywhere
20554,cluster_11,NEFL,primary_anywhere
20554,cluster_11,NEIL2,primary_anywhere
20554,cluster_11,NOTCH2,primary_anywhere
20554,cluster_11,NRF1,primary_anywhere
20554,cluster_11,NT5E,primary_anywhere
20554,cluster_11,OAT,primary_anywhere
20554,cluster_11,PBX3,primary_anywhere
20554,cluster_11,PDE1A,primary_anywhere
20554,cluster_11,PFKFB4,primary_anywhere
20554,cluster_11,PGD,primary_anywhere
20554,cluster_11,PHF10,primary_anywhere
20554,cluster_11,PIK3R1,primary_anywhere
20554,cluster_11,PIP4K2B,primary_anywhere
20554,cluster_11,PLEKHB2,primary_anywhere
20554,cluster_11,PPIA,primary_anywhere
20554,cluster_11,PPP2CA,primary_anywhere
20554,cluster_11,PRDX2,primary_anywhere
20554,cluster_11,PRP4K,primary_anywhere
20554,cluster_11,PSMA4,primary_anywhere
20554,cluster_11,PSMG1,primary_anywhere
20554,cluster_11,PTGES3,primary_anywhere
20554,cluster_11,PTK2,primary_anywhere
20554,cluster_11,PTMA,primary_anywhere
20554,cluster_11,RAB11FIP4,primary_anywhere
20554,cluster_11,RAC1,primary_anywhere
20554,cluster_11,RAN,primary_anywhere
20554,cluster_11,RBBP7,primary_anywhere
20554,cluster_11,RBM3,primary_anywhere
20554,cluster_11,RBM8A,primary_anywhere
20554,cluster_11,RDX,primary_anywhere
20554,cluster_11,REEP1,primary_anywhere
20554,cluster_11,RHOA,primary_anywhere
20554,cluster_11,RHOT1,primary_anywhere
20554,cluster_11,RMI1,primary_anywhere
20554,cluster_11,RNF10,primary_anywhere
20554,cluster_11,RNF123,primary_anywhere
20554,cluster_11,RNGTT,primary_anywhere
20554,cluster_11,RPA1,primary_anywhere
20554,cluster_11,RPL15,primary_anywhere
20554,cluster_11,RPL22,primary_anywhere
20554,cluster_11,RPL24,primary_anywhere
20554,cluster_11,RSL24D1,primary_anywhere
20554,cluster_11,SCAMP1,primary_anywhere
20554,cluster_11,SCN2B,primary_anywhere
20554,cluster_11,SCP2,primary_anywhere
20554,cluster_11,SDCBP,primary_anywhere
20554,cluster_11,SEC24B,primary_anywhere
20554,cluster_11,SEC62,primary_anywhere
20554,cluster_11,SELENOI,primary_anywhere
20554,cluster_11,SERBP1,primary_anywhere
20554,cluster_11,SFXN3,primary_anywhere
20554,cluster_11,SLC25A6,primary_anywhere
20554,cluster_11,SLC2A3,primary_anywhere
20554,cluster_11,SMAP1,primary_anywhere
20554,cluster_11,SMARCC1,primary_anywhere
20554,cluster_11,SMC5,primary_anywhere
20554,cluster_11,SNX6,primary_anywhere
20554,cluster_11,SPATC1L,primary_anywhere
20554,cluster_11,SPP1,primary_anywhere
20554,cluster_11,SPP2,primary_anywhere
20554,cluster_11,SRRM1,primary_anywhere
20554,cluster_11,SSX2IP,primary_anywhere
20554,cluster_11,STMN1,primary_anywhere
20554,cluster_11,TALDO1,primary_anywhere
20554,cluster_11,TDG,primary_anywhere
20554,cluster_11,TF,primary_anywhere
20554,cluster_11,TFAM,primary_anywhere
20554,cluster_11,TGIF2,primary_anywhere
20554,cluster_11,TGOLN2,primary_anywhere
20554,cluster_11,TLK1,primary_anywhere
20554,cluster_11,TNFRSF1B,primary_anywhere
20554,cluster_11,TNFRSF9,primary_anywhere
20554,cluster_11,TNPO1,primary_anywhere
20554,cluster_11,TOMM20,primary_anywhere
20554,cluster_11,TRAK2,primary_anywhere
20554,cluster_11,TRIM28,primary_anywhere
20554,cluster_11,TUBA1A,primary_anywhere
20554,cluster_11,UBE2D2,primary_anywhere
20554,cluster_11,ULK2,primary_anywhere
20554,cluster_11,UNG,primary_anywhere
20554,cluster_11,VDAC2,primary_anywhere
20554,cluster_11,VPS13B,primary_anywhere
20554,cluster_11,VPS13D,primary_anywhere
20554,cluster_11,VPS26B,primary_anywhere
20554,cluster_11,VSNL1,primary_anywhere
20554,cluster_11,VTA1,primary_anywhere
20554,cluster_11,WASL,primary_anywhere
20554,cluster_11,WDR59,primary_anywhere
20554,cluster_11,WFDC2,primary_anywhere
20554,cluster_11,WNT7B,primary_anywhere
20554,cluster_11,WSB2,primary_anywhere
20554,cluster_11,WT1-AS,primary_anywhere
20554,cluster_11,YTHDF3,primary_anywhere
20554,cluster_11,YWHAB,primary_anywhere
20554,cluster_11,YWHAQ,primary_anywhere
20554,cluster_2,ABCC4,primary_anywhere
20554,cluster_2,ADAMTS1,primary_anywhere
20554,cluster_2,ADPRM,primary_anywhere
20554,cluster_2,AHSG,primary_anywhere
20554,cluster_2,AKR1C1,primary_anywhere
20554,cluster_2,AKR1C3,primary_anywhere
20554,cluster_2,AMOTL1,primary_anywhere
20554,cluster_2,ATF4,primary_anywhere
20554,cluster_2,ATG5,primary_anywhere
20554,cluster_2,BCL9L,primary_anywhere
20554,cluster_2,BECN1,primary_anywhere
20554,cluster_2,CA9,primary_anywhere
20554,cluster_2,CASP14,primary_anywhere
20554,cluster_2,CCL20,primary_anywhere
20554,cluster_2,CGA,primary_anywhere
20554,cluster_2,CPS1,primary_anywhere
20554,cluster_2,CPZ,primary_anywhere
