chemical_id,n_raw_interaction_rows,n_unique_pmids,n_unique_chemical_gene_pairs,cluster_id,chemical_name,test_id,biomarker,step2_mapping_type,step2_mapping_confidence,recorded_parent_compound,candidate_hypothesis_unit
C031330,,,,cluster_8,diethyllead,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C031895,1.0,1.0,1.0,cluster_8,lead chromate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C032721,,,,cluster_8,lead bromide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C032722,,,,cluster_8,lead sulfate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C036682,,,,cluster_8,lead phosphate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C037372,,,,cluster_8,lead azide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C043262,,,,cluster_8,lead carbonate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C044795,,,,cluster_8,lead silicate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C045846,,,,cluster_8,lead arsenate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C047365,,,,cluster_8,lead oxide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C060248,,,,cluster_8,bismuth lead,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C065267,,,,cluster_8,tricatechol hexalactam-lead(II) complex,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C065321,,,,cluster_8,vinyl lead,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C065536,,,,cluster_8,lead titanate zirconate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C077765,,,,cluster_8,lead fluoride,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C088065,,,,cluster_8,lead selenide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C404734,,,,cluster_8,lead magnesium niobate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C432863,,,,cluster_8,lead hydroxide,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C474493,,,,cluster_8,lead zinc niobate titanate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C481719,,,,cluster_8,lead titanate,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
D007854,3488.0,125.0,2914.0,cluster_8,Lead,NHANES_URXUPB,URXUPB,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUPB
C000615155,,,,cluster_9,Actinium-225,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615156,,,,cluster_9,Actinium-228,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615167,,,,cluster_9,Protactinium-230,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615168,,,,cluster_9,Protactinium-231,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615169,,,,cluster_9,Protactinium-233,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615561,,,,cluster_9,Tin-112,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615562,,,,cluster_9,Tin-116,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615563,,,,cluster_9,Tin-117,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615564,,,,cluster_9,Tin-118,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000615565,,,,cluster_9,Tin-119,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000617035,,,,cluster_9,Actinium-227,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C050718,2.0,1.0,1.0,cluster_9,dentinol,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C088922,,,,cluster_9,magnetoferritin,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C419565,,,,cluster_9,2-ethylhexanoic acid tin(II) salt,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C481499,,,,cluster_9,(188)Rhenium tin-colloid,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
D000186,,,,cluster_9,Actinium,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
D011478,,,,cluster_9,Protactinium,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
D014001,3.0,3.0,3.0,cluster_9,Tin,NHANES_URXUSN,URXUSN,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSN
C000212,,,,cluster_6,ammoniacal silver,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000615533,,,,cluster_6,Silver-109,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000615534,,,,cluster_6,Silver-94,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000615535,,,,cluster_6,Silver-105,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000615536,,,,cluster_6,Silver-108,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000615537,,,,cluster_6,Silver-110m,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000617011,,,,cluster_6,Silver-110,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000617013,,,,cluster_6,Silver-111,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000719392,,,,cluster_6,silver graphene,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C026160,,,,cluster_6,silver-allantoin-heparin,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C031342,,,,cluster_6,Henis' silver paste,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C036936,,,,cluster_6,Silver-Percha,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C054102,,,,cluster_6,silver kaolin,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C500574,,,,cluster_6,silverlon,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C586932,,,,cluster_6,colloidal silver,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
D012834,1060.0,46.0,873.0,cluster_6,Silver,NHANES_URXUSR,URXUSR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUSR
C000615069,,,,cluster_10,Tungsten-182,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615070,,,,cluster_10,Tungsten-183,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615071,,,,cluster_10,Tungsten-186,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615072,,,,cluster_10,Tungsten-178,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615073,,,,cluster_10,Tungsten-181,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615074,,,,cluster_10,Tungsten-185,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615075,,,,cluster_10,Tungsten-187,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615076,,,,cluster_10,Tungsten-188,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C009613,,,,cluster_10,ammonium tungsten antimonate hydroxide oxide,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C434643,,,,cluster_10,hexacarbonyltungsten,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C511604,,,,cluster_10,tungsten oxide,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
D014414,3.0,2.0,3.0,cluster_10,Tungsten,NHANES_URXUTU,URXUTU,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUTU
C000615170,,,,cluster_11,Uranium-226,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615171,,,,cluster_11,Uranium-228,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615172,,,,cluster_11,Uranium-230,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615173,,,,cluster_11,Uranium-232,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615174,,,,cluster_11,Uranium-233,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615175,,,,cluster_11,Uranium-234,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615176,,,,cluster_11,Uranium-235,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615177,,,,cluster_11,Uranium-236,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615178,,,,cluster_11,Uranium-237,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615179,,,,cluster_11,Uranium-238,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C000615180,,,,cluster_11,Uranium-240,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
C510902,,,,cluster_11,dioxouranium(VI),NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
D014501,249.0,5.0,245.0,cluster_11,Uranium,NHANES_URXUUR,URXUUR,elemental urinary biomarker for parent metal/species,moderate,,elemental_proxy::URXUUR
